tip.labels	1	2	3	4	5	6	7	8	9 (PAT)	10 (CAR)		
Acrecebus_fraileyi	1										1	
Alouatta_belzebul				1							1	
Alouatta_caraya		1	1		1						3	
Alouatta_coibensis											0	invalid name (= palliata)
Alouatta_guariba			1		1						2	
Alouatta_macconnelli				1							1	
Alouatta_nigerrima	1										1	
Alouatta_palliata						1	1				2	
Alouatta_pigra						1					1	
Alouatta_sara	1										1	
Alouatta_seniculus	1										1	
Antillothrix_bernensis										1	1	
Aotus_azarae	1	1		1							0	
Aotus_dindensis											0	Not found
Aotus_griseimembra											0	valid
Aotus_infulatus											0	invalid name (=azarae)
Aotus_lemurinus											0	valid
Aotus_nancymaae											0	invalid name (= Aotus nancymai)
Aotus_nigriceps											0	valid
Aotus_trivirgatus											0	valid
Aotus_vociferans											0	valid
Ateles_belzebuth	1			1							2	
Ateles_chamek	1										1	
Ateles_fusciceps							1				1	
Ateles_geoffroyi						1	1				2	
Ateles_hybridus	1							1			2	
Ateles_paniscus				1							1	
Brachyteles_arachnoides			1								1	
Brachyteles_hypoxanthus			1								1	
Branisella_boliviana	1										1	
Cacajao_ayresi											0	valid
Cacajao_calvus	1										1	
Cacajao_hosomi				1							1	
Cacajao_melanocephalus											0	valid
Caipora_bambuiorum		1									1	
Callicebus_brunneus	1										1	
Callicebus_caligatus	1										1	
Callicebus_coimbrai					1						1	
Callicebus_cupreus	1										1	
Callicebus_donacophilus	1										1	
Callicebus_hoffmannsi	1										1	
Callicebus_lugens	1			1							2	
Callicebus_moloch				1							1	
Callicebus_nigrifrons		1	1								2	
Callicebus_personatus			1								1	
Callicebus_torquatus	1										1	
Callimico_goeldii	1										1	
Callithrix_aurita			1								1	
Callithrix_geoffroyi			1								1	
Callithrix_jacchus		1									1	
Callithrix_kuhlii					1						1	
Callithrix_penicillata		1	1		1						3	
Canaanimico_amazonensis	1										1	
Carlocebus_carmenensis									1		1	
Cartelles_coimbrafilhoi		1									1	
Cebuella_pygmaea	1										1	
Cebupithecia_sarmientoi	1										1	
Cebus_albifrons	1										1	
Cebus_capucinus											0	valid
Cebus_olivaceus											0	valid
Chilecebus_carrascoensis									1		1	
Chiropotes_chiropotes				1							1	
Chiropotes_israelita											0	valid
Chiropotes_utahicki				1							1	
Dolichocebus_gaimanensis									1		1	
Homunculus_patagonicus									1		1	
Insulacebus_toussentiana										1	1	
Killikaike_blakei									1		1	
Lagonimico_conclucatus	1										1	
Lagothrix_cana	1										1	
Lagothrix_lagotricha	1										1	
Laventiana_annectens	1										1	
Leontopithecus_chrysomelas					1						1	
Leontopithecus_chrysopygus			1								1	
Leontopithecus_rosalia			1								1	
Mazzonicebus_almendrae									1		1	
Mico_argentatus				1							1	
Mico_emiliae				1							1	
Mico_humeralifer	1										1	
Mico_mauesi	1										1	
Micodon_kyotensis	1										1	
Miocallicebus_villaviejai	1										1	
Mohanamico_hershkovitzi	1										1	
Neosaimiri_fieldsi	1										1	
Nuciruptor_rubricae	1										1	
Panamacebus_transitus							1				1	
Paralouatta_varonai										1	1	
Patasola_magdalenae	1										1	
Perupithecus_ucayaliensis	1										1	
Pithecia_irrorata											0	valid
Pithecia_monachus											0	valid
Pithecia_pithecia				1							1	
Proteropithecia_neuquenensis									1		1	
Saguinus_bicolor				1							1	
Saguinus_fuscicollis	1										1	
Saguinus_geoffroyi							1				1	
Saguinus_graellsi											0	invalid name (=Leontocebus nigricollis graellsi)
Saguinus_imperator	1										1	
Saguinus_labiatus	1										1	
Saguinus_martinsi				1							1	
Saguinus_melanoleucus	1										1	
Saguinus_midas				1							1	
Saguinus_mystax	1										1	
Saguinus_nigricollis	1										1	
Saguinus_oedipus	1						1				2	
Saguinus_tripartitus	1										1	
Saimiri_boliviensis	1										1	
Saimiri_oerstedii						1					1	
Saimiri_sciureus	1			1							2	
Saimiri_ustus	1										1	
Sapajus_apella	1			1							2	
Sapajus_libidinosus		1									1	
Sapajus_robustus			1								1	
Sapajus_xanthosternos					1						1	
Solimoea_acrensis	1										1	
Soriacebus_ameghinorum									1		1	
Stirtonia_tatacoensis	1										1	
Stirtonia_victoriae	1										1	
Szalatavus_attricuspis	1										1	
Tremacebus_harringtoni									1		1	
Xenothrix_mcgregori										1	1	
