"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","individualCount","occurrenceRemarks","stateProvince","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","sex","previousCatalogNumber","county","infraspecificEpithet"
"1","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","221483","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","Collector Unknown","NZP 2562","1920","6","1","South America","Brazil","Rio Negros","Skull; Partial Skeleton","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","256214","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","E. Holt","47","1930","11","10","South America","Brazil","Rio Maturaca","Skin; Skull","1","TM 2077144: 5 hairs removed from tail by Amanda Spriggs (SUNY) for fungal analysis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","256215","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","E. Holt","50","1930","11","25","South America","Brazil","Rio Maturaca","Skin; Skull","1","TM 2077144: 5 hairs removed from distal tail by Amanda Spriggs (SUNY) for fungal analysis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","256216","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","E. Holt","51","1930","11","25","South America","Brazil","Rio Maturaca, Salto Do Hua","Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","256217","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","E. Holt, Blake & Agostini","52","1930","11","25","South America","Brazil","Rio Maturaca, Salto Do Hua","Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","283070","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","E. Holt","No Number","1930","11","25","South America","Brazil","Rio Maturaca","Skin","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","283071","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","E. Holt","No Number","1930","11","25","South America","Brazil","Rio Maturaca","Skin","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406419","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","Smithsonian Venezuelan Project","17409","1967","3","31","South America","Venezuela","Rio Mavaca, 108 Km SSE Esmeralda","Skin; Skull","1",NA,"Amazonas","-65.28","2.25","065 17 -- W","02 15 -- N","140.0",NA,NA,NA,NA
"9","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406422","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","Smithsonian Venezuelan Project","17643","1967","4","7","South America","Venezuela","Rio Mavaca, 108 Km SSE Esmeralda","Skin; Skull","1",NA,"Amazonas","-65.28","2.25","06517--W","0215--N","140.0",NA,NA,NA,NA
"10","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406423","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao melanocephalus","Smithsonian Venezuelan Project","17644","1967","4","7","South America","Venezuela","Rio Mavaca, 108 Km SSE Esmeralda","Skin; Skull","1",NA,"Amazonas","-65.28","2.25","06517--W","0215--N","140.0",NA,NA,NA,NA
