"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","occurrenceRemarks","individualCount","lifeStage","continent","vernacularName","locality","samplingProtocol","higherClassification","coordinatePrecision","organismQuantity","organismQuantityType","identificationReferences","acceptedNameUsage","http...rs.tdwg.org.dwc.terms.organismQuantity","preparations","http...rs.tdwg.org.dwc.terms.organismQuantityType","verbatimTaxonRank","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","establishmentMeans","institutionKey","collectionKey","institutionID","nomenclaturalCode","higherGeography","endDayOfYear","georeferenceVerificationStatus","language","type","startDayOfYear","accessRights","behavior","elevation","elevationAccuracy","eventID","footprintWKT","municipality","county","identificationVerificationStatus","originalNameUsage","datasetID","nameAccordingTo","associatedReferences","sex","recordNumber","habitat","verbatimCoordinateSystem","associatedSequences","locationRemarks","georeferencedDate","georeferencedBy","georeferenceProtocol","collectionID","georeferenceSources","infraspecificEpithet","fieldNumber","organismID","ownerInstitutionCode","georeferenceRemarks","bibliographicCitation","dynamicProperties","locationAccordingTo","identificationRemarks","otherCatalogNumbers","previousIdentifications","identificationQualifier","gadm","projectId","earliestAgeOrLowestStage","namePublishedInYear","taxonConceptID","lithostratigraphicTerms","download"
"Cebus olivaceus","3337700749","Cebus olivaceus Schomburgk, 1848",10.530925,-67.206684,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:54.198+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC","2021-08-14T17:16:27",300,"Vargas",2021,7,8,"2021-07-08T06:22:00","2021-08-14T18:31:53.000+00:00","2021-09-08T00:20:54.198+00:00","https://www.inaturalist.org/observations/91140534","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VE","none","none","Venezuela (Bolivarian Republic of)","Oswaldo Hernández","91140534","ozzhernandez","2021/07/08 6:22 AM -0400","iNaturalist research-grade observations","Finca La Florida, Vargas, Venezuela","Observations","3337700749","https://www.inaturalist.org/observations/91140534","43430","Oswaldo Hernández","91140534","https://www.inaturalist.org/observations/91140534","iNaturalist","© Oswaldo Hernández some rights reserved","10:22:00Z","Oswaldo Hernández","199263603","Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus olivaceus","2550033254","Cebus olivaceus Schomburgk, 1848",10.282672,-68.253894,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:49:47.200+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC","2020-01-07T01:58:35",100,"Carabobo",2020,1,2,"2020-01-02T07:14:00","2020-01-07T02:04:43.000+00:00","2021-09-07T23:49:47.200+00:00","https://www.inaturalist.org/observations/37357149","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VE","none","none","Venezuela (Bolivarian Republic of)","Oswaldo Hernández","37357149","ozzhernandez","2020/01/02 7:14 AM -0400","iNaturalist research-grade observations","Posada Ecológica Casa María","Observations","2550033254","https://www.inaturalist.org/observations/37357149","43430","Oswaldo Hernández","37357149","https://www.inaturalist.org/observations/37357149","iNaturalist","© Oswaldo Hernández some rights reserved","11:14:00Z","Oswaldo Hernández","82824628","Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus olivaceus","2563621421","Cebus olivaceus Schomburgk, 1848",10.29506,-68.657929,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:19:40.786+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC","2020-01-27T21:12:54",132,"Yaracuy",2020,1,17,"2020-01-17T11:13:15","2020-01-28T12:42:29.000+00:00","2021-09-08T00:19:40.786+00:00","https://www.inaturalist.org/observations/38037632","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VE","none","none","Venezuela (Bolivarian Republic of)","Oswaldo Hernández","38037632","ozzhernandez","2020-01-17 11:13:15 AM GMT-04:00","iNaturalist research-grade observations","San Felipe, Yaracuy, Venezuela","Observations","2563621421","https://www.inaturalist.org/observations/38037632","43430","Oswaldo Hernández","38037632","https://www.inaturalist.org/observations/38037632","iNaturalist","© Oswaldo Hernández some rights reserved","15:13:15Z","Oswaldo Hernández","85146779","Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus olivaceus","2563627827","Cebus olivaceus Schomburgk, 1848",3.96076,-59.12374,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:31:35.408+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC","2020-01-28T19:39:31",170,"Upper Takutu-Upper Essequibo",2020,1,11,"2020-01-11T12:27:00","2020-01-29T08:47:16.000+00:00","2021-09-07T23:31:35.408+00:00","https://www.inaturalist.org/observations/38054949","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","GY","none","none","Guyana","willaschrlau","38054949","willaschrlau","2020/01/11 12:27 PM EST","iNaturalist research-grade observations","Guyana","Observations","2563627827","https://www.inaturalist.org/observations/38054949","43430","willaschrlau","38054949","https://www.inaturalist.org/observations/38054949","iNaturalist","© willaschrlau some rights reserved","17:27:00Z","Jane Widness","85235460","Cebus olivaceus Schomburgk, 1848","Rock View Lodge, Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus olivaceus","2992821877","Cebus olivaceus Schomburgk, 1848",8.31602,-62.674831,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:47:21.453+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC","2020-11-30T13:44:31",244,"Bolívar",2020,1,25,"2020-01-25T10:44:00","2020-12-06T15:36:57.000+00:00","2021-09-07T23:47:21.453+00:00","https://www.inaturalist.org/observations/65884899","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VE","none","none","Venezuela (Bolivarian Republic of)","boogan_boy","65884899","boogan_boy","2020/01/25 10:44 AM UTC","iNaturalist research-grade observations","Guayana City, Bolívar, Venezuela","Observations","2992821877","https://www.inaturalist.org/observations/65884899","43430","boogan_boy","65884899","https://www.inaturalist.org/observations/65884899","iNaturalist","© boogan_boy some rights reserved","10:44:00Z","Michal Sloviak","144222571","Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus olivaceus","2620081562","Cebus olivaceus Schomburgk, 1848",8.57246,-67.583213,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:31:23.617+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC","2020-02-15T21:42:24",216,"Guárico",2020,2,12,"2020-02-12T08:56:00","2020-05-05T14:31:13.000+00:00","2021-09-07T23:31:23.617+00:00","https://www.inaturalist.org/observations/38684278","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","VE","none","none","Venezuela (Bolivarian Republic of)","Oswaldo Hernández","38684278","ozzhernandez","2020/02/12 8:56 AM -0400","iNaturalist research-grade observations","Francisco de Miranda, Guárico, Venezuela","Observations","2620081562","https://www.inaturalist.org/observations/38684278","43430","Oswaldo Hernández","38684278","https://www.inaturalist.org/observations/38684278","iNaturalist","© Oswaldo Hernández some rights reserved","12:56:00Z","Oswaldo Hernández","87087708","Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus olivaceus","2835174717","Cebus olivaceus Schomburgk, 1848",4.949845,-55.179966,"cdround,osiic","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","85ccfd1a-a837-48d6-9a87-96c99f6fe012","NL","DWC_ARCHIVE","2020-08-19T12:31:07.894+00:00","2021-08-30T10:28:43.986+00:00",80,"396d5f30-dea9-11db-8ab4-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,25,NA,2020,2,12,"2020-02-12T00:00:00","2020-05-11T00:00:00.000+00:00","2021-08-30T10:28:43.986+00:00","https://data.biodiversitydata.nl/obsint/observation/OBS.185841643","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","SR","none","none","Suriname","Stichting Natuurinformatie","185841643@OBS",NA,NA,NA,NA,"Observations","2835174717","https://observation.org/observation/185841643",NA,NA,"OBS.185841643",NA,NA,NA,"13:14",NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,4,"Unknown","SOUTH_AMERICA","Guianan Weeper Capuchin","Suriname - Brownsberg NP","seen","Animalia|NEW_WORLD_MONKEYS_CEBIDAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus olivaceus","2843891767","Cebus olivaceus Schomburgk, 1848",4.948334,-55.180904,"cdround,osiic","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","85ccfd1a-a837-48d6-9a87-96c99f6fe012","NL","DWC_ARCHIVE","2020-08-19T12:31:07.894+00:00","2021-08-30T10:27:39.720+00:00",80,"396d5f30-dea9-11db-8ab4-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC",NA,25,NA,2020,3,2,"2020-03-02T00:00:00","2020-03-08T00:00:00.000+00:00","2021-08-30T10:27:39.720+00:00","https://data.biodiversitydata.nl/obsint/observation/OBS.186287528","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","SR","none","none","Suriname","Stichting Natuurinformatie","186287528@OBS",NA,NA,NA,NA,"Observations","2843891767","https://observation.org/observation/186287528",NA,NA,"OBS.186287528",NA,NA,NA,"16:33",NA,NA,"Cebus olivaceus Schomburgk, 1848",NA,6,"Unknown","SOUTH_AMERICA","Guianan Weeper Capuchin","Suriname - Brownsberg NP",NA,"Animalia|NEW_WORLD_MONKEYS_CEBIDAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus olivaceus","1993730355","Cebus olivaceus Schomburgk, 1848",3.364101,-61.43504,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:03:49.896+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC","2019-02-02T18:01:18",122,"Roraima",2019,1,31,"2019-01-31T08:09:00","2019-02-02T18:32:41.000+00:00","2021-09-08T00:03:49.896+00:00","https://www.inaturalist.org/observations/20033993","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","crax","20033993","crax","2019/01/31 8:09 AM HST","iNaturalist research-grade observations","Amajari, BR-RR, BR","Observations","1993730355","https://www.inaturalist.org/observations/20033993","43430","crax","20033993","https://www.inaturalist.org/observations/20033993","iNaturalist","© crax some rights reserved","18:09:00Z","crax","44390555","Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Cebus olivaceus","1993748668","Cebus olivaceus Schomburgk, 1848",4.175611,-58.994189,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:01:03.514+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436638,1,44,359,798,9621,2436635,2436638,2436638,"Cebus olivaceus Schomburgk, 1848","Animalia","Chordata","Primates","Cebidae","Cebus","Cebus olivaceus","Cebus","olivaceus","SPECIES","ACCEPTED","LC","2019-02-04T22:11:58",4847,"Potaro-Siparuni",2019,1,24,"2019-01-24T06:49:00","2021-07-29T19:56:08.000+00:00","2021-09-08T00:01:03.514+00:00","https://www.inaturalist.org/observations/20086001","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","GY","none","none","Guyana","Paul Prior","20086001","paul_prior","2019/01/24 6:49 AM EST","iNaturalist research-grade observations","Potaro-Siparuni, Guyana","Observations","1993748668","https://www.inaturalist.org/observations/20086001","43430","Paul Prior","20086001","https://www.inaturalist.org/observations/20086001","iNaturalist","© Paul Prior some rights reserved","11:49:00Z","Paul Prior","44538371","Cebus olivaceus Schomburgk, 1848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
