MSW05_Order;MSW05_Family;MSW05_Genus;MSW05_Species;MSW05_Binomial;26-2_GR_MaxLat_dd;26-3_GR_MinLat_dd;26-4_GR_MidRangeLat_dd;26-5_GR_MaxLong_dd;26-6_GR_MinLong_dd;26-7_GR_MidRangeLong_dd
Primates;Pitheciidae;Callicebus;cupreus;Callicebus_cupreus;-2.5;-10.67;-6.58;-61.59;-74.92;-68.25
Primates;Pitheciidae;Callicebus;donacophilus;Callicebus_donacophilus;-10.45;-21.29;-15.87;-57.52;-67.21;-62.37
Primates;Pitheciidae;Callicebus;hoffmannsi;Callicebus_hoffmannsi;-1.95;-6;-3.97;-54.87;-59.21;-57.04
Primates;Pitheciidae;Callicebus;medemi;Callicebus_medemi;0.95;-1.66;-0.35;-74.42;-76.71;-75.56
Primates;Pitheciidae;Callicebus;melanochir;Callicebus_melanochir;-12.83;-18.16;-15.5;-38.72;-40.46;-39.59
Primates;Pitheciidae;Callicebus;modestus;Callicebus_modestus;-14.25;-15.67;-14.96;-65.93;-67.39;-66.66
Primates;Atelidae;Ateles;belzebuth;Ateles_belzebuth;4.08;-4.98;-0.44;-60.12;-78.54;-69.33
Primates;Atelidae;Ateles;chamek;Ateles_chamek;-2.58;-11.43;-7.01;-62.25;-77.21;-69.73
Primates;Atelidae;Ateles;fusciceps;Ateles_fusciceps;11.11;1.77;6.44;-73.92;-79.12;-76.52
Primates;Atelidae;Ateles;geoffroyi;Ateles_geoffroyi;24.09;0.67;12.38;-70.23;-98.85;-84.54
Primates;Atelidae;Ateles;hybridus;Ateles_hybridus;11.35;6.26;8.8;-66.36;-75.27;-70.82
Primates;Atelidae;Ateles;marginatus;Ateles_marginatus;-0.54;-8.84;-4.69;-47.7;-64.33;-56.01
Primates;Atelidae;Ateles;paniscus;Ateles_paniscus;7.28;-3.14;2.06;-50.44;-61.85;-56.14
Primates;Pitheciidae;Callicebus;moloch;Callicebus_moloch;-1.3;-14.1;-7.7;-48.19;-58.29;-53.24
Primates;Pitheciidae;Callicebus;nigrifrons;Callicebus_nigrifrons;-16.37;-24.44;-20.4;-41.86;-51.33;-46.6
Primates;Pitheciidae;Callicebus;oenanthe;Callicebus_oenanthe;-5.16;-5.98;-5.57;-76.96;-77.67;-77.31
Primates;Pitheciidae;Callicebus;olallae;Callicebus_olallae;-14.25;-15.67;-14.96;-65.93;-67.39;-66.66
Primates;Pitheciidae;Callicebus;ornatus;Callicebus_ornatus;4.38;2.18;3.28;-73.68;-74.77;-74.23
