FID_;id_no;binomial;presence;origin;seasonal;compiler;year;citation;source;dist_comm;island;subspecies;subpop;legend;tax_comm;kingdom;phylum;class;order_;family;genus;code;marine;terrestial;freshwater;Shape_Leng;Shape_Area;AREA_GEO;Area;CentroY
;39915.000000000000000;Aotus brumbacki;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;AOTIDAE;Aotus;VU;f;t;f;14.719989854100000;10.099927609700000;123963493759.000000000000000;101726.608882999990000;4.250306761190000
;914.000000000000000;Alouatta pigra;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;EN;f;t;f;29.253725993000000;20.494257188999999;240005599281.000000000000000;203584.402096000010000;18.094001887899999
;40642.000000000000000;Alouatta macconnelli;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;LC;f;t;f;82.052302248900006;143.583109404999990;1763214817140.000000000000000;1446418.424219999900000;2.816855710970000
;2279.000000000000000;Ateles geoffroyi;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ;frontatus; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Ateles;EN;f;t;f;23.794488775300000;8.691900850580000;901717678542.000000000000000;759489.242527000020000;15.846623456300000
;41545.000000000000000;Alouatta caraya;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;LC;f;t;f;93.991404239900007;261.886850396000000;3064149231520.000000000000000;2601035.642719999900000;-17.637125791999999
;918.000000000000000;Alouatta ululata;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;EN;f;t;f;16.845313835599999;8.103923434920000;99540058018.600006000000000;81640.048116899998000;-3.725804550500000
;2276.000000000000000;Ateles belzebuth;2.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Probably Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Ateles;EN;f;t;f;16.958779209199999;11.735739578200000;1153231210620.000000000000000;945394.035149000000000;0.409215770515000
;2282.000000000000000;Ateles marginatus;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Ateles;EN;f;t;f;33.096464149600003;42.945946420600002;524096117460.000000000000000;431784.105289999980000;-7.106781877210000
;136332.000000000000000;Alouatta nigerrima;2.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Probably Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;LC;f;t;f;4.649667894900000;0.979474215226000;236116009661.000000000000000;193928.849274999990000;-5.074617458280000
;2994.000000000000000;Brachyteles hypoxanthus;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Brachyteles;CR;f;t;f;15.458499575199999;8.352547289920000;96656917270.800003000000000;82689.519908899994000;-20.141263091799999
;39925.000000000000000;Lagothrix cana;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ;tschudii; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Lagothrix;EN;f;t;f;27.818441522600001;21.827468830899999;1367068232710.000000000000000;1128245.726869999900000;-8.124005755710000
;136486.000000000000000;Alouatta arctoidea;2.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Probably Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;LC;f;t;f;7.204972481380000;3.150733674710000;406536256417.000000000000000;335598.774213000030000;8.660679387709999
;39960.000000000000000;Alouatta palliata;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ;aequatorialis; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;LC;f;t;f;85.155939600799996;19.387179390000000;567399439847.000000000000000;470966.613111999990000;9.711646866430000
;11175.000000000000000;Lagothrix lagotricha;2.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Probably Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Lagothrix;VU;f;t;f;10.299533757400001;3.490560560240000;654623625953.000000000000000;536378.883983999960000;-0.083485122955300
;39961.000000000000000;Ateles hybridus;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ;brunneus; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Ateles;CR;f;t;f;8.245387351270001;2.600818504920000;165847095865.000000000000000;136809.968633000010000;8.273264056340000
;39924.000000000000000;Oreonax flavicauda;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Oreonax;CR;f;t;f;7.899542215760000;1.972704110400000;27138446911.200001000000000;22320.177324200002000;-6.483375814420000
;136787.000000000000000;Alouatta seniculus ssp. puruensis;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;LC;f;t;f;50.269106403499997;85.858745259399996;1044786728140.000000000000000;862498.302310999950000;-8.401205255930000
;39916.000000000000000;Alouatta guariba;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;LC;f;t;f;89.132571893299996;95.187184295600005;1076686912870.000000000000000;936294.319015000020000;-23.079383387699998
;2993.000000000000000;Brachyteles arachnoides;1.000000000000000;1.000000000000000;1.000000000000000;Biodiversitas Brazil;2008.000000000000000;Biodiversitas Brazil; ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Brachyteles;EN;f;t;f;27.009977191800001;7.639035689380000;86276022170.800003000000000;75130.072218100002000;-23.698944722699999
;39927.000000000000000;Lagothrix poeppigii;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Lagothrix;VU;f;t;f;44.122613816499999;54.327462959800002;665989367989.000000000000000;546951.326096000030000;-4.849756224130000
;922.000000000000000;Alouatta seniculus ssp. juara;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;LC;f;t;f;86.742965817799998;190.639252011000000;2337664750750.000000000000000;1919565.018840000000000;-0.323949687223000
;135446.000000000000000;Ateles fusciceps;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ;rufiventris; ;Extant (resident);(Alberico et al, 2000) considers it a differentiated species;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Ateles;CR;f;t;f;43.270316275100001;14.720095610500000;215774941723.000000000000000;177355.180667000010000;4.980654275060000
;39926.000000000000000;Lagothrix lugens;2.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Probably Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Lagothrix;CR;f;t;f;13.222726439900001;3.891386425000000;167628956717.000000000000000;137643.005700999990000;4.631191948450000
;41547.000000000000000;Ateles chamek;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Ateles;EN;f;t;f;68.124398202099997;200.917481635000000;2437435922590.000000000000000;2016545.718720000000000;-9.180222654580000
;2283.000000000000000;Ateles paniscus;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Ateles;VU;f;t;f;36.814167273199999;74.663704910800007;1061273916070.000000000000000;870166.155667999990000;1.968295226890000
;39957.000000000000000;Alouatta belzebul;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;VU;f;t;f;79.351669017199995;70.780076583699994;866695479452.000000000000000;712355.312171999950000;-5.341616912050000
;43912.000000000000000;Alouatta discolor;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;VU;f;t;f;31.142023952300001;30.734330422700001;375736458941.000000000000000;309167.830643000020000;-6.332615832710000
;41546.000000000000000;Alouatta sara;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;ATELIDAE;Alouatta;LC;f;t;f;27.569520386499999;28.616694839000001;341394822381.000000000000000;285831.756673000000000;-14.286306131900000
;42695.000000000000000;Saguinus martinsi;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ;martinsi; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;CALLITRICHIDAE;Saguinus;LC;f;t;f;6.630630567990000;1.917695549890000;42109335597.599998000000000;34501.705670299998000;-1.728749885620000
;39914.000000000000000;Mico marcai;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;CALLITRICHIDAE;Mico;DD;f;t;f;3.266784618660000;0.573693770100000;7000805428.050000200000000;5767.511044330000000;-7.624781058450000
;136294.000000000000000;Mico melanurus;1.000000000000000;1.000000000000000;1.000000000000000;IUCN;2008.000000000000000;IUCN (International Union for Conservation of Nature); ; ; ; ; ;Extant (resident); ;ANIMALIA;CHORDATA;MAMMALIA;PRIMATES;CALLITRICHIDAE;Mico;LC;f;t;f;39.958279305399998;62.805938489900001;850115439167.000000000000000;714455.943581999980000;-15.431065150900000
