"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","occurrenceRemarks","gadm","sex","informationWithheld","infraspecificEpithet","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","lifeStage","identificationRemarks","individualCount","continent","vernacularName","locality","samplingProtocol","higherClassification","download"
"Alouatta coibensis","3017946990","Alouatta palliata (Gray, 1849)",10.23499,-83.911781,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:01:11.670+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436649,1,44,359,798,3239607,2436647,2436649,2436649,"Alouatta palliata (Gray, 1849)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta palliata","Alouatta","palliata","SPECIES","ACCEPTED","VU","2021-01-05T00:56:12",65,"Heredia",2021,1,5,"2021-01-05T00:44:32","2021-01-06T16:05:04.000+00:00","2021-09-08T00:01:11.670+00:00","https://www.inaturalist.org/observations/67596477","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","sasha_sasha","67596477","sasha_sasha","Tue Jan 05 2021 00:44:32 GMT-0600 (CST)","iNaturalist research-grade observations","Sarapiqui, Heredia, CR","Observations","3017946990","https://www.inaturalist.org/observations/67596477","43436","sasha_sasha","67596477","https://www.inaturalist.org/observations/67596477","iNaturalist","© sasha_sasha some rights reserved","00:44:32Z","sasha_sasha","149156430","Alouatta palliata (Gray, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta coibensis","3017964754","Alouatta palliata (Gray, 1849)",10.621137,-85.680183,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:33:20.137+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436649,1,44,359,798,3239607,2436647,2436649,2436649,"Alouatta palliata (Gray, 1849)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta palliata","Alouatta","palliata","SPECIES","ACCEPTED","VU","2021-01-02T12:21:16",14,"Guanacaste",2021,1,1,"2021-01-01T15:20:50","2021-01-02T16:58:57.000+00:00","2021-09-07T23:33:20.137+00:00","https://www.inaturalist.org/observations/67452587","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","eukaria","67452587","eukaria","Fri Jan 01 2021 15:20:50 GMT-0600 (CST)","iNaturalist research-grade observations","Calle Noche de Luna, Liberia, Guanacaste, CR","Observations","3017964754","https://www.inaturalist.org/observations/67452587","43436","eukaria","67452587","https://www.inaturalist.org/observations/67452587","iNaturalist","© eukaria some rights reserved","15:20:50Z","eukaria","148740357","Alouatta palliata (Gray, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta coibensis","3018034047","Alouatta palliata (Gray, 1849)",8.441751,-83.283325,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:55:18.859+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436649,1,44,359,798,3239607,2436647,2436649,2436649,"Alouatta palliata (Gray, 1849)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta palliata","Alouatta","palliata","SPECIES","ACCEPTED","VU","2021-01-05T03:53:08",NA,"Puntarenas",2021,1,3,"2021-01-03T09:51:00","2021-01-06T08:13:24.000+00:00","2021-09-07T23:55:18.859+00:00","https://www.inaturalist.org/observations/67603094","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","veroalpizar","67603094","veroalpizar","2021/01/03 9:51 AM UTC","iNaturalist research-grade observations","Golfito, Puntarenas, Costa Rica","Observations","3018034047","https://www.inaturalist.org/observations/67603094","43436","veroalpizar","67603094","https://www.inaturalist.org/observations/67603094","iNaturalist","© veroalpizar some rights reserved","09:51:00Z","veroalpizar","149177725","Alouatta palliata (Gray, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta coibensis","3031665187","Alouatta palliata (Gray, 1849)",10.430623,-84.006971,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:05:15.775+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436649,1,44,359,798,3239607,2436647,2436649,2436649,"Alouatta palliata (Gray, 1849)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta palliata","Alouatta","palliata","SPECIES","ACCEPTED","VU","2021-01-08T03:37:39",210,"Heredia",2021,1,6,"2021-01-06T11:08:04","2021-01-08T09:08:26.000+00:00","2021-09-08T00:05:15.775+00:00","https://www.inaturalist.org/observations/67735381","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","Prash","67735381","pmak","2021-01-06 11:08:04 AM CST","iNaturalist research-grade observations","La Selva Biological Station","Observations","3031665187","https://www.inaturalist.org/observations/67735381","43436","Prash","67735381","https://www.inaturalist.org/observations/67735381","iNaturalist","© Prash some rights reserved","11:08:04Z","Prash","149581295","Alouatta palliata (Gray, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta coibensis","3031679078","Alouatta palliata (Gray, 1849)",9.151144,-83.737455,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:56:41.555+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436649,1,44,359,798,3239607,2436647,2436649,2436649,"Alouatta palliata (Gray, 1849)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta palliata","Alouatta","palliata","SPECIES","ACCEPTED","VU","2021-01-17T18:36:55",7,"Puntarenas",2021,1,17,"2021-01-17T12:26:53","2021-08-21T12:15:45.000+00:00","2021-09-07T23:56:41.555+00:00","https://www.inaturalist.org/observations/68225156","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","Kim Figueroa","68225156","kimfgr","2021-01-17 12:26:53 PM CST","iNaturalist research-grade observations","Provincia de Puntarenas, Uvita, Costa Rica","Observations","3031679078","https://www.inaturalist.org/observations/68225156","43436","Kim Figueroa","68225156","https://www.inaturalist.org/observations/68225156","iNaturalist","© Kim Figueroa some rights reserved","18:26:53Z","Kim Figueroa","150954965","Alouatta palliata (Gray, 1849)","Hembras y machos, descansando entre los Árboles de almendro y Ficus. 17 Individuos adultos entre ellos un juvenil. Una de las hembras presentaba en su pata derecha como si le hacía falta un dedo (no se logra apreciar bien) y se notaba como raspado del otromiembro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta coibensis","3031682608","Alouatta palliata (Gray, 1849)",8.575058,-83.358994,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:00:26.909+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436649,1,44,359,798,3239607,2436647,2436649,2436649,"Alouatta palliata (Gray, 1849)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta palliata","Alouatta","palliata","SPECIES","ACCEPTED","VU","2021-01-12T04:13:40",NA,"Puntarenas",2021,1,10,"2021-01-10T13:38:00","2021-01-12T05:06:50.000+00:00","2021-09-08T00:00:26.909+00:00","https://www.inaturalist.org/observations/67942521","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","veroalpizar","67942521","veroalpizar","2021/01/10 1:38 PM UTC","iNaturalist research-grade observations","Golfito, Puntarenas, Costa Rica","Observations","3031682608","https://www.inaturalist.org/observations/67942521","43436","veroalpizar","67942521","https://www.inaturalist.org/observations/67942521","iNaturalist","© veroalpizar some rights reserved","13:38:00Z","veroalpizar","150180225","Alouatta palliata (Gray, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta coibensis","3031691981","Alouatta palliata (Gray, 1849)",10.433982,-84.005122,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:35.856+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436649,1,44,359,798,3239607,2436647,2436649,2436649,"Alouatta palliata (Gray, 1849)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta palliata","Alouatta","palliata","SPECIES","ACCEPTED","VU","2021-01-28T01:52:53",751,"Heredia",2021,1,5,"2021-01-05T06:02:00","2021-01-28T01:58:27.000+00:00","2021-09-07T23:32:35.856+00:00","https://www.inaturalist.org/observations/68707116","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","pgkaestner","68707116","pgkaestner","2021/01/05 6:02 AM EST","iNaturalist research-grade observations","LA SELVA Barrio Flaminia, Heredia, Sarapiquí, Costa Rica","Observations","3031691981","https://www.inaturalist.org/observations/68707116","43436","pgkaestner","68707116","https://www.inaturalist.org/observations/68707116","iNaturalist","© pgkaestner some rights reserved","11:02:00Z","pgkaestner","152394453","Alouatta palliata (Gray, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta coibensis","3031693566","Alouatta palliata (Gray, 1849)",10.292215,-85.71823,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:53.727+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436649,1,44,359,798,3239607,2436647,2436649,2436649,"Alouatta palliata (Gray, 1849)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta palliata","Alouatta","palliata","SPECIES","ACCEPTED","VU","2021-01-23T14:41:08",NA,"Guanacaste",2021,1,22,"2021-01-22T11:12:00","2021-01-24T09:52:23.000+00:00","2021-09-07T23:32:53.727+00:00","https://www.inaturalist.org/observations/68491999","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","edgarbena","68491999","edgarbena","2021/01/22 11:12 AM CET","iNaturalist research-grade observations","Província de Guanacaste, Costa Rica","Observations","3031693566","https://www.inaturalist.org/observations/68491999","43436","edgarbena","68491999","https://www.inaturalist.org/observations/68491999","iNaturalist","© edgarbena some rights reserved","10:12:00Z","edgarbena","151760660","Alouatta palliata (Gray, 1849)","Tropa de 18 congos en camino donde hay suficiente conectividad natural y no hay peligro de atropello ni electrocución.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta coibensis","3031694385","Alouatta palliata (Gray, 1849)",10.346267,-85.826755,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:07:19.212+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436649,1,44,359,798,3239607,2436647,2436649,2436649,"Alouatta palliata (Gray, 1849)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta palliata","Alouatta","palliata","SPECIES","ACCEPTED","VU","2021-01-21T04:02:21",NA,"Guanacaste",2021,1,17,"2021-01-17T11:14:00","2021-01-21T16:40:18.000+00:00","2021-09-08T00:07:19.212+00:00","https://www.inaturalist.org/observations/68394394","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","edgarbena","68394394","edgarbena","2021/01/17 11:14 AM CET","iNaturalist research-grade observations","Província de Guanacaste, Costa Rica","Observations","3031694385","https://www.inaturalist.org/observations/68394394","43436","edgarbena","68394394","https://www.inaturalist.org/observations/68394394","iNaturalist","© edgarbena some rights reserved","10:14:00Z","edgarbena","151446326","Alouatta palliata (Gray, 1849)","Tropa de 11 congos Margen de carretera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Alouatta coibensis","3031698913","Alouatta palliata (Gray, 1849)",10.018777,-84.304784,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:39.632+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436649,1,44,359,798,3239607,2436647,2436649,2436649,"Alouatta palliata (Gray, 1849)","Animalia","Chordata","Primates","Atelidae","Alouatta","Alouatta palliata","Alouatta","palliata","SPECIES","ACCEPTED","VU","2021-01-26T14:50:33",11,"Alajuela",2021,1,24,"2021-01-24T14:26:00","2021-01-26T17:39:14.000+00:00","2021-09-07T23:32:39.632+00:00","https://www.inaturalist.org/observations/68641623","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CR","none","none","Costa Rica","fransl78","68641623","fransl78","Sun Jan 24 2021 14:26:00 GMT-0600 (CST)","iNaturalist research-grade observations","Grecia, Alajuela, CR","Observations","3031698913","https://www.inaturalist.org/observations/68641623","43436","fransl78","68641623","https://www.inaturalist.org/observations/68641623","iNaturalist","© fransl78 some rights reserved","14:26:00Z","fransl78","152187883","Alouatta palliata (Gray, 1849)","Se logra observar dos machos y dos hembras y un juvenil que no se pudo verificar su sexo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
