"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","sex","occurrenceRemarks","year","month","day","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","preparationType","individualCount","coordinatePrecision","geoFlag","scientificNameAuthorship","previousCatalogNumber","typeStatus","relationshipType"
"1","2021-06-09 13:00:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:153477","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","7045","South America","Peru","Amazonas","San Antonio (Aguaruna village), Rio Cenepa","-78.15201","-4.49398","female","BROUGHT FM AQUARUNA <a href='http://arctos.database.museum/guid/MVZ:Mamm:153477' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-10 12:56:13-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:136566","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Alouatta","seniculus",NA,"Alouatta seniculus","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","1360","South America","Peru","Ucayali","Balta, Rio Curanja","-71.2166666667","-10.1333333333","female","<a href='http://arctos.database.museum/guid/MVZ:Mamm:136566' target='other'> <mi>dwc_moreinfo</mi></a>","1968","07","07","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-07-04 18:30:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:153476","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","6993","South America","Peru","Amazonas","Kusu (Aguaruna village), Rio Comaina","-78.249668","-4.4432","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:153476' target='other'> <mi>dwc_moreinfo</mi></a>","1977","07","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-05-22 19:50:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:170903","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Alouatta","seniculus",NA,"Alouatta seniculus","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): Andres",NA,"South America","Ecuador","Orellana","San Jose de Payamino","-77.2833","-0.5","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:170903' target='other'> <mi>dwc_moreinfo</mi></a>","1982","09","21","300","300","Francisco de Orellana Canton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372758","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","03611","South America","Venezuela","Trujillo","La Ceiba, 52 Km WNW Valera","-71.05","9.5",NA,NA,"1965","10","29","29.0",NA,NA,"071 03 -- W","09 30 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"6","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372792","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","05305","South America","Venezuela","Falcon","Urama, 19 Km NW Urama, Km 40","-68.4","10.62",NA,NA,"1965","11","12","25.0",NA,NA,"068 24 -- W","10 37 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"7","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372794","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","06021","South America","Venezuela","Apure","Hato Cariben, 46 Km NE Pto. Paez, Rio Cinaruco","-67.22","6.55",NA,NA,"1965","12","27","76.0",NA,NA,"067 13 -- W","06 33 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"8","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372795","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","06023","South America","Venezuela","Apure","Hato Cariben, 46 Km NE Pto. Paez, Rio Cinaruco","-67.22","6.55",NA,NA,"1965","12","27","76.0",NA,NA,"067 13 -- W","06 33 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"9","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372796","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","06071","South America","Venezuela","Apure","Hato Cariben, 46 Km NE Pto. Paez","-67.22","6.55",NA,NA,"1965","12","28","76.0",NA,NA,"067 13 -- W","06 33 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"10","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","123517","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus","seniculus","Alouatta seniculus seniculus",NA,"H. Smith","93","South America","Colombia","Magdalena","Bonda",NA,NA,NA,NA,"1898","8","4",NA,NA,NA,NA,NA,"Skin; Skull; Skeleton","1",NA,NA,NA,NA,NA,NA
"11","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372798","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","06468","South America","Venezuela","Apure","Pto. Paez, 38 Km NNW Pto. Paez, Rio Cinaruco","-67.52","6.55",NA,NA,"1966","1","26","76.0",NA,NA,"067 31 -- W","06 33 -- N","Skull","1",NA,NA,NA,NA,NA,NA
