"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","individualCount","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude"
"1","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","103917","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","azarae","azarae","Aotus azarae azarae","J. De Carvalho","No Number","1900","9","6","South America","Brazil","Partial Skin; Skull; Partial Skeleton","1",NA,NA,NA,NA,NA,NA
"2","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","19690","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","azarae","azarae","Aotus azarae azarae","A. Muller","No Number",NA,NA,NA,"South America","Brazil","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"3","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","238677","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","azarae","boliviensis","Aotus azarae boliviensis","W. Mann","No Number","1922",NA,NA,"South America","Bolivia","Skull; Remainder in Fluid","1","El Beni","Rurrenabaque",NA,NA,NA,NA
"4","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","238699","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","azarae",NA,"Aotus azarae","W. Mann","No Number","1921","9",NA,"South America","Bolivia","Fluid","1",NA,"Rio Colorado",NA,NA,NA,NA
"5","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","536825","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","azarae",NA,"Aotus azarae","R. Thorington","28","1978","10","9","South America","Argentina","Fluid","1","Formosa","El Paraiso, 90 Km W. Of Formosa, Rt 81",NA,NA,NA,NA
"6","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","236351","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","azarae","azarae","Aotus azarae azarae","A. Wetmore","1096","1920","9","10","South America","Paraguay","Skin; Skull","1",NA,"Puerto Pinasco, 80 Km W",NA,NA,NA,NA
"7","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","239001","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","azarae","boliviensis","Aotus azarae boliviensis","W. Mann","NZP 2674","1922","9","15","South America","Bolivia","Skin; Remainder in Fluid","1",NA,"Rio Beni",NA,NA,NA,NA
"8","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","518217","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","azarae","boliviensis","Aotus azarae boliviensis","A. De Souza","M-24269 )NT-252)","1948","3","23","South America","Brazil","Skin; Skull","1","Para","Nova Timboteua, Mata Do Bais, Timboteua Velba, Fazenda Sao Francisco Do Trombeta, Francisco R. De Morais",NA,NA,NA,NA
"9","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","518216","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","azarae","infulatus","Aotus azarae infulatus","A. De Souza","24116 (CA 89)","1947","6","7","South America","Brazil","Skin; Skull","1","Mato Grosso","Caceres, Porto Espiridiao, Rio Jauru, Sitio Eucantadinho",NA,NA,NA,NA
"10","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","549846","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","azarae","infulatus","Aotus azarae infulatus","L. Emmons","LHE 502","1986","8","14","South America","Brazil","Anatomical","1","Para","Altamira, 52 Km SSW, E Bank Rio Xingu","-52.37","-3.65","052 22 -- W","03 39 -- S"
