"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","individualCount","day","minimumElevationInMeters","county"
"1","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","216700","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","griseimembra","Aotus griseimembra","H. Curran","No Number","1916","5","South America","Colombia","La Guajira","Puerto Estrella","Skin","1",NA,NA,NA
"2","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","276667","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","griseimembra","Aotus griseimembra","M. Carriker","4134","1943","6","South America","Colombia","Magdalena","Hyacucho, 25 Km E Of La Gloria","Skin; Skull","1","3","152.0",NA
"3","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281551","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","griseimembra","Aotus griseimembra","P. Hershkovitz","1168","1942","12","South America","Colombia","Cesar","Villanueva, Sierra Negra","Skin; Skull","1","21",NA,"Valledupar District"
"4","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281552","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","griseimembra","Aotus griseimembra","M. Carriker","1169","1942","12","South America","Colombia","Cesar","Sierra Negra, Villenueva","Skin; Skull","1","21",NA,"Valledupar District"
"5","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281553","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","griseimembra","Aotus griseimembra","P. Hershkovitz","1170","1942","12","South America","Colombia","Cesar","Villanueva, Sierra Negra","Skin; Skull","1","21",NA,"Valledupar District"
"6","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281554","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","griseimembra","Aotus griseimembra","P. Hershkovitz","1966","1943","4","South America","Colombia","Cesar","Rio Cesar, El Orinoco","Skin; Skull","1","6",NA,"Valledupar District"
"7","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281555","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","griseimembra","Aotus griseimembra","P. Hershkovitz","1967","1943","4","South America","Colombia","Cesar","Rio Cesar, El Orinoco","Skin; Skull","1","3",NA,"Valledupar District"
"8","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281556","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","griseimembra","Aotus griseimembra","P. Hershkovitz","2124","1943","6","South America","Colombia","Bolivar","Mompos, Norosi","Skin; Skull","1","24",NA,NA
"9","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281558","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","griseimembra","Aotus griseimembra","P. Hershkovitz","2126","1943","6","South America","Colombia","Bolivar","Mompos, Norosi","Skin; Skull","1","24",NA,NA
"10","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","281559","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","griseimembra","Aotus griseimembra","P. Hershkovitz","2127","1943","6","South America","Colombia","Bolivar","Mompos, Norosi","Skin; Skull","1","24",NA,NA
