"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","informationWithheld","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","occurrenceRemarks","projectId","sex","lifeStage","elevation","elevationAccuracy","continent","organismQuantity","organismQuantityType","http...rs.tdwg.org.dwc.terms.organismQuantity","institutionID","county","locality","language","type","preparations","disposition","vernacularName","http...rs.tdwg.org.dwc.terms.organismQuantityType","samplingProtocol","accessRights","collectionID","programmeAcronym","eventID","habitat","verbatimSRS","samplingEffort","municipality","verbatimCoordinateSystem","fieldNumber","verbatimElevation","identificationRemarks","individualCount","georeferencedBy","eventRemarks","datasetID","higherClassification","previousIdentifications","footprintWKT","parentEventID","locationAccordingTo","locationRemarks","fieldNotes","recordNumber","identifiedByIDs.type","identifiedByIDs.value","higherGeography","endDayOfYear","georeferenceVerificationStatus","startDayOfYear","collectionKey","recordedByIDs.type","recordedByIDs.value","georeferenceRemarks","taxonRemarks","locationID","ownerInstitutionCode","institutionKey","dynamicProperties","identificationVerificationStatus","georeferencedDate","nomenclaturalCode","georeferenceProtocol","organismID","identificationQualifier","georeferenceSources","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","originalNameUsage","verbatimTaxonRank","higherGeographyID","bibliographicCitation","download"
"Aotus lemurinus","3335132085","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",4.423372,-75.80547,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:35:42.048+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219591,1,44,359,798,3239574,2436667,5219591,5219591,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus lemurinus","Aotus","lemurinus","SPECIES","ACCEPTED","VU","2021-08-02T03:54:37",31403,"Quindío",2021,2,17,"2021-02-17T22:34:00","2021-08-03T06:47:13.000+00:00","2021-09-07T23:35:42.048+00:00","https://www.inaturalist.org/observations/89596719","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Juan Sebastian Muñoz-Acevedo","89596719","jsmunoza6909","Coordinate uncertainty increased to 31403m to protect threatened taxon","2021/02/17 10:34 PM -0500","iNaturalist research-grade observations","Colombia","Observations","3335132085","https://www.inaturalist.org/observations/89596719","43417","Juan Sebastian Muñoz-Acevedo","89596719","https://www.inaturalist.org/observations/89596719","iNaturalist","© Juan Sebastian Muñoz-Acevedo some rights reserved","03:34:00Z","Juan Sebastian Muñoz-Acevedo","196121560","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus lemurinus","3325495115","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",5.042328,-75.977765,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:35:11.100+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219591,1,44,359,798,3239574,2436667,5219591,5219591,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus lemurinus","Aotus","lemurinus","SPECIES","ACCEPTED","VU","2021-07-05T18:25:03",31389,"Caldas",2021,6,29,"2021-06-29T10:02:00","2021-07-05T19:08:36.000+00:00","2021-09-07T23:35:11.100+00:00","https://www.inaturalist.org/observations/85800899","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","desertnaturalist","85800899","desertnaturalist","Coordinate uncertainty increased to 31389m to protect threatened taxon","2021/06/29 10:02 AM PDT","iNaturalist research-grade observations","Colombia","Observations","3325495115","https://www.inaturalist.org/observations/85800899","43417","desertnaturalist","85800899","https://www.inaturalist.org/observations/85800899","iNaturalist","© desertnaturalist some rights reserved","17:02:00Z","desertnaturalist","188601802","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","at 1930m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus lemurinus","3111534377","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",5.072222,-75.527778,"cdround","1a58ec89-e5d4-4b2b-9ed3-1c8b5f70f4fc","f7f9717e-9e50-4a00-a30f-7b134390a566","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-05-14T17:50:08.572+00:00","2021-05-14T17:50:11.961+00:00",173,"c4f66525-4d36-4c18-82ac-98e088f54db4","PRESERVED_SPECIMEN","PRESENT",5219591,1,44,359,798,3239574,2436667,5219591,5219591,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus lemurinus","Aotus","lemurinus","SPECIES","ACCEPTED","VU",NA,NA,"Caldas",2020,1,28,"2020-01-28T00:00:00",NA,"2021-05-14T17:50:11.961+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Universidad de Caldas","UCaldas:MHNUCA:Mammal-3288",NA,NA,NA,NA,"Caldas, Manizales, Barrio La Francia","MHN-UCa","3111534377","UCaldas:MHNUCA:Mammal-3288",NA,"Sebastián Bustamante","MHNUCA:Mammal:3288",NA,"Universidad de Caldas (UCaldas)",NA,NA,NA,NA,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",NA,"Universidad de Caldas","FEMALE","Unknown",2030,0,"SOUTH_AMERICA",1,"Individuo","1","890.801.063-0","Manizales","Barrio La Francia","es","Objeto físico","Piel | Cráneo | Esqueleto | Tejidos","En colección","Marteja | Mico De Noche | Sorbe Humo | Mico Tuto | Mico Chala | Maca Cagao | Marikiná | Jujuná","Individuo","Encontrado muerto","Solo para uso académico","RNC:086",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus lemurinus","2574171617","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",4.733208,-75.56162,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:56:46.017+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219591,1,44,359,798,3239574,2436667,5219591,5219591,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus lemurinus","Aotus","lemurinus","SPECIES","ACCEPTED","VU","2020-02-19T15:42:35",31398,"Risaralda",2020,2,17,"2020-02-17T16:09:19","2020-03-18T12:57:04.000+00:00","2021-09-07T23:56:46.017+00:00","https://www.inaturalist.org/observations/38834786","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","María Girleza Ramírez González, Parques Nacionales Naturales de Colombia-SFF Otún Quimbaya","38834786","mariagirleza","Coordinate uncertainty increased to 31398m to protect threatened taxon","2020-02-17 4:09:19 PM GMT-05:00","iNaturalist research-grade observations","Colombia","Observations","2574171617","https://www.inaturalist.org/observations/38834786","43417","María Girleza Ramírez González, Parques Nacionales Naturales de Colombia-SFF Otún Quimbaya","38834786","https://www.inaturalist.org/observations/38834786","iNaturalist","© María Girleza Ramírez González, Parques Nacionales Naturales de Colombia-SFF Otún Quimbaya some rights reserved","21:09:19Z","José Valério","87535433","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus lemurinus","2611010443","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",4.627045,-75.458611,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:30:55.950+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219591,1,44,359,798,3239574,2436667,5219591,5219591,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus lemurinus","Aotus","lemurinus","SPECIES","ACCEPTED","VU","2020-04-21T21:00:50",31398,"Quindío",2020,2,27,"2020-02-27T11:17:00","2020-04-27T19:21:39.000+00:00","2021-09-07T23:30:55.950+00:00","https://www.inaturalist.org/observations/42788097","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","laurarubiorocha","42788097","laurarubiorocha","Coordinate uncertainty increased to 31398m at the request of the observer","2020/02/27 11:17 AM -0500","iNaturalist research-grade observations","Colombia","Observations","2611010443","https://www.inaturalist.org/observations/42788097","43417","laurarubiorocha","42788097","https://www.inaturalist.org/observations/42788097","iNaturalist","© laurarubiorocha some rights reserved","16:17:00Z","laurarubiorocha","96789287","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus lemurinus","2813993326","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",6.526758,-74.755462,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:14.051+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219591,1,44,359,798,3239574,2436667,5219591,5219591,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus lemurinus","Aotus","lemurinus","SPECIES","ACCEPTED","VU","2020-07-08T01:33:20",31350,"Antioquia",2020,5,14,"2020-05-14T10:46:00","2021-03-20T03:16:26.000+00:00","2021-09-07T23:32:14.051+00:00","https://www.inaturalist.org/observations/52324442","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","David Ángel-Vasco","52324442","davidangel-v","Coordinate uncertainty increased to 31350m to protect threatened taxon","2020/05/14 10:46 AM -0500","iNaturalist research-grade observations","Antioquia, CO","Observations","2813993326","https://www.inaturalist.org/observations/52324442","43417","David Ángel-Vasco","52324442","https://www.inaturalist.org/observations/52324442","iNaturalist","© David Ángel-Vasco some rights reserved","15:46:00Z","David Ángel-Vasco","115614301","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus lemurinus","2988597979","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",6.732475,-75.882396,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:05:19.726+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219591,1,44,359,798,3239574,2436667,5219591,5219591,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus lemurinus","Aotus","lemurinus","SPECIES","ACCEPTED","VU","2020-11-14T22:31:19",31344,"Antioquia",2020,11,14,"2020-11-14T14:45:36","2020-11-18T01:02:37.000+00:00","2021-09-08T00:05:19.726+00:00","https://www.inaturalist.org/observations/64881348","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Giovanny esteban zapata usuga","64881348","giovanizapata","Coordinate uncertainty increased to 31344m to protect threatened taxon","2020-11-14 2:45:36 PM GMT-05:00","iNaturalist research-grade observations","Antioquia, CO","Observations","2988597979","https://www.inaturalist.org/observations/64881348","43417","Giovanny esteban zapata usuga","64881348","https://www.inaturalist.org/observations/64881348","iNaturalist","© Giovanny esteban zapata usuga some rights reserved","19:45:36Z","carissab","141723558","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",NA,NA,"MALE","Juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus lemurinus","3095845262","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",5.80866,-75.705263,"","d27e3988-f380-43dc-927a-0897726a0d44","df604473-66f0-444d-94c4-22795f268afe","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-05-03T20:01:42.309+00:00","2021-05-03T20:01:47.433+00:00",3,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",5219591,1,44,359,798,3239574,2436667,5219591,5219591,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus lemurinus","Aotus","lemurinus","SPECIES","ACCEPTED","VU",NA,NA,"Antioquia",2020,12,14,"2020-12-14T00:00:00",NA,"2021-05-03T20:01:47.433+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia",NA,"AGAC:Quebradona-Fauna_Mamiferos.txt:0474",NA,NA,"14/12/20",NA,NA,NA,"3095845262","AGAC:Quebradona-Fauna_Mamiferos.txt:0474",NA,NA,NA,NA,"AngloGold Ashanti Colombia S.A.S. (AGAC)",NA,NA,NA,NA,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",NA,"CESP2019-004",NA,NA,801.45,NA,"SOUTH_AMERICA",4,"Individuos","4","830.127.076-7","Jericó","El Dique","es","Evento",NA,NA,"Marteja","Individuos","Registro de individuos por observación puntual",NA,NA,"CESP","Fuana_2020","Vegetación secundaria baja","MAGNA-SIRGAS: Origen Oeste","Recorrido","Cauca","Coordenadas proyectadas","M061","801.454063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus lemurinus","3095845370","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",5.782426,-75.697618,"","d27e3988-f380-43dc-927a-0897726a0d44","df604473-66f0-444d-94c4-22795f268afe","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-05-03T20:01:42.309+00:00","2021-05-03T20:01:47.440+00:00",3,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",5219591,1,44,359,798,3239574,2436667,5219591,5219591,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus lemurinus","Aotus","lemurinus","SPECIES","ACCEPTED","VU",NA,NA,"Antioquia",2020,12,3,"2020-12-03T00:00:00",NA,"2021-05-03T20:01:47.440+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia",NA,"AGAC:Quebradona-Fauna_Mamiferos.txt:0404",NA,NA,"3/12/20",NA,NA,NA,"3095845370","AGAC:Quebradona-Fauna_Mamiferos.txt:0404",NA,NA,NA,NA,"AngloGold Ashanti Colombia S.A.S. (AGAC)",NA,NA,NA,NA,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",NA,"CESP2019-004",NA,NA,1117.03,NA,"SOUTH_AMERICA",1,"Individuos","1","830.127.076-7","Jericó","Candelaria","es","Evento",NA,NA,"Marteja","Individuos","Registro de individuos por observación puntual",NA,NA,"CESP","Fuana_2020","Bosque de galería y/o ripario","MAGNA-SIRGAS: Origen Oeste","Recorrido","Cauca","Coordenadas proyectadas","M042","1117.032742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus lemurinus","2366055618","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",4.618865,-75.498779,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:00:04.269+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219591,1,44,359,798,3239574,2436667,5219591,5219591,"Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus lemurinus","Aotus","lemurinus","SPECIES","ACCEPTED","VU","2019-08-16T23:08:15",31398,"Risaralda",2019,1,5,"2019-01-05T11:27:00","2019-08-17T15:37:10.000+00:00","2021-09-08T00:00:04.269+00:00","https://www.inaturalist.org/observations/30959816","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Ryan Steiner","30959816","ryansteiner","Coordinate uncertainty increased to 31398m to protect threatened taxon","2019/01/05 11:27 AM HST","iNaturalist research-grade observations","Colombia","Observations","2366055618","https://www.inaturalist.org/observations/30959816","43417","Ryan Steiner","30959816","https://www.inaturalist.org/observations/30959816","iNaturalist","© Ryan Steiner some rights reserved","21:27:00Z","Ryan Steiner","67091691","Aotus lemurinus I.Geoffroy Saint-Hilaire, 1843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
