"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","locality","preparationType","individualCount","year","month","stateProvince","day"
"1","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","13634","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","lemurinus","Aotus lemurinus","J. Dow","No Number","South America","Colombia","Chingui","Skull; Skeleton","1",NA,NA,NA,NA
"2","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","239948","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","lemurinus","Aotus lemurinus","Nicefero Maria, (Brother)","7","South America","Colombia","Salento","Skin","1","1923","8",NA,NA
"3","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","239949","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","lemurinus","Aotus lemurinus","Nicefero Maria, (Brother)","7","South America","Colombia","Salento","Skin; Skull","1","1923","8",NA,NA
"4","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","239950","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","lemurinus","Aotus lemurinus","Nicefero Maria, (Brother)","No Number","South America","Colombia","Muzo","Skin","1","1920","7",NA,NA
"5","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","239951","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","lemurinus","Aotus lemurinus","Nicefero Maria, (Brother)","No Number","South America","Colombia","Muzo","Skin","1","1922","2",NA,NA
"6","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","239952","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","lemurinus","Aotus lemurinus","Nicefero Maria, (Brother)","No Number","South America","Colombia","Fusagasuga","Skin","1","1923","11","Cundinamarca",NA
"7","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","239953","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","lemurinus","Aotus lemurinus","Nicefero Maria, (Brother)","No Number","South America","Colombia","Fusagasuga","Skin","1","1923","11","Cundinamarca",NA
"8","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","239954","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","lemurinus","Aotus lemurinus","Nicefero Maria, (Brother)","11","South America","Colombia","Fusagasuga","Skin","1","1923","11","Cundinamarca",NA
"9","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","239955","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","lemurinus","Aotus lemurinus","Nicefero Maria, (Brother)","No Number","South America","Colombia","Fusagasuga","Skin; Skull","1","1919",NA,"Cundinamarca",NA
"10","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","239956","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","lemurinus","Aotus lemurinus","Nicefero Maria, (Brother)","No Number","South America","Colombia","Quindio Pass","Skin; Skull","1","1923","7",NA,NA
