"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","informationWithheld","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","identifiedByIDs.type","identifiedByIDs.value","occurrenceRemarks","identificationRemarks","elevation","elevationAccuracy","continent","institutionKey","institutionID","municipality","county","locality","language","type","collectionID","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","sex","collectionKey","fieldNumber","preparations","locationRemarks","recordNumber","higherGeography","georeferenceProtocol","organismID","ownerInstitutionCode","startDayOfYear","datasetID","accessRights","higherClassification","typeStatus","organismQuantity","organismQuantityType","http...rs.tdwg.org.dwc.terms.organismQuantity","verbatimSRS","verbatimCoordinateSystem","eventRemarks","http...rs.tdwg.org.dwc.terms.organismQuantityType","download"
"Aotus nancymaae","2244299644","Aotus nancymaae Hershkovitz, 1983",-7.46795,-73.49871,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:46:30.277+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2019-05-21T19:49:08",31317,"Acre",2019,5,14,"2019-05-14T08:55:00","2019-09-09T12:49:58.000+00:00","2021-09-07T23:46:30.277+00:00","https://www.inaturalist.org/observations/25514107","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","crax","25514107","crax","Coordinate uncertainty increased to 31317m to protect threatened taxon","2019/05/14 8:55 AM HST","iNaturalist research-grade observations","Mâncio Lima, BR-AC, BR","Observations","2244299644","https://www.inaturalist.org/observations/25514107","43419","crax","25514107","https://www.inaturalist.org/observations/25514107","iNaturalist","© crax some rights reserved","18:55:00Z","Jane Widness","55896230","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2609270587","Aotus nancymaae Hershkovitz, 1983",-3.793254,-73.219788,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:49:12.019+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2020-04-22T06:20:22",31418,"Loreto",2019,5,7,"2019-05-07T15:15:13","2020-04-22T06:44:14.000+00:00","2021-09-07T23:49:12.019+00:00","https://www.inaturalist.org/observations/42824319","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none",NA,"Peru","Nicki","42824319","nbrockamp","Coordinate uncertainty increased to 31418m to protect threatened taxon","Tue May 07 2019 15:15:13 GMT-0700 (PDT)","iNaturalist research-grade observations","Maynas, PE-LO, PE","Observations","2609270587","https://www.inaturalist.org/observations/42824319","43419","Nicki","42824319","https://www.inaturalist.org/observations/42824319","iNaturalist","© Nicki some rights reserved","22:15:13Z","Diego Balbuena","96865083","Aotus nancymaae Hershkovitz, 1983","ORCID","https://orcid.org/0000-0002-4497-9244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2283138840","Aotus nancymaae Hershkovitz, 1983",-4.950256,-73.637028,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:48:58.900+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2019-07-03T18:49:22",31394,"Loreto",2019,6,25,"2019-06-25T15:08:00","2019-07-03T19:12:41.000+00:00","2021-09-07T23:48:58.900+00:00","https://www.inaturalist.org/observations/28128229","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none",NA,"Peru","Shannon DeVaney","28128229","scdevaney","Coordinate uncertainty increased to 31394m to protect threatened taxon","2019/06/25 3:08 PM PDT","iNaturalist research-grade observations","Requena, PE-LO, PE","Observations","2283138840","https://www.inaturalist.org/observations/28128229","43419","Shannon DeVaney","28128229","https://www.inaturalist.org/observations/28128229","iNaturalist","© Shannon DeVaney some rights reserved","22:08:00Z","Diego Balbuena","61242335","Aotus nancymaae Hershkovitz, 1983","ORCID","https://orcid.org/0000-0002-4497-9244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2980809192","Aotus nancymaae Hershkovitz, 1983",-6.359192,-76.384279,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:21.122+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2020-11-05T04:29:24",31356,"San Martín",2019,7,5,"2019-07-05T20:54:00","2020-11-05T20:41:51.000+00:00","2021-09-07T23:32:21.122+00:00","https://www.inaturalist.org/observations/64220379","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","David F. Belmonte","64220379","davidfbelmonte","Coordinate uncertainty increased to 31356m to protect threatened taxon","2019/07/05 8:54 PM -0500","iNaturalist research-grade observations","San Martín, PE","Observations","2980809192","https://www.inaturalist.org/observations/64220379","43419","David F. Belmonte","64220379","https://www.inaturalist.org/observations/64220379","iNaturalist","© David F. Belmonte some rights reserved","01:54:00Z","David F. Belmonte","140189040","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2397638551","Aotus nancymaae Hershkovitz, 1983",-5.338459,-75.450049,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:45:28.800+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2019-08-31T06:17:22",114898,"Loreto",2019,8,26,"2019-08-26T14:29:00","2019-08-31T13:52:26.000+00:00","2021-09-07T23:45:28.800+00:00","https://www.inaturalist.org/observations/31821980","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none",NA,"Peru","Raphael Mazor","31821980","rdm24","Coordinate uncertainty increased to 114898m to protect threatened taxon","2019/08/26 2:29 PM PDT","iNaturalist research-grade observations","Loreto, PE","Observations","2397638551","https://www.inaturalist.org/observations/31821980","43419","Raphael Mazor","31821980","https://www.inaturalist.org/observations/31821980","iNaturalist","© Raphael Mazor some rights reserved","21:29:00Z","Diego Balbuena","69005571","Aotus nancymaae Hershkovitz, 1983","ORCID","https://orcid.org/0000-0002-4497-9244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2006031536","Aotus nancymaae Hershkovitz, 1983",-4.311707,-73.375434,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:19:31.097+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2018-10-12T04:36:59",31407,"Loreto",2018,8,7,"2018-08-07T21:44:00","2020-03-04T14:55:02.000+00:00","2021-09-08T00:19:31.097+00:00","https://www.inaturalist.org/observations/15702194","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","leed0017","15702194","leed0017","Coordinate uncertainty increased to 31407m to protect threatened taxon","2018/08/07 9:44 PM MDT","iNaturalist research-grade observations","Maynas, PE-LO, PE","Observations","2006031536","https://www.inaturalist.org/observations/15702194","43419","leed0017","15702194","https://www.inaturalist.org/observations/15702194","iNaturalist","© leed0017 some rights reserved","03:44:00Z","Jane Widness","37341106","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2423120094","Aotus nancymaae Hershkovitz, 1983",-4.371206,-74.353941,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:03:21.882+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2019-09-17T20:23:23",89593,"Loreto",2017,3,17,"2017-03-17T11:12:00","2019-09-19T22:42:28.000+00:00","2021-09-08T00:03:21.882+00:00","https://www.inaturalist.org/observations/32910581","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none",NA,"Peru","Tresa Moulton","32910581","tresa","Coordinate uncertainty increased to 89593m to protect threatened taxon","2017/03/17 11:12 AM MDT","iNaturalist research-grade observations","Loreto, PE-LO, PE","Observations","2423120094","https://www.inaturalist.org/observations/32910581","43419","Tresa Moulton","32910581","https://www.inaturalist.org/observations/32910581","iNaturalist","© Tresa Moulton some rights reserved","17:12:00Z","Diego Balbuena","71281501","Aotus nancymaae Hershkovitz, 1983","ORCID","https://orcid.org/0000-0002-4497-9244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2963767673","Aotus nancymaae Hershkovitz, 1983",-4.50258,-73.741238,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:52.067+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2020-10-24T05:06:15",31403,"Loreto",2017,4,17,"2017-04-17T11:34:00","2020-10-26T23:37:26.000+00:00","2021-09-07T23:32:52.067+00:00","https://www.inaturalist.org/observations/63369180","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","gillbsydney","63369180","gillbsydney","Coordinate uncertainty increased to 31403m to protect threatened taxon","2017/04/17 11:34 AM AEST","iNaturalist research-grade observations","Loreto, PE-LO, PE","Observations","2963767673","https://www.inaturalist.org/observations/63369180","43419","gillbsydney","63369180","https://www.inaturalist.org/observations/63369180","iNaturalist","© gillbsydney some rights reserved","01:34:00Z","gillbsydney","138177733","Aotus nancymaae Hershkovitz, 1983",NA,NA,"Night Monkey, Nauta Cano River",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","1945475607","Aotus nancymaae Hershkovitz, 1983",-4.613163,-73.427947,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:29:24.154+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2017-08-09T00:18:52",31398,"Loreto",2017,8,5,"2017-08-05T03:16:39","2020-05-26T01:23:24.000+00:00","2021-09-07T23:29:24.154+00:00","https://www.inaturalist.org/observations/7413757","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","bryncel","7413757","bryncel","Coordinate uncertainty increased to 31398m to protect threatened taxon","Sat Aug 05 2017 03:16:39 GMT-0500 (GMT-5)","iNaturalist research-grade observations","Loreto, PE","Observations","1945475607","https://www.inaturalist.org/observations/7413757","43419","bryncel","7413757","https://www.inaturalist.org/observations/7413757","iNaturalist","© bryncel some rights reserved","08:16:39Z","bryncel","15452891","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus nancymaae","2988527302","Aotus nancymaae Hershkovitz, 1983",-5.15428,-73.814922,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:28:31.836+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219589,1,44,359,798,3239574,2436667,5219589,5219589,"Aotus nancymaae Hershkovitz, 1983","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus nancymaae","Aotus","nancymaae","SPECIES","ACCEPTED","VU","2017-09-08T02:01:02",31389,"Loreto",2016,2,23,"2016-02-23T08:04:55","2020-11-22T21:14:42.000+00:00","2021-09-07T23:28:31.836+00:00","https://www.inaturalist.org/observations/3351234","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","David J Barton","3351234","redabbott","Coordinate uncertainty increased to 31389m to protect threatened taxon","2016-02-23 08:04:55","iNaturalist research-grade observations","Requena, PE-LO, PE","Observations","2988527302","http://www.inaturalist.org/observations/3351234","43419","David J Barton","3351234","http://www.inaturalist.org/observations/3351234","iNaturalist","© David J Barton some rights reserved","16:04:55Z","max kirsch","16520314","Aotus nancymaae Hershkovitz, 1983",NA,NA,NA,"Wouldn't the location (south of the Marañón River) make these <i>A. nancymaae</i>?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
