"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","establishmentMeans","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","institutionKey","collectionKey","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","identifier","institutionID","nomenclaturalCode","verbatimEventDate","higherGeography","endDayOfYear","georeferenceVerificationStatus","locality","verbatimLocality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","vernacularName","institutionCode","rights","startDayOfYear","occurrenceRemarks","accessRights","behavior","name","individualCount","sex","dateIdentified","coordinateUncertaintyInMeters","dynamicProperties","identificationVerificationStatus","locationAccordingTo","preparations","eventTime","identificationRemarks","identifiedBy","georeferencedDate","recordNumber","georeferencedBy","georeferenceProtocol","verbatimCoordinateSystem","otherCatalogNumbers","organismID","previousIdentifications","identificationQualifier","collectionID","higherClassification","georeferenceSources","elevation","rightsHolder","higherGeographyID","locationRemarks","georeferenceRemarks","disposition","ownerInstitutionCode","county","fieldNumber","lifeStage","waterBody","habitat","datasetName","elevationAccuracy","eventRemarks","bibliographicCitation","eventID","locationID","identificationID","originalNameUsage","verbatimTaxonRank","recordedByIDs.type","recordedByIDs.value","nameAccordingTo","projectId","coordinatePrecision","earliestAgeOrLowestStage","namePublishedInYear","associatedReferences","taxonID","taxonConceptID","lithostratigraphicTerms","X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.","organismQuantity","organismQuantityType","http...rs.tdwg.org.dwc.terms.organismQuantity","http...rs.tdwg.org.dwc.terms.organismQuantityType","datasetID","parentNameUsage","download"
"Aotus trivirgatus","1147068702","Aotus trivirgatus (Humboldt, 1811)",-15.1,-67.516667,"cdround,colmafu,inmafu","7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1","e2e717bf-551a-4917-bdc9-4fa0f342c530","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","a957a663-2f17-415f-b1c8-5cf6398df8ed","US","DWC_ARCHIVE","2021-03-03T18:23:04.512+00:00","2021-03-09T21:28:09.088+00:00",143,"2053a639-84c3-4be5-b8bc-96b6d88a976c","MACHINE_OBSERVATION","PRESENT","NATIVE",5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC","SOUTH_AMERICA","La Paz",1998,9,22,"1998-09-22T00:00:00","2015-11-04T00:00:00.000+00:00","2021-03-09T21:28:09.088+00:00","http://macaulaylibrary.org/audio/101680","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","8d313059-3f5e-411e-b176-6553050ff8c6","ee382c8a-0a71-492b-a9fa-5e383ae0ec56",FALSE,"WGS84","Mammalia","BO","none","none","Bolivia (Plurinational State of)","2c8a4866-5585-40d1-bbf1-65e21fe063a9","urn:lsid:biocol.org:col:34939","ICZN","22-Sep-1998","| Bolivia | La Paz |  |  |  |  |","265","requires verification","Pilon Lajas Biosphere Reserve; Serrania Beu","Bolivia | La Paz | Pilon Lajas Biosphere Reserve; Serrania Beu","en","ML","1147068702","2c8a4866-5585-40d1-bbf1-65e21fe063a9","Sound","A. Bennett Hennessey","101680","northern night monkey","CLO","http://creativecommons.org/publicdomain/zero/1.0","265","NOTES: Waiting for friends reply Foothill forest between 800 -900 m, this is a pristine habitat on the north steep edge of Serrania Beu, but because of the steepness of this serrania there are lots of tree falls and avalanches and the forest is a species poor young forest.","http://vertnet.org/resources/norms.html","call","Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus trivirgatus","197010153","Aotus trivirgatus (Humboldt, 1811)",-12.517,-68.7,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:13.005+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1996,6,2,"1996-06-02T00:00:00",NA,"2021-03-09T14:08:13.005+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"99ea5857-5712-4ccb-be13-2b8699835efe",FALSE,"WGS84","Mammalia","PE","none","none","Peru","197010153",NA,NA,NA,NA,NA,NA,"Pampas del Heath",NA,NA,"24","197010153",NA,NA,"Monica Romo","58744",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus trivirgatus","197008993","Aotus trivirgatus (Humboldt, 1811)",-3.917,-78.433,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:10.942+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1994,7,14,"1994-07-14T00:00:00",NA,"2021-03-09T14:08:10.942+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"a364594d-6e74-4c31-b374-d480e5ec43b3",FALSE,"WGS84","Mammalia","PE","none","none","Peru","197008993",NA,NA,NA,NA,NA,NA,"Upper Rio Comainas",NA,NA,"11","197008993",NA,NA,"Louise H. Emmons","19545",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus trivirgatus","1145769402","Aotus trivirgatus (Humboldt, 1811)",-8.6,-72.85,"gass84,gdativ,osiic,incomis,inmafu","0daed095-478a-4af6-abf5-18acb790fbb2","8edbbde0-055e-11d8-b850-b8a03c50a862",NA,"a957a663-2f17-415f-b1c8-5cf6398df8ed","US","DWC_ARCHIVE","2021-08-26T18:00:18.086+00:00","2021-08-26T18:05:07.033+00:00",270,"2053a639-84c3-4be5-b8bc-96b6d88a976c","PRESERVED_SPECIMEN","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC","SOUTH_AMERICA","Acre",1992,2,17,"1992-02-17T00:00:00","2021-07-17T15:41:28.033+00:00","2021-08-26T18:05:07.033+00:00","http://arctos.database.museum/guid/MVZ:Mamm:193671","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","59175240-4500-42b9-9e98-42ae299a5e9b",NA,FALSE,"WGS84","Mammalia","BR","none","none","Brazil","http://arctos.database.museum/guid/MVZ:Mamm:193671?seid=1542106","MVZ","ICZN","17 Feb 1992","South America, Brazil, Acre","48","unverified","Flora [=Fazenda Santa Fé], left bank Rio Juruá","Flora (=Fazenda Santa Fé), left bank Rio Juruá","en","Mammal specimens","1145769402","http://arctos.database.museum/guid/MVZ:Mamm:193671?seid=1542106","PhysicalObject","Collector(s): Maria Nazareth F. da Silva","MVZ:Mamm:193671",NA,"MVZ",NA,NA,NA,"http://vertnet.org/resources/norms.html",NA,"Aotus trivirgatus (Humboldt, 1811)",1,"FEMALE","2001-03-23T00:00:00",500,"sex=female","features","James L. Patton","tissue; tissue; tissue","1992-02-17","Former nature_of_id: field.","James L. Patton","2000-01-25 00:00:00","1107","James L. Patton","not recorded","deg. min. sec.","collector number=1107, Museu Paraense Emílio Goeldi=MPEG-22983","http://arctos.database.museum/guid/MVZ:Mamm:193671","[{\"scientific_name\":\"Aotus trivirgatus\",\"nature_of_id\":\"features\",\"accepted_id_fg\":1,\"made_date\":\"2001-03-23\",\"short_citation\":null,\"publication_id\":null,\"identification_remarks\":\"Former nature_of_id: field.\",\"idby\":\"James L. Patton\",\"concept_label\":null}]","A","28","Animalia, Chordata, Mammalia, Primates, Anthropoidea, Cebidae, Aotus,","RadamBrasil 1:250,000 Folha Porto Walter, SC.18-X-B, 1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus trivirgatus","1145769452","Aotus trivirgatus (Humboldt, 1811)",-8.6,-72.85,"gass84,gdativ,osiic,incomis,inmafu","0daed095-478a-4af6-abf5-18acb790fbb2","8edbbde0-055e-11d8-b850-b8a03c50a862",NA,"a957a663-2f17-415f-b1c8-5cf6398df8ed","US","DWC_ARCHIVE","2021-08-26T18:00:18.086+00:00","2021-08-26T18:05:16.493+00:00",270,"2053a639-84c3-4be5-b8bc-96b6d88a976c","PRESERVED_SPECIMEN","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC","SOUTH_AMERICA","Acre",1992,2,12,"1992-02-12T00:00:00","2021-07-17T15:41:31.129+00:00","2021-08-26T18:05:16.493+00:00","http://arctos.database.museum/guid/MVZ:Mamm:193670","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","59175240-4500-42b9-9e98-42ae299a5e9b",NA,FALSE,"WGS84","Mammalia","BR","none","none","Brazil","http://arctos.database.museum/guid/MVZ:Mamm:193670?seid=1484628","MVZ","ICZN","12 Feb 1992","South America, Brazil, Acre","43","unverified","Flora [=Fazenda Santa Fé], left bank Rio Juruá","Flora (=Fazenda Santa Fé), left bank Rio Juruá","en","Mammal specimens","1145769452","http://arctos.database.museum/guid/MVZ:Mamm:193670?seid=1484628","PhysicalObject","Collector(s): Maria Nazareth F. da Silva","MVZ:Mamm:193670",NA,"MVZ",NA,NA,NA,"http://vertnet.org/resources/norms.html",NA,"Aotus trivirgatus (Humboldt, 1811)",1,"FEMALE","2001-03-23T00:00:00",500,"sex=female","features","James L. Patton","tissue","1992-02-12","Former nature_of_id: field.","James L. Patton","2000-01-25 00:00:00","1045","James L. Patton","not recorded","deg. min. sec.","collector number=1045, Museu Paraense Emílio Goeldi=MPEG-22984","http://arctos.database.museum/guid/MVZ:Mamm:193670","[{\"scientific_name\":\"Aotus trivirgatus\",\"nature_of_id\":\"features\",\"accepted_id_fg\":1,\"made_date\":\"2001-03-23\",\"short_citation\":null,\"publication_id\":null,\"identification_remarks\":\"Former nature_of_id: field.\",\"idby\":\"James L. Patton\",\"concept_label\":null}]","A","28","Animalia, Chordata, Mammalia, Primates, Anthropoidea, Cebidae, Aotus,","RadamBrasil 1:250,000 Folha Porto Walter, SC.18-X-B, 1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus trivirgatus","1145769519","Aotus trivirgatus (Humboldt, 1811)",-8.566667,-72.8,"cdround,gass84,gdativ,osiic,incomis,inmafu","0daed095-478a-4af6-abf5-18acb790fbb2","8edbbde0-055e-11d8-b850-b8a03c50a862",NA,"a957a663-2f17-415f-b1c8-5cf6398df8ed","US","DWC_ARCHIVE","2021-08-26T18:00:18.086+00:00","2021-08-26T18:05:03.413+00:00",270,"2053a639-84c3-4be5-b8bc-96b6d88a976c","PRESERVED_SPECIMEN","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC","SOUTH_AMERICA","Acre",1992,2,10,"1992-02-10T00:00:00","2021-07-17T15:41:31.126+00:00","2021-08-26T18:05:03.413+00:00","http://arctos.database.museum/guid/MVZ:Mamm:193669","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","59175240-4500-42b9-9e98-42ae299a5e9b",NA,FALSE,"WGS84","Mammalia","BR","none","none","Brazil","http://arctos.database.museum/guid/MVZ:Mamm:193669?seid=708673","MVZ","ICZN","10 Feb 1992","South America, Brazil, Acre","41","unverified","Ocidente, right bank Rio Juruá","Ocidente, right bank Rio Juruá","en","Mammal specimens","1145769519","http://arctos.database.museum/guid/MVZ:Mamm:193669?seid=708673","PhysicalObject","Collector(s): Maria Nazareth F. da Silva","MVZ:Mamm:193669",NA,"MVZ",NA,NA,NA,"http://vertnet.org/resources/norms.html",NA,"Aotus trivirgatus (Humboldt, 1811)",1,"FEMALE","2001-03-23T00:00:00",500,"sex=female","features","James L. Patton","tissue","1992-02-10","Former nature_of_id: field.","James L. Patton","2000-01-25 00:00:00","1012","James L. Patton","not recorded","decimal degrees","collector number=1012, Museu Paraense Emílio Goeldi=MPEG-22985","http://arctos.database.museum/guid/MVZ:Mamm:193669","[{\"scientific_name\":\"Aotus trivirgatus\",\"nature_of_id\":\"features\",\"accepted_id_fg\":1,\"made_date\":\"2001-03-23\",\"short_citation\":null,\"publication_id\":null,\"identification_remarks\":\"Former nature_of_id: field.\",\"idby\":\"James L. Patton\",\"concept_label\":null}]","A","28","Animalia, Chordata, Mammalia, Primates, Anthropoidea, Cebidae, Aotus,","RadamBrasil 1:250,000 Folha Porto Walter, SC.18-X-B, 1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus trivirgatus","197008941","Aotus trivirgatus (Humboldt, 1811)",-12.658,-68.738,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:10.942+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,5,28,"1992-05-28T00:00:00",NA,"2021-03-09T14:08:10.942+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"6e60117d-86fc-4a57-970d-1cddc9ea30da",FALSE,"WGS84","Mammalia","PE","none","none","Peru","197008941",NA,NA,NA,NA,NA,NA,"Puesto San Antonio",NA,NA,"36","197008941",NA,NA,"Cesar Ascorra","888",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus trivirgatus","197008978","Aotus trivirgatus (Humboldt, 1811)",-12.838,-69.295,"elnn,gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:10.943+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,5,1,"1992-05-01T00:00:00",NA,"2021-03-09T14:08:10.943+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"6e60117d-86fc-4a57-970d-1cddc9ea30da",FALSE,"WGS84","Mammalia","PE","none","none","Peru","197008978",NA,NA,NA,NA,NA,NA,"Explorers Inn",NA,NA,"36","197008978",NA,NA,"Linda J. Barkley","13287",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus trivirgatus","197009011","Aotus trivirgatus (Humboldt, 1811)",-13.367,-69.617,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:13.147+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,5,1,"1992-05-01T00:00:00",NA,"2021-03-09T14:08:13.147+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"6e60117d-86fc-4a57-970d-1cddc9ea30da",FALSE,"WGS84","Mammalia","PE","none","none","Peru","197009011",NA,NA,NA,NA,NA,NA,"Mirador, Boca Tavara",NA,NA,"36","197009011",NA,NA,"Louise H. Emmons","25050",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus trivirgatus","197010152","Aotus trivirgatus (Humboldt, 1811)",-13.142,-69.607,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:13.004+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,5,1,"1992-05-01T00:00:00",NA,"2021-03-09T14:08:13.004+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"6e60117d-86fc-4a57-970d-1cddc9ea30da",FALSE,"WGS84","Mammalia","PE","none","none","Peru","197010152",NA,NA,NA,NA,NA,NA,"Ccolpa de Guacamayos",NA,NA,"36","197010152",NA,NA,"Louise H. Emmons","61789",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
