"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","decimalLongitude","decimalLatitude","sex","occurrenceRemarks","year","month","day","stateProvince","preparationType","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","previousCatalogNumber","typeStatus","county"
"1","2020-10-20 10:40:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:183640","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): Milton Hildebrand","1929","South America","Colombia","no specific locality recorded","-72","4","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:183640' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-07-17 15:41:28-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:193671","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","James L. Patton","Collector(s): Maria Nazareth F. da Silva","1107","South America","Brazil","Flora [=Fazenda Santa Fé], left bank Rio Juruá","-72.85","-8.6","female","<a href='http://arctos.database.museum/guid/MVZ:Mamm:193671' target='other'> <mi>dwc_moreinfo</mi></a>","1992","02","17","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-07-17 15:41:31-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:193670","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","James L. Patton","Collector(s): Maria Nazareth F. da Silva","1045","South America","Brazil","Flora [=Fazenda Santa Fé], left bank Rio Juruá","-72.85","-8.6","female","<a href='http://arctos.database.museum/guid/MVZ:Mamm:193670' target='other'> <mi>dwc_moreinfo</mi></a>","1992","02","12","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-07-17 15:41:31-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:193669","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","James L. Patton","Collector(s): Maria Nazareth F. da Silva","1012","South America","Brazil","Ocidente, right bank Rio Juruá","-72.8","-8.5666667","female","<a href='http://arctos.database.museum/guid/MVZ:Mamm:193669' target='other'> <mi>dwc_moreinfo</mi></a>","1992","02","10","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-07-17 15:41:31-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:193672","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","James L. Patton","Collector(s): Maria Nazareth F. da Silva","18","South America","Brazil","Seringal Condor, left bank Rio Juruá","-70.85","-6.75","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:193672' target='other'> <mi>dwc_moreinfo</mi></a>","1991","09","28","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","256422","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"E. Holt, Blake & Agostini","136","South America","Venezuela","Puerto Ayacucho",NA,NA,NA,NA,"1931","5","8",NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","337318","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Collector Unknown","No Number","South America","Brazil","Tabatinga, Near, Amazonas",NA,NA,NA,NA,"1963","5",NA,NA,"Skin; Skull; Skeleton","1",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372769","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","03705","South America","Venezuela","Valera, 25 Km NW Valera, Nr. Agua Santa","-70.67","9.53",NA,NA,"1965","12","9","Trujillo","Skin; Skull","1","070 40 -- W","09 32 -- N","90.0",NA,NA,NA,NA,NA
"9","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","372771","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","06554","South America","Venezuela","Boca Mavaca, 84 Km SSE Esmeralda","-65.22","2.5",NA,NA,"1966","2","13","Amazonas","Skin; Skull","1","065 13 -- W","02 30 -- N","138.0",NA,NA,NA,NA,NA
"10","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406403","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","16661","South America","Venezuela","Boca Mavaca, 84 Km SSE Esmeralda, 7 Km Up Rio Mavaca","-65.23","2.45",NA,NA,"1967","3","1","Amazonas","Skin; Skull","1","065 14 -- W","02 27 -- N","138.0",NA,NA,NA,NA,NA
