"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","lifeStage","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","sex","projectId","elevation","elevationAccuracy","organismQuantity","organismQuantityType","habitat","http...rs.tdwg.org.dwc.terms.organismQuantity","county","verbatimCoordinateSystem","type","vernacularName","http...rs.tdwg.org.dwc.terms.organismQuantityType","samplingProtocol","verbatimElevation","institutionID","municipality","preparations","recordNumber","locality","disposition","previousIdentifications","collectionID","occurrenceRemarks","individualCount","continent","higherClassification","georeferencedBy","language","locationRemarks","sampleSizeUnit","sampleSizeValue","http...rs.tdwg.org.dwc.terms.sampleSizeValue","eventID","http...rs.tdwg.org.dwc.terms.sampleSizeUnit","eventRemarks","parentEventID","identificationRemarks","samplingEffort","collectionKey","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","institutionKey","fieldNumber","higherGeography","georeferenceProtocol","organismID","ownerInstitutionCode","startDayOfYear","datasetID","accessRights","dynamicProperties","identificationVerificationStatus","locationAccordingTo","georeferencedDate","nomenclaturalCode","endDayOfYear","georeferenceVerificationStatus","otherCatalogNumbers","identificationQualifier","georeferenceSources","associatedSequences","download"
"Aotus vociferans","3058759809","Aotus vociferans (Spix, 1823)",-0.469389,-76.457102,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:06:37.831+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC","2021-02-26T06:53:28",59,"Sucumbios",2021,2,21,"2021-02-21T10:42:58","2021-02-26T11:53:47.000+00:00","2021-09-08T00:06:37.831+00:00","https://www.inaturalist.org/observations/70186152","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","Vanesa Cruz Jumbo","70186152","vkcruzjumbo","Sun Feb 21 2021 10:42:58 GMT-0500 (GMT-5)","iNaturalist research-grade observations","Shushufindi, Sucumbios, EC","Observations","3058759809","https://www.inaturalist.org/observations/70186152","43422","Vanesa Cruz Jumbo","70186152","https://www.inaturalist.org/observations/70186152","iNaturalist","© Vanesa Cruz Jumbo some rights reserved","15:42:58Z","C Hewitt","156701472","Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus vociferans","3058935881","Aotus vociferans (Spix, 1823)",1.19719,-76.647996,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:51:36.715+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC","2021-02-26T14:03:16",6,"Putumayo",2021,2,24,"2021-02-24T10:00:00","2021-02-26T16:28:18.000+00:00","2021-09-07T23:51:36.715+00:00","https://www.inaturalist.org/observations/70196706","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Monica G","70196706","minmon","2021-02-24 10:00:00 AM GMT-05:00","iNaturalist research-grade observations","Mocoa, Putumayo, Colombia","Observations","3058935881","https://www.inaturalist.org/observations/70196706","43422","Monica G","70196706","https://www.inaturalist.org/observations/70196706","iNaturalist","© Monica G some rights reserved","15:00:00Z","Monica G","156732414","Aotus vociferans (Spix, 1823)","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus vociferans","3113305799","Aotus vociferans (Spix, 1823)",-0.466979,-76.462329,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:04:53.685+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC","2021-05-08T23:54:13",212,"Sucumbios",2021,4,20,"2021-04-20T10:57:49","2021-05-09T00:55:00.000+00:00","2021-09-08T00:04:53.685+00:00","https://www.inaturalist.org/observations/77828369","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","taopina","77828369","taopina","2021-04-20 10:57:49","iNaturalist research-grade observations","Limoncocha, Ecuador","Observations","3113305799","https://www.inaturalist.org/observations/77828369","43422","taopina","77828369","https://www.inaturalist.org/observations/77828369","iNaturalist","© taopina some rights reserved","15:57:49Z","C Hewitt","173099013","Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus vociferans","3117820808","Aotus vociferans (Spix, 1823)",-0.472253,-76.45913,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:06:34.714+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC","2021-05-15T02:01:41",212,"Sucumbios",2021,4,20,"2021-04-20T09:59:00","2021-05-16T20:41:09.000+00:00","2021-09-08T00:06:34.714+00:00","https://www.inaturalist.org/observations/78781239","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","taopina","78781239","taopina","2021/04/20 9:59 AM UTC","iNaturalist research-grade observations","Providencia, Quito, Ecuador","Observations","3117820808","https://www.inaturalist.org/observations/78781239","43422","taopina","78781239","https://www.inaturalist.org/observations/78781239","iNaturalist","© taopina some rights reserved","09:59:00Z","taopina","174796953","Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus vociferans","3327770927","Aotus vociferans (Spix, 1823)",-0.009455,-76.180763,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:21:13.935+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC","2021-07-11T03:36:39",8,"Sucumbios",2021,7,7,"2021-07-07T11:12:00","2021-07-30T22:08:00.000+00:00","2021-09-08T00:21:13.935+00:00","https://www.inaturalist.org/observations/86510238","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC",NA,NA,"Ecuador","Samuel Valdes","86510238","samuelvaldes","2021/07/07 11:12 AM -0500","iNaturalist research-grade observations","Putumayo, Ecuador","Observations","3327770927","https://www.inaturalist.org/observations/86510238","43422","Samuel Valdes","86510238","https://www.inaturalist.org/observations/86510238","iNaturalist","© Samuel Valdes some rights reserved","16:12:00Z","Samuel Valdes","190030276","Aotus vociferans (Spix, 1823)",NA,"ORCID","https://orcid.org/0000-0002-3838-4332","ORCID","https://orcid.org/0000-0002-3838-4332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus vociferans","2557799900","Aotus vociferans (Spix, 1823)",-0.469818,-76.459669,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:05.103+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC","2020-01-15T02:55:00",49,"Sucumbios",2020,1,3,"2020-01-03T17:09:00","2020-03-20T13:35:44.000+00:00","2021-09-08T00:20:05.103+00:00","https://www.inaturalist.org/observations/37604492","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","Howard Friedman","37604492","howardfriedman1","2020/01/03 5:09 PM PST","iNaturalist research-grade observations","Shushufindi, Ecuador","Observations","2557799900","https://www.inaturalist.org/observations/37604492","43422","Howard Friedman","37604492","https://www.inaturalist.org/observations/37604492","iNaturalist","© Howard Friedman some rights reserved","01:09:00Z","Jane Widness","83631585","Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus vociferans","2563585299","Aotus vociferans (Spix, 1823)",-0.438151,-76.279106,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:31:20.767+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC","2020-01-25T05:43:36",58,"Sucumbios",2020,1,2,"2020-01-02T20:30:00","2020-03-18T18:50:48.000+00:00","2021-09-07T23:31:20.767+00:00","https://www.inaturalist.org/observations/37939421","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","Chloe and Trevor","37939421","chloe_and_trevor","2020/01/02 8:30 PM PST","iNaturalist research-grade observations","Shushufindi, Ecuador","Observations","2563585299","https://www.inaturalist.org/observations/37939421","43422","Chloe and Trevor","37939421","https://www.inaturalist.org/observations/37939421","iNaturalist","© Chloe and Trevor some rights reserved","04:30:00Z","Chloe and Trevor","84857201","Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus vociferans","3018170328","Aotus vociferans (Spix, 1823)",1.269167,-72.610556,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:45.103+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC","2021-01-08T14:04:49",2169,"Guaviare",2020,1,3,"2020-01-03T13:09:00","2021-05-04T01:15:25.000+00:00","2021-09-08T00:20:45.103+00:00","https://www.inaturalist.org/observations/67720239","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Sebastian Serna Muñoz","67720239","sesernam","2020/01/03 1:09 PM -0500","iNaturalist research-grade observations","Cerro Azul, Miraflores, Guaviare, Colombia","Observations","3018170328","https://www.inaturalist.org/observations/67720239","43422","Sebastian Serna Muñoz","67720239","https://www.inaturalist.org/observations/67720239","iNaturalist","© Sebastian Serna Muñoz some rights reserved","18:09:00Z","Sebastián García-R","149624247","Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus vociferans","2574247106","Aotus vociferans (Spix, 1823)",-0.531825,-76.433655,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:44:15.995+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC","2020-02-05T02:31:49",20,"Orellana",2020,2,3,"2020-02-03T16:19:05","2020-03-20T13:04:38.000+00:00","2021-09-07T23:44:15.995+00:00","https://www.inaturalist.org/observations/38314920","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","Babette Köhler","38314920","bette_koebri","Mon Feb 03 2020 16:19:05 GMT-0500 (GMT-5)","iNaturalist research-grade observations","Parque Nacional Yasuní, Orellana, Orellana, EC","Observations","2574247106","https://www.inaturalist.org/observations/38314920","43422","Babette Köhler","38314920","https://www.inaturalist.org/observations/38314920","iNaturalist","© Babette Köhler some rights reserved","21:19:05Z","David Torres","85971401","Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus vociferans","2576480045","Aotus vociferans (Spix, 1823)",-4.560137,-73.64095,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:03:09.287+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC","2020-03-03T18:40:46",NA,"Loreto",2020,2,28,"2020-02-28T10:05:00","2020-03-04T14:47:34.000+00:00","2021-09-08T00:03:09.287+00:00","https://www.inaturalist.org/observations/39498408","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","Dan Riskin","39498408","riskindan","2020/02/28 10:05 AM EST","iNaturalist research-grade observations","Loreto Province, Peru","Observations","2576480045","https://www.inaturalist.org/observations/39498408","43422","Dan Riskin","39498408","https://www.inaturalist.org/observations/39498408","iNaturalist","© Dan Riskin some rights reserved","15:05:00Z","Dan Riskin","89160344","Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
