"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","sex","occurrenceRemarks","preparationType","individualCount","county"
"1","2021-07-17 15:45:55-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:153465","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","vociferans","Aotus vociferans","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","7244","1977","08","20","South America","Peru","Amazonas","vicinity of Huampami (Aguaruna village), Rio Cenepa","-78.16123","-4.45563","213","213","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:153465' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA
"2","2021-07-17 15:45:55-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:155159","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","vociferans","Aotus vociferans","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","7466","1978","07","15","South America","Peru","Amazonas","vicinity of Huampami (Aguaruna village), Rio Cenepa","-78.16123","-4.45563","213","213","female","<a href='http://arctos.database.museum/guid/MVZ:Mamm:155159' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA
"3","2021-02-10 10:40:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:84334","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","vociferans","Aotus vociferans","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): William Clarke-MacIntyre","NB--1",NA,NA,NA,"South America","Ecuador","Pastaza","Sarayacu","-77.483","-1.733","500","500","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:84334' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA
"4","2021-03-06 07:00:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:157792","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","vociferans","Aotus vociferans","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","8456","1979","08","16","South America","Peru","Amazonas","La Poza, Rio Santiago","-77.751","-4.022","180","180","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:157792' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA
"5","2021-05-31 12:20:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:63512","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","vociferans","Aotus vociferans","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): Ynes Mexia; J. Schunke","87","1931","11","28","South America","Peru","Amazonas","mouth of Rio Santiago above Pongo de Manseriche","-77.65","-4.416666667",NA,NA,"male","SKIN MISSING 17 MAR 1993. <a href='http://arctos.database.museum/guid/MVZ:Mamm:63512' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA
"6","2021-02-10 10:40:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:84335","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","vociferans","Aotus vociferans","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): William Clarke-MacIntyre","NB--2",NA,NA,NA,"South America","Ecuador","Pastaza","Sarayacu","-77.483","-1.733","500","500","female","<a href='http://arctos.database.museum/guid/MVZ:Mamm:84335' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA
"7","2021-06-19 09:30:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:155160","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","vociferans","Aotus vociferans","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","7501","1978","07","22","South America","Peru","Amazonas","headwaters of Rio Kagka [of Rio Cenepa]","-78.1733","-4.45167","792","792","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:155160' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA
"8","2021-06-04 16:00:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:153463","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","vociferans","Aotus vociferans","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): unknown; James L. Patton","7175",NA,NA,NA,"South America","Peru","Amazonas","Pagaat (Aguaruna village), Rio Cenepa","-78.175","-4.41667","213","213","unknown","<a href='http://arctos.database.museum/guid/MVZ:Mamm:153463' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA
"9","2021-06-04 16:00:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:153464","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","vociferans","Aotus vociferans","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): unknown; James L. Patton","7176",NA,NA,NA,"South America","Peru","Amazonas","Pagaat (Aguaruna village), Rio Cenepa","-78.175","-4.41667","213","213","unknown","<a href='http://arctos.database.museum/guid/MVZ:Mamm:153464' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA
"10","2021-03-06 07:00:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:157790","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","vociferans","Aotus vociferans","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","8454","1979","08","16","South America","Peru","Amazonas","La Poza, Rio Santiago","-77.751","-4.022","180","180","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:157790' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA
