"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","minimumElevationInMeters","preparationType","individualCount","infraspecificEpithet","scientificNameAuthorship","identifiedBy","typeStatus","stateProvince","occurrenceRemarks","decimalLongitude","decimalLatitude","sex","previousCatalogNumber"
"1","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","113418","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","capucinus","Cebus capucinus","G. Flemming","24","1899","11","18","South America","Ecuador","Parambo","1067.0","Skin; Skull; Partial Skeleton","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","291230","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","capucinus","Cebus capucinus","P. Hershkovitz","No Number","1950","7","17","South America","Colombia","Villanueva",NA,"Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","291232","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","capucinus","Cebus capucinus","P. Hershkovitz","No Number","1942","12","19","South America","Colombia","Villanueva",NA,"Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","291233","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","capucinus","Cebus capucinus","P. Hershkovitz","No Number","1950","7","19","South America","Colombia","Villanueva",NA,"Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","291234","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","capucinus","Cebus capucinus","P. Hershkovitz","No Number","1950","7","19","South America","Colombia","Villanueva",NA,"Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","291235","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","capucinus","Cebus capucinus","P. Hershkovitz","No Number","1950","7","19","South America","Colombia","Villanueva",NA,"Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","3343","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","capucinus","Cebus capucinus","A. Schott","No Number",NA,NA,NA,"South America","Colombia","Truando",NA,"Skin","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","3346","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","capucinus","Cebus capucinus","A. Schott","No Number",NA,NA,NA,"South America","Colombia","Truando River",NA,"Skin","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","3365","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","capucinus","Cebus capucinus","A. Schott","No Number",NA,NA,NA,"South America","Colombia","Truando River",NA,"Skin","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-08 15:52:54-03","MCZ","HU-ZOO","10824","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Cebus","capucinus","Cebus capucinus curtus","Wilmot W. Brown, Jr.","27",NA,NA,NA,"South America","Colombia",NA,NA,"skull (dry); skin (dry)","1","curtus","Bangs, 1905","[no agent data]","Holotype of Cebus curtus","Cauca","ear from notch: 35mm; hind foot with claw: 115mm; sex: male; tail length: 420mm; total length: 753mm",NA,NA,NA,NA
