"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","occurrenceRemarks","identifiedBy","identificationID","name","eventTime","individualCount","lifeStage","continent","vernacularName","locality","higherClassification","identificationRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","sex","elevation","institutionKey","collectionKey","institutionID","county","fieldNumber","language","type","preparations","locationRemarks","recordNumber","higherGeography","georeferenceProtocol","organismID","ownerInstitutionCode","startDayOfYear","datasetID","accessRights","collectionID","download"
"Pithecia irrorata","3124853339","Pithecia irrorata Gray, 1842",-10.14265,-59.430134,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:46:01.377+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436372,1,44,359,798,5486,2436370,2436372,2436372,"Pithecia irrorata Gray, 1842","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia","irrorata","SPECIES","ACCEPTED","DD","2021-05-27T23:09:28",32,"Mato Grosso",2021,5,27,"2021-05-27T00:00:00","2021-05-29T01:57:52.000+00:00","2021-09-07T23:46:01.377+00:00","https://www.inaturalist.org/observations/80537193","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","Cleverson Veronese","80537193","cleverson_veronese","2021-05-27","iNaturalist research-grade observations","Aripuanã mt","Observations","3124853339","https://www.inaturalist.org/observations/80537193","855277","Cleverson Veronese","80537193","https://www.inaturalist.org/observations/80537193","iNaturalist","© Cleverson Veronese some rights reserved","Macaco Pararaoacu","Silvia Linhares","178317309","Pithecia irrorata Gray, 1842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia irrorata","2856575543","Pithecia irrorata Gray, 1842",-8.835538,-63.938921,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:32:13.809+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436372,1,44,359,798,5486,2436370,2436372,2436372,"Pithecia irrorata Gray, 1842","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia","irrorata","SPECIES","ACCEPTED","DD","2020-08-28T01:02:47",349,"Rondônia",2020,8,27,"2020-08-27T00:00:00","2020-08-30T15:16:34.000+00:00","2021-09-07T23:32:13.809+00:00","https://www.inaturalist.org/observations/57785648","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","Kamila Miranda","57785648","kamilamiranda","2020-08-27","iNaturalist research-grade observations","UNIR","Observations","2856575543","https://www.inaturalist.org/observations/57785648","855277","Kamila Miranda","57785648","https://www.inaturalist.org/observations/57785648","iNaturalist","© Kamila Miranda some rights reserved",NA,"Paulo Henrique Bonavigo","126576324","Pithecia irrorata Gray, 1842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia irrorata","2868151585","Pithecia irrorata Gray, 1842",-10.036055,-67.796424,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:03:37.184+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436372,1,44,359,798,5486,2436370,2436372,2436372,"Pithecia irrorata Gray, 1842","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia","irrorata","SPECIES","ACCEPTED","DD","2020-09-14T22:08:39",27,"Acre",2020,9,14,"2020-09-14T14:41:51","2020-09-22T13:21:56.000+00:00","2021-09-08T00:03:37.184+00:00","https://www.inaturalist.org/observations/59612338","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","mateusgabriel","59612338","mateusgabriel","Mon Sep 14 2020 14:41:51 GMT-0500 (GMT-5)","iNaturalist research-grade observations","Rio Branco, AC, BR","Observations","2868151585","https://www.inaturalist.org/observations/59612338","855277","mateusgabriel","59612338","https://www.inaturalist.org/observations/59612338","iNaturalist","© mateusgabriel some rights reserved",NA,"José Valério","130335472","Pithecia irrorata Gray, 1842","18:41:51Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia irrorata","2988272116","Pithecia irrorata Gray, 1842",-15.095148,-58.773263,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:07:26.926+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436372,1,44,359,798,5486,2436370,2436372,2436372,"Pithecia irrorata Gray, 1842","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia","irrorata","SPECIES","ACCEPTED","DD","2020-11-15T22:53:16",3633,"Mato Grosso",2020,10,4,"2020-10-04T12:17:00","2020-11-19T18:29:37.000+00:00","2021-09-08T00:07:26.926+00:00","https://www.inaturalist.org/observations/64974470","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","eldile","64974470","eldile","2020/10/04 12:17 PM UTC","iNaturalist research-grade observations","Jauru - MT, Brasil","Observations","2988272116","https://www.inaturalist.org/observations/64974470","855277","eldile","64974470","https://www.inaturalist.org/observations/64974470","iNaturalist","© eldile some rights reserved","Fotografados na APP do Rio dos Peixes, bem próximo a cachoeira, Lucialva, Jauru-MT. Deu um baita trabalho acompanhar eles para conseguir a foto. Parece que entenderam que eu não queria o mal deles, dai passaram a me observar após tentarem fugir.","eldile","141904902","Pithecia irrorata Gray, 1842","12:17:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia irrorata","2988290125","Pithecia irrorata Gray, 1842",-15.095148,-58.773263,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:08:00.144+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436372,1,44,359,798,5486,2436370,2436372,2436372,"Pithecia irrorata Gray, 1842","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia","irrorata","SPECIES","ACCEPTED","DD","2020-11-15T22:53:17",2821,"Mato Grosso",2020,10,4,"2020-10-04T12:15:00","2020-11-19T18:29:27.000+00:00","2021-09-08T00:08:00.144+00:00","https://www.inaturalist.org/observations/64974471","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","eldile","64974471","eldile","2020/10/04 12:15 PM UTC","iNaturalist research-grade observations","Jauru - MT, Brasil","Observations","2988290125","https://www.inaturalist.org/observations/64974471","855277","eldile","64974471","https://www.inaturalist.org/observations/64974471","iNaturalist","© eldile some rights reserved","Fotografados na APP do Rio dos Peixes, bem próximo a cachoeira, Lucialva, Jauru-MT. Deu um baita trabalho acompanhar eles para conseguir a foto. Parece que entenderam que eu não queria o mal deles, dai passaram a me observar após tentarem fugir.","eldile","141904903","Pithecia irrorata Gray, 1842","12:15:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia irrorata","2988299136","Pithecia irrorata Gray, 1842",-15.095148,-58.773263,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:06:48.013+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436372,1,44,359,798,5486,2436370,2436372,2436372,"Pithecia irrorata Gray, 1842","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia","irrorata","SPECIES","ACCEPTED","DD",NA,5938,"Mato Grosso",2020,10,4,"2020-10-04T12:16:00","2020-12-29T00:10:27.000+00:00","2021-09-08T00:06:48.013+00:00","https://www.inaturalist.org/observations/64974465","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","eldile","64974465","eldile","2020/10/04 12:16 PM UTC","iNaturalist research-grade observations","Jauru - MT, Brasil","Observations","2988299136","https://www.inaturalist.org/observations/64974465","855277","eldile","64974465","https://www.inaturalist.org/observations/64974465","iNaturalist","© eldile some rights reserved","Fotografados na APP do Rio dos Peixes, bem próximo a cachoeira, Lucialva, Jauru-MT. Deu um baita trabalho acompanhar eles para conseguir a foto. Parece que entenderam que eu não queria o mal deles, dai passaram a me observar após tentarem fugir.",NA,NA,"Pithecia irrorata Gray, 1842","12:16:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia irrorata","2988369220","Pithecia irrorata Gray, 1842",-15.095148,-58.773263,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:07:09.325+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436372,1,44,359,798,5486,2436370,2436372,2436372,"Pithecia irrorata Gray, 1842","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia","irrorata","SPECIES","ACCEPTED","DD","2020-11-15T22:53:15",2821,"Mato Grosso",2020,10,4,"2020-10-04T12:16:00","2020-11-19T18:29:50.000+00:00","2021-09-08T00:07:09.325+00:00","https://www.inaturalist.org/observations/64974466","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","eldile","64974466","eldile","2020/10/04 12:16 PM UTC","iNaturalist research-grade observations","Jauru - MT, Brasil","Observations","2988369220","https://www.inaturalist.org/observations/64974466","855277","eldile","64974466","https://www.inaturalist.org/observations/64974466","iNaturalist","© eldile some rights reserved","Fotografados na APP do Rio dos Peixes, bem próximo a cachoeira, Lucialva, Jauru-MT. Deu um baita trabalho acompanhar eles para conseguir a foto. Parece que entenderam que eu não queria o mal deles, dai passaram a me observar após tentarem fugir.","eldile","141904898","Pithecia irrorata Gray, 1842","12:16:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia irrorata","2331855922","Pithecia irrorata Gray, 1842",-12.560736,-70.098514,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:30:54.139+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436372,1,44,359,798,5486,2436370,2436372,2436372,"Pithecia irrorata Gray, 1842","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia","irrorata","SPECIES","ACCEPTED","DD","2019-08-02T05:17:38",798,"Madre de Dios",2019,6,19,"2019-06-19T10:39:32","2019-08-05T11:59:58.000+00:00","2021-09-07T23:30:54.139+00:00","https://www.inaturalist.org/observations/30026128","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","steinhardt","30026128","steinhardt","Wed Jun 19 2019 10:39:32 GMT-0700 (PDT)","iNaturalist research-grade observations","Madre de Dios, , Madre de Dios, PE","Observations","2331855922","https://www.inaturalist.org/observations/30026128","855277","steinhardt","30026128","https://www.inaturalist.org/observations/30026128","iNaturalist","© steinhardt some rights reserved",NA,"steinhardt","65145872","Pithecia irrorata Gray, 1842","17:39:32Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia irrorata","2283245633","Pithecia irrorata Gray, 1842",-12.570511,-70.084567,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:49:24.745+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436372,1,44,359,798,5486,2436370,2436372,2436372,"Pithecia irrorata Gray, 1842","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia","irrorata","SPECIES","ACCEPTED","DD","2019-07-09T19:20:21",NA,"Madre de Dios",2019,7,7,"2019-07-07T12:06:00","2019-07-09T19:20:55.000+00:00","2021-09-07T23:49:24.745+00:00","https://www.inaturalist.org/observations/28514616","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","pfaucher","28514616","pfaucher","2019/07/07 12:06 PM EDT","iNaturalist research-grade observations","Manú Province, Peru","Observations","2283245633","https://www.inaturalist.org/observations/28514616","855277","pfaucher","28514616","https://www.inaturalist.org/observations/28514616","iNaturalist","© pfaucher some rights reserved",NA,"pfaucher","62015932","Pithecia irrorata Gray, 1842","16:06:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia irrorata","2311367758","Pithecia irrorata Gray, 1842",-12.569397,-70.097539,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:44:02.036+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436372,1,44,359,798,5486,2436370,2436372,2436372,"Pithecia irrorata Gray, 1842","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia irrorata","Pithecia","irrorata","SPECIES","ACCEPTED","DD","2019-07-29T02:07:48",NA,"Madre de Dios",2019,7,10,"2019-07-10T12:15:00","2019-10-06T19:32:02.000+00:00","2021-09-07T23:44:02.036+00:00","https://www.inaturalist.org/observations/29758986","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE","none","none","Peru","pfaucher","29758986","pfaucher","2019/07/10 12:15 PM EDT","iNaturalist research-grade observations","Manú Province, Peru","Observations","2311367758","https://www.inaturalist.org/observations/29758986","855277","pfaucher","29758986","https://www.inaturalist.org/observations/29758986","iNaturalist","© pfaucher some rights reserved",NA,"pfaucher","64554752","Pithecia irrorata Gray, 1842","16:15:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
