"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","recordedByIDs","identifiedByIDs","lifeStage","identificationRemarks","occurrenceRemarks","elevation","elevationAccuracy","continent","institutionKey","institutionID","municipality","county","locality","language","type","collectionID","individualCount","vernacularName","higherClassification","eventID","habitat","samplingProtocol","parentEventID","sampleSizeUnit","sampleSizeValue","http...rs.tdwg.org.dwc.terms.sampleSizeValue","http...rs.tdwg.org.dwc.terms.sampleSizeUnit","eventRemarks","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","establishmentMeans","collectionKey","nomenclaturalCode","higherGeography","endDayOfYear","georeferenceVerificationStatus","startDayOfYear","accessRights","behavior","sex","dynamicProperties","identificationVerificationStatus","locationAccordingTo","preparations","georeferencedDate","recordNumber","georeferencedBy","georeferenceProtocol","verbatimCoordinateSystem","otherCatalogNumbers","organismID","previousIdentifications","identificationQualifier","associatedSequences","georeferenceSources","locationRemarks","infraspecificEpithet","fieldNumber","ownerInstitutionCode","datasetID","higherGeographyID","disposition","georeferenceRemarks","X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.","download"
"Pithecia monachus","3325471656","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-7.49609,-72.729118,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:35:03.546+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC","2021-07-02T19:10:45",977,"Amazonas",2021,7,2,"2021-07-02T09:23:00","2021-07-02T19:21:52.000+00:00","2021-09-07T23:35:03.546+00:00","https://www.inaturalist.org/observations/85372579","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","ORCID","https://orcid.org/0000-0001-5990-9401","ORCID","https://orcid.org/0000-0001-5990-9401","Brazil","Marllus Rafael Almeida","85372579","marllus_rafael","2021/07/02 9:23 AM -0300","iNaturalist research-grade observations","Guajará - AM, 69895-000, Brasil","Observations","3325471656","https://www.inaturalist.org/observations/85372579","852369","Marllus Rafael Almeida","85372579","https://www.inaturalist.org/observations/85372579","iNaturalist","© Marllus Rafael Almeida some rights reserved","12:23:00Z","Marllus Rafael Almeida","187812314","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia monachus","2331877337","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-0.490998,-76.490373,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:31:03.198+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC","2019-08-03T14:25:08",25,"Orellana",2019,7,4,"2019-07-04T10:15:00","2019-09-08T01:04:34.000+00:00","2021-09-07T23:31:03.198+00:00","https://www.inaturalist.org/observations/30102655","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC",NA,NA,NA,NA,"Ecuador","stanlilley","30102655","stanlilley","2019/07/04 10:15 AM EDT","iNaturalist research-grade observations","Shipati River and Providencia Trail, Orellana, Ecuador","Observations","2331877337","https://www.inaturalist.org/observations/30102655","852369","stanlilley","30102655","https://www.inaturalist.org/observations/30102655","iNaturalist","© stanlilley some rights reserved","14:15:00Z","stanlilley","65306252","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia monachus","1847517994","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-4.811839,-73.642456,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:29:08.954+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC","2019-01-15T05:39:05",7813,"Loreto",2018,1,18,"2018-01-18T22:40:00","2021-03-05T02:04:21.000+00:00","2021-09-07T23:29:08.954+00:00","https://www.inaturalist.org/observations/12449868","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","lsimuns","12449868","lsimuns","2018/01/18 10:40 PM MST","iNaturalist research-grade observations","Requena Province, Peru","Observations","1847517994","https://www.inaturalist.org/observations/12449868","852369","lsimuns","12449868","https://www.inaturalist.org/observations/12449868","iNaturalist","© lsimuns some rights reserved","05:40:00Z","Scott Loarie","43218168","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none","Juvenile","ID based on being east of the the Ucayali River (Marsh 2014)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia monachus","1586939165","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-4.399825,-73.253182,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:50:07.327+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC","2019-01-15T05:38:44",NA,"Loreto",2017,8,12,"2017-08-12T10:27:00","2020-03-03T17:03:17.000+00:00","2021-09-07T23:50:07.327+00:00","https://www.inaturalist.org/observations/7484247","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","Wayne Godbehere","7484247","waynewg","2017/08/12 10:27 AM EDT","iNaturalist research-grade observations","Maynas Province, Peru","Observations","1586939165","https://www.inaturalist.org/observations/7484247","852369","Wayne Godbehere","7484247","https://www.inaturalist.org/observations/7484247","iNaturalist","© Wayne Godbehere some rights reserved","14:27:00Z","Scott Loarie","43218155","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none","Adult","ID based on being east of the the Ucayali River (Marsh 2014)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia monachus","1677296950","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-4.544917,-73.448694,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:29:25.815+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC","2019-01-15T05:38:55",200,"Loreto",2016,3,22,"2016-03-22T17:50:00","2020-03-03T17:03:18.000+00:00","2021-09-07T23:29:25.815+00:00","https://www.inaturalist.org/observations/8394009","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru","Paul Tavares","8394009","paultavares","2016/03/22 5:50 PM EDT","iNaturalist research-grade observations","Rio Amazonas - Rio Yarapa, Loreto, Peru","Observations","1677296950","https://www.inaturalist.org/observations/8394009","852369","Paul Tavares","8394009","https://www.inaturalist.org/observations/8394009","iNaturalist","© Paul Tavares some rights reserved","21:50:00Z","Scott Loarie","43218161","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none",NA,"ID based on being east of the the Ucayali River (Marsh 2014)","Rio Amazonas - Rio Yarapa, Loreto, Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia monachus","1316534862","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-5.208333,-75.468972,"cdround,colmano,inmafu","e307fa47-ae87-4fc9-a1a5-b1415adac8be","76513b28-548d-480a-8859-bd7f45f8724b","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-03T20:14:42.603+00:00","2021-03-09T12:28:33.176+00:00",180,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC",NA,NA,"Loreto",2015,NA,NA,"2015-01-01T00:00:00",NA,"2021-03-09T12:28:33.176+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru",NA,"NPC:NPC:NPC-Primates-PE-121",NA,NA,NA,NA,"NPC","1316534862","NPC:NPC:NPC-Primates-PE-121",NA,"Nestor Allgas","NPC-Primates-PE-121",NA,"NPC",NA,NA,NA,NA,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none",NA,NA,NA,35,15,"SOUTH_AMERICA","0e2b2658-0918-46bd-a310-964ec808250b","NPC","Parinari","Loreto","Pacaya-Samiria","es","Evento","NPC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia monachus","2841483582","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-0.522315,-76.403432,"cdround,osiic","8a863029-f435-446a-821e-275f4f641165","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","85ccfd1a-a837-48d6-9a87-96c99f6fe012","NL","DWC_ARCHIVE","2020-08-19T12:31:07.894+00:00","2021-08-30T10:27:29.867+00:00",80,"396d5f30-dea9-11db-8ab4-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC",NA,100,NA,2014,12,6,"2014-12-06T00:00:00","2018-03-27T00:00:00.000+00:00","2021-08-30T10:27:29.867+00:00","https://data.biodiversitydata.nl/obsint/observation/OBS.97062906","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC",NA,NA,NA,NA,"Ecuador","Stichting Natuurinformatie","97062906@OBS",NA,NA,NA,NA,"Observations","2841483582","https://observation.org/observation/97062906",NA,NA,"OBS.97062906",NA,NA,NA,NA,NA,NA,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none","Unknown",NA,NA,NA,NA,"SOUTH_AMERICA",NA,NA,NA,NA,"Ecuador - Parque Nacional Yasuní",NA,NA,NA,1,"Monk Saki","Animalia|TITIS_AND_SAKIS_PITHECIIDAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia monachus","1586204530","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-2.938358,-75.408564,"cdround,colmano,inmano","365e1c3b-cbf4-49c4-a391-6b8a36bb7922","06899e5a-7450-4ccc-a7ba-52885a3cf624","23c2fb21-e2cc-473e-9651-8d231a82d87b","PE","DWC_ARCHIVE","2021-02-26T23:35:43.233+00:00","2021-03-09T11:47:24.434+00:00",145,"89602091-d81d-460b-96a5-bbebd4d08529","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC",NA,NA,NA,2013,6,13,"2013-06-13T00:00:00",NA,"2021-03-09T11:47:24.434+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru",NA,"SERFOR:INFFS:SB-185:1242",NA,NA,NA,NA,NA,"1586204530","SERFOR:INFFS:SB-185:1242",NA,NA,NA,NA,"SERFOR",NA,NA,NA,NA,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Huapo negro  yana huapo",NA,"SERFOR:INFFS:SB-185","BHAG","Registro oportunista","SERFOR:INFFS:SB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia monachus","1586204551","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-2.960939,-75.455319,"cdround,colmano,inmano","365e1c3b-cbf4-49c4-a391-6b8a36bb7922","06899e5a-7450-4ccc-a7ba-52885a3cf624","23c2fb21-e2cc-473e-9651-8d231a82d87b","PE","DWC_ARCHIVE","2021-02-26T23:35:43.233+00:00","2021-03-09T11:47:24.427+00:00",145,"89602091-d81d-460b-96a5-bbebd4d08529","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC",NA,NA,NA,2013,6,15,"2013-06-15T00:00:00",NA,"2021-03-09T11:47:24.427+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru",NA,"SERFOR:INFFS:SB-185:1270",NA,NA,NA,NA,NA,"1586204551","SERFOR:INFFS:SB-185:1270",NA,NA,NA,NA,"SERFOR",NA,NA,NA,NA,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Huapo negro  yana huapo",NA,"SERFOR:INFFS:SB-185","BHCO","Registro oportunista","SERFOR:INFFS:SB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Pithecia monachus","1586204714","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-3.206285,-75.285718,"cdround,colmano,inmano","365e1c3b-cbf4-49c4-a391-6b8a36bb7922","06899e5a-7450-4ccc-a7ba-52885a3cf624","23c2fb21-e2cc-473e-9651-8d231a82d87b","PE","DWC_ARCHIVE","2021-02-26T23:35:43.233+00:00","2021-03-09T11:47:24.614+00:00",145,"89602091-d81d-460b-96a5-bbebd4d08529","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC",NA,NA,NA,2013,6,24,"2013-06-24T00:00:00",NA,"2021-03-09T11:47:24.614+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PE",NA,NA,NA,NA,"Peru",NA,"SERFOR:INFFS:SB-222:1779",NA,NA,NA,NA,NA,"1586204714","SERFOR:INFFS:SB-222:1779",NA,NA,NA,NA,"SERFOR",NA,NA,NA,NA,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Huapo negro  yana huapo",NA,"SERFOR:INFFS:SB-222","BHCO","Registro oportunista","SERFOR:INFFS:SB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
