"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","sex","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","typeStatus","preparationType","individualCount","verbatimLongitude","verbatimLatitude","infraspecificEpithet","county","coordinatePrecision","geoFlag","scientificNameAuthorship","fieldNumber","previousCatalogNumber"
"1","2021-07-17 15:41:31-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:193684","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Pithecia","monachus","Pithecia monachus","James L. Patton","Collector(s): Maria Nazareth F. da Silva","1491","1992","03","12","South America","Brazil","Acre","Sobral, left bank Rio Juruá","-72.8166667","-8.3666667","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:193684' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-20 10:40:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:184546","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Pithecia","monachus","Pithecia monachus","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): unknown",NA,NA,NA,NA,"South America","Colombia",NA,"no specific locality recorded","-72","4","unknown","<a href='http://arctos.database.museum/guid/MVZ:Mamm:184546' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 04:10:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:157795","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Pithecia","monachus","Pithecia monachus","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","8470","1979","08","18","South America","Peru","Amazonas","Caterpiza (Huambisa village), Rio Caterpiza of Rio Santiago","-77.71667","-3.91667","male","ELEV. APPROX. <a href='http://arctos.database.museum/guid/MVZ:Mamm:157795' target='other'> <mi>dwc_moreinfo</mi></a>","190","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 04:10:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:157794","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Pithecia","monachus","Pithecia monachus","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","8469","1979","08","18","South America","Peru","Amazonas","Caterpiza (Huambisa village), Rio Caterpiza of Rio Santiago","-77.71667","-3.91667","female","ELEV. APPROX. <a href='http://arctos.database.museum/guid/MVZ:Mamm:157794' target='other'> <mi>dwc_moreinfo</mi></a>","190","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-07-17 14:47:24-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:193683","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Pithecia","monachus","Pithecia monachus","James L. Patton","Collector(s): Maria Nazareth F. da Silva","41","1992","02","23","South America","Brazil","Acre","left bank Rio Juruá","-72.62245","-8.35367","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:193683' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"voucher of <a href=http://arctos.database.museum/name/Pithecia monachus>Pithecia monachus</a> in <a href=http://arctos.database.museum/publication/10008085>Wlasiuk et al. 2009</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-10-20 10:40:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:184547","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Pithecia","monachus","Pithecia monachus","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): unknown",NA,NA,NA,NA,"South America","Colombia",NA,"no specific locality recorded","-72","4","unknown","<a href='http://arctos.database.museum/guid/MVZ:Mamm:184547' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","16606","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Pithecia","monachus","Pithecia monachus",NA,"E. Gerrard","No Number",NA,NA,NA,"South America","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","518224","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Pithecia","monachus","Pithecia monachus",NA,"Collector Unknown","29311","1948","10","3","South America","Brazil","Amazonas","Benjamin Constante, Seringal, Boa Vista (Gondino), Rio Quixito, Jose Veiga",NA,NA,NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","545891","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Pithecia","monachus","Pithecia monachus",NA,"Collector Unknown","HM 34","1974","8","21","South America","Brazil","Mato Grosso","Aripuana","-60.63","-9.17",NA,NA,NA,NA,NA,"Skin; Skull","1","060 38 -- W","09 10 -- S",NA,NA,NA,NA,NA,NA,NA
"10","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","461706","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Pithecia","monachus","Pithecia monachus monachus",NA,"F. Pinheiro","A 341","1972","7","19","South America","Brazil","Para","Itaituba, Jacareacanga, Km 19",NA,NA,NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,"monachus",NA,NA,NA,NA,NA,NA
"11","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","461918","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Pithecia","monachus","Pithecia monachus monachus",NA,"F. Pinheiro","A 1547","1973","11","5","South America","Brazil","Para","km 212 Transamazonica Highway, (Itaituba - Jacareacanga)",NA,NA,NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,"monachus",NA,NA,NA,NA,NA,NA
"12","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","461919","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Pithecia","monachus","Pithecia monachus monachus",NA,"F. Pinheiro","A 1657","1973","11","29","South America","Brazil","Para","Itaituba, Transamazonica Itaituba-Jacareacanga Km 212",NA,NA,NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,"monachus",NA,NA,NA,NA,NA,NA
"13","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","461920","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Pithecia","monachus","Pithecia monachus monachus",NA,"F. Pinheiro","A 1658","1973","11","29","South America","Brazil","Para","Itaituba, Transamazonica Itaituba-Jacareacanga Km 212",NA,NA,NA,NA,NA,NA,NA,"Skull","1",NA,NA,"monachus",NA,NA,NA,NA,NA,NA
"14","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","518223","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Pithecia","monachus","Pithecia monachus monachus",NA,"Collector Unknown","29306","1948","9","17","South America","Brazil","Amazonas","Benjamin Constante, Mata Esperanca Do Municipio",NA,NA,NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,"monachus",NA,NA,NA,NA,NA,NA
"15","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","16605","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Pithecia","monachus","Pithecia monachus",NA,"Collector Unknown","No number",NA,NA,NA,"South America","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mounted skin","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","461705","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Pitheciidae","Pithecia","monachus","Pithecia monachus monachus",NA,"F. Pinheiro","A 336","1972","7","17","South America","Brazil","Para","Itaituba, Jacareacanga, Km 19",NA,NA,NA,NA,NA,NA,NA,"Skin; Skull","1",NA,NA,"monachus",NA,NA,NA,NA,NA,NA
"17","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","8128","S","Animalia",NA,"Mammalia","Primates","Cebidae","Pithecia","monachus","Pithecia monachus",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Parque Nacional da Serra do Divisor; Rio Juruá Mirim","-73.6","-7.45",NA,"Artigo: Observations of Callimico goeldii with Saguinus imperator in the Serra do Divisor National Park, Acre, Barzil - Lopes M.A.O.A. - Rehg J.A. 2003",NA,NA,NA,NA,NA,"-73.6","-7.45",NA,NA,NA,NA,NA,NA,NA
"18","2010-03-08 13:53:12-03","SEMA-Acre","ZEE_MAM","4389","S","Animalia",NA,"Mammalia","Primates","Cebidae","Pithecia","monachus","Pithecia monachus irrorata",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","América do Sul- Acre",NA,NA,NA,"Livro: Neotropical rainforest mammals. A field guide, second edition - Emmons L.H. - Feer F. 1997",NA,NA,NA,NA,NA,"0.0","0.0","irrorata",NA,NA,NA,NA,NA,NA
