"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","infraspecificEpithet","informationWithheld","occurrenceRemarks","individualCount","lifeStage","continent","vernacularName","locality","higherClassification","identifiedByIDs.type","identifiedByIDs.value","projectId","elevation","elevationAccuracy","organismQuantity","organismQuantityType","http...rs.tdwg.org.dwc.terms.organismQuantity","habitat","institutionID","samplingEffort","county","language","type","taxonRemarks","http...rs.tdwg.org.dwc.terms.organismQuantityType","nomenclaturalCode","georeferencedBy","endDayOfYear","georeferenceVerificationStatus","verbatimSRS","verbatimCoordinateSystem","pointRadiusSpatialFit","footprintSRS","locationID","startDayOfYear","footprintSpatialFit","samplingProtocol","recordedByIDs.type","recordedByIDs.value","municipality","locationRemarks","collectionID","originalNameUsage","sex","download"
"Saguinus graellsi","3044934262","Saguinus nigricollis (Spix, 1823)",-0.471646,-76.459156,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:37.417+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436477,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus","nigricollis","SPECIES","SYNONYM","LC","2021-02-26T16:24:24",233,"Sucumbios",2021,2,19,"2021-02-19T17:08:27","2021-02-27T00:02:44.000+00:00","2021-09-08T00:20:37.417+00:00","https://www.inaturalist.org/observations/70164047","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","Vanesa Cruz Jumbo","70164047","vkcruzjumbo","Fri Feb 19 2021 17:08:27 GMT-0500 (GMT-5)","iNaturalist research-grade observations","Shushufindi, Sucumbios, EC","Observations","3044934262","https://www.inaturalist.org/observations/70164047","43386","Vanesa Cruz Jumbo","70164047","https://www.inaturalist.org/observations/70164047","iNaturalist","© Vanesa Cruz Jumbo some rights reserved","22:08:27Z","Edison Araguillin","156747767","Saguinus nigricollis (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Saguinus graellsi","3113631795","Saguinus nigricollis (Spix, 1823)",-0.472253,-76.45913,"","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:46:38.441+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436477,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus","nigricollis","SPECIES","SYNONYM","LC","2021-05-13T01:48:38",212,"Sucumbios",2021,4,19,"2021-04-19T15:26:00","2021-05-13T18:21:01.000+00:00","2021-09-07T23:46:38.441+00:00","https://www.inaturalist.org/observations/78531007","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","taopina","78531007","taopina","2021/04/19 3:26 PM UTC","iNaturalist research-grade observations","Providencia, Quito, Ecuador","Observations","3113631795","https://www.inaturalist.org/observations/78531007","43386","taopina","78531007","https://www.inaturalist.org/observations/78531007","iNaturalist","© taopina some rights reserved","15:26:00Z","taopina","174289092","Saguinus nigricollis (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Saguinus graellsi","3302099634","Saguinus nigricollis (Spix, 1823)",-0.744815,-77.362689,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:46:22.164+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436477,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus","nigricollis","SPECIES","SYNONYM","LC","2021-05-19T20:37:51",7855,"Orellana",2021,4,27,"2021-04-27T18:29:00","2021-06-01T16:25:31.000+00:00","2021-09-07T23:46:22.164+00:00","https://www.inaturalist.org/observations/79439358","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","Diego Naranjo","79439358","diego_naranjo","2021/04/27 6:29 PM -0500","iNaturalist research-grade observations","Loreto, Ecuador","Observations","3302099634","https://www.inaturalist.org/observations/79439358","43386","Diego Naranjo","79439358","https://www.inaturalist.org/observations/79439358","iNaturalist","© Diego Naranjo some rights reserved","23:29:00Z","Diego Naranjo","176109433","Saguinus nigricollis (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Saguinus graellsi","3112875391","Saguinus nigricollis (Spix, 1823)",-0.13341,-77.444698,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:33:51.660+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436477,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus","nigricollis","SPECIES","SYNONYM","LC","2021-05-05T18:01:13",122,"Napo",2021,5,4,"2021-05-04T09:55:00","2021-05-06T01:18:58.000+00:00","2021-09-07T23:33:51.660+00:00","https://www.inaturalist.org/observations/77313553","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","Vanesa Cruz Jumbo","77313553","vkcruzjumbo","Tue May 04 2021 09:55:00 GMT-0500 (GMT-5)","iNaturalist research-grade observations","El Chaco, Napo, EC","Observations","3112875391","https://www.inaturalist.org/observations/77313553","43386","Vanesa Cruz Jumbo","77313553","https://www.inaturalist.org/observations/77313553","iNaturalist","© Vanesa Cruz Jumbo some rights reserved","13:55:00Z","thibaut-pilatte","171976004","Saguinus nigricollis (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Saguinus graellsi","3307521496","Saguinus nigricollis (Spix, 1823)",0.0484,-76.904248,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:56.397+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436477,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus","nigricollis","SPECIES","SYNONYM","LC","2021-06-17T14:24:23",4,"Sucumbios",2021,6,9,"2021-06-09T17:26:00","2021-06-18T13:30:03.000+00:00","2021-09-08T00:20:56.397+00:00","https://www.inaturalist.org/observations/83387358","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","David Torres","83387358","dawicho","2021/06/09 5:26 PM -0500","iNaturalist research-grade observations","Nueva Loja, Ecuador","Observations","3307521496","https://www.inaturalist.org/observations/83387358","43386","David Torres","83387358","https://www.inaturalist.org/observations/83387358","iNaturalist","© David Torres some rights reserved","22:26:00Z","David Torres","183912768","Saguinus nigricollis (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Saguinus graellsi","3314502009","Saguinus nigricollis (Spix, 1823)",0.115964,-76.907567,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:20:48.668+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436477,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus","nigricollis","SPECIES","SYNONYM","LC","2021-06-20T22:31:38",15,"Sucumbios",2021,6,11,"2021-06-11T15:31:00","2021-06-22T11:20:51.000+00:00","2021-09-08T00:20:48.668+00:00","https://www.inaturalist.org/observations/83848848","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","David Torres","83848848","dawicho","2021/06/11 3:31 PM -0500","iNaturalist research-grade observations","Lago Agrio, Ecuador","Observations","3314502009","https://www.inaturalist.org/observations/83848848","43386","David Torres","83848848","https://www.inaturalist.org/observations/83848848","iNaturalist","© David Torres some rights reserved","20:31:00Z","David Torres","184791339","Saguinus nigricollis (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Saguinus graellsi","3343918307","Saguinus nigricollis (Spix, 1823)",-0.011002,-76.168664,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:06:09.343+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436477,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus","nigricollis","SPECIES","SYNONYM","LC","2021-08-23T15:10:26",15,"Sucumbios",2021,8,9,"2021-08-09T11:11:00","2021-08-23T19:41:42.000+00:00","2021-09-08T00:06:09.343+00:00","https://www.inaturalist.org/observations/92243740","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","jorgebrito","92243740","jorgebrito","2021/08/09 11:11 AM -0500","iNaturalist research-grade observations","Putumayo, Ecuador","Observations","3343918307","https://www.inaturalist.org/observations/92243740","43386","jorgebrito","92243740","https://www.inaturalist.org/observations/92243740","iNaturalist","© jorgebrito some rights reserved","16:11:00Z","jorgebrito","201546749","Saguinus nigricollis (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Saguinus graellsi","3343953460","Saguinus nigricollis (Spix, 1823)",-0.011002,-76.168664,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:50:34.700+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2436477,1,44,359,798,9620,5428933,8628111,8628111,"Leontocebus nigricollis (Spix, 1823)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus","nigricollis","SPECIES","SYNONYM","LC","2021-08-23T15:10:26",15,"Sucumbios",2021,8,9,"2021-08-09T11:30:00","2021-08-23T19:41:46.000+00:00","2021-09-07T23:50:34.700+00:00","https://www.inaturalist.org/observations/92243742","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","jorgebrito","92243742","jorgebrito","2021/08/09 11:30 AM -0500","iNaturalist research-grade observations","Putumayo, Ecuador","Observations","3343953460","https://www.inaturalist.org/observations/92243742","43386","jorgebrito","92243742","https://www.inaturalist.org/observations/92243742","iNaturalist","© jorgebrito some rights reserved","16:30:00Z","jorgebrito","201546750","Saguinus nigricollis (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Saguinus graellsi","2557775567","Saguinus nigricollis graellsi (Jiménez de la Espada, 1870)",-0.584801,-76.563018,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:57:11.510+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5786442,1,44,359,798,9620,5428933,8628111,9147205,"Leontocebus nigricollis graellsi (Jiménez de la Espada, 1870)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus","nigricollis","SUBSPECIES","SYNONYM","NT","2020-01-12T21:41:20",31451,"Sucumbios",2020,1,5,"2020-01-05T16:36:00","2020-04-03T17:11:40.000+00:00","2021-09-07T23:57:11.510+00:00","https://www.inaturalist.org/observations/37535759","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","Howard Friedman","37535759","howardfriedman1","2020/01/05 4:36 PM PST","iNaturalist research-grade observations","Ecuador","Observations","2557775567","https://www.inaturalist.org/observations/37535759","147827","Howard Friedman","37535759","https://www.inaturalist.org/observations/37535759","iNaturalist","© Howard Friedman some rights reserved","00:36:00Z","Jane Widness","83394379","Saguinus nigricollis graellsi (Jiménez de la Espada, 1870)","graellsi","Coordinate uncertainty increased to 31451m to protect threatened taxon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Saguinus graellsi","2557783545","Saguinus nigricollis graellsi (Jiménez de la Espada, 1870)",-0.535587,-76.500415,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:31:32.779+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5786442,1,44,359,798,9620,5428933,8628111,9147205,"Leontocebus nigricollis graellsi (Jiménez de la Espada, 1870)","Animalia","Chordata","Primates","Callitrichidae","Leontocebus","Leontocebus nigricollis","Saguinus","nigricollis","SUBSPECIES","SYNONYM","NT","2020-01-13T14:35:45",31451,"Sucumbios",2020,1,4,"2020-01-04T14:17:00","2020-01-15T10:43:47.000+00:00","2021-09-07T23:31:32.779+00:00","https://www.inaturalist.org/observations/37556674","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","EC","none","none","Ecuador","Howard Friedman","37556674","howardfriedman1","2020/01/04 2:17 PM PST","iNaturalist research-grade observations","Ecuador","Observations","2557783545","https://www.inaturalist.org/observations/37556674","147827","Howard Friedman","37556674","https://www.inaturalist.org/observations/37556674","iNaturalist","© Howard Friedman some rights reserved","22:17:00Z","Jane Widness","83457670","Saguinus nigricollis graellsi (Jiménez de la Espada, 1870)","graellsi","Coordinate uncertainty increased to 31451m to protect threatened taxon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
