"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","establishmentMeans","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","institutionKey","collectionKey","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","identifier","institutionID","nomenclaturalCode","verbatimEventDate","higherGeography","endDayOfYear","georeferenceVerificationStatus","locality","verbatimLocality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","vernacularName","institutionCode","rights","startDayOfYear","occurrenceRemarks","accessRights","behavior","name","individualCount","sex","dateIdentified","coordinateUncertaintyInMeters","dynamicProperties","identificationVerificationStatus","locationAccordingTo","preparations","eventTime","identificationRemarks","identifiedBy","georeferencedDate","recordNumber","georeferencedBy","georeferenceProtocol","verbatimCoordinateSystem","otherCatalogNumbers","organismID","previousIdentifications","identificationQualifier","collectionID","higherClassification","georeferenceSources","elevation","rightsHolder","higherGeographyID","locationRemarks","georeferenceRemarks","disposition","ownerInstitutionCode","county","fieldNumber","lifeStage","waterBody","habitat","datasetName","elevationAccuracy","eventRemarks","bibliographicCitation","eventID","locationID","identificationID","originalNameUsage","verbatimTaxonRank","recordedByIDs.type","recordedByIDs.value","nameAccordingTo","projectId","coordinatePrecision","earliestAgeOrLowestStage","namePublishedInYear","associatedReferences","taxonID","taxonConceptID","lithostratigraphicTerms","X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.","organismQuantity","organismQuantityType","http...rs.tdwg.org.dwc.terms.organismQuantity","http...rs.tdwg.org.dwc.terms.organismQuantityType","datasetID","parentNameUsage"
"1","197010153","Aotus trivirgatus (Humboldt, 1811)",-12.517,-68.7,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:13.005+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1996,6,2,"1996-06-02T00:00:00",NA,"2021-03-09T14:08:13.005+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"99ea5857-5712-4ccb-be13-2b8699835efe",FALSE,"WGS84","Mammalia","PER","none","none","Peru","197010153",NA,NA,NA,NA,NA,NA,"Pampas del Heath",NA,NA,"24","197010153",NA,NA,"Monica Romo","58744",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","197008993","Aotus trivirgatus (Humboldt, 1811)",-3.917,-78.433,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:10.942+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1994,7,14,"1994-07-14T00:00:00",NA,"2021-03-09T14:08:10.942+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"a364594d-6e74-4c31-b374-d480e5ec43b3",FALSE,"WGS84","Mammalia","PER","none","none","Peru","197008993",NA,NA,NA,NA,NA,NA,"Upper Rio Comainas",NA,NA,"11","197008993",NA,NA,"Louise H. Emmons","19545",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","197008978","Aotus trivirgatus (Humboldt, 1811)",-12.838,-69.295,"elnn,gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:10.943+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,5,1,"1992-05-01T00:00:00",NA,"2021-03-09T14:08:10.943+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"6e60117d-86fc-4a57-970d-1cddc9ea30da",FALSE,"WGS84","Mammalia","PER","none","none","Peru","197008978",NA,NA,NA,NA,NA,NA,"Explorers Inn",NA,NA,"36","197008978",NA,NA,"Linda J. Barkley","13287",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","197009011","Aotus trivirgatus (Humboldt, 1811)",-13.367,-69.617,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:13.147+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,5,1,"1992-05-01T00:00:00",NA,"2021-03-09T14:08:13.147+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"6e60117d-86fc-4a57-970d-1cddc9ea30da",FALSE,"WGS84","Mammalia","PER","none","none","Peru","197009011",NA,NA,NA,NA,NA,NA,"Mirador, Boca Tavara",NA,NA,"36","197009011",NA,NA,"Louise H. Emmons","25050",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","197010152","Aotus trivirgatus (Humboldt, 1811)",-13.142,-69.607,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:13.004+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,5,1,"1992-05-01T00:00:00",NA,"2021-03-09T14:08:13.004+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"6e60117d-86fc-4a57-970d-1cddc9ea30da",FALSE,"WGS84","Mammalia","PER","none","none","Peru","197010152",NA,NA,NA,NA,NA,NA,"Ccolpa de Guacamayos",NA,NA,"36","197010152",NA,NA,"Louise H. Emmons","61789",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","197010178","Aotus trivirgatus (Humboldt, 1811)",-13.503,-69.683,"elnn,gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:13.000+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,5,1,"1992-05-01T00:00:00",NA,"2021-03-09T14:08:13.000+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"6e60117d-86fc-4a57-970d-1cddc9ea30da",FALSE,"WGS84","Mammalia","PER","none","none","Peru","197010178",NA,NA,NA,NA,NA,NA,"Cerros del Tavara",NA,NA,"36","197010178",NA,NA,"Louise H. Emmons","63437",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","197008952","Aotus trivirgatus (Humboldt, 1811)",-10.767,-66.733,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:10.942+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,6,23,"1992-06-23T00:00:00",NA,"2021-03-09T14:08:10.942+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"b2bfa022-ea97-4883-b16c-1cfa75087cbf",FALSE,"WGS84","Mammalia","BOL","none","none","Bolivia (Plurinational State of)","197008952",NA,NA,NA,NA,NA,NA,"Pando Region",NA,NA,"25","197008952",NA,NA,"Lucia Luna","5848",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","197008957","Aotus trivirgatus (Humboldt, 1811)",-10.954,-66.833,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:10.942+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,6,23,"1992-06-23T00:00:00",NA,"2021-03-09T14:08:10.942+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"b2bfa022-ea97-4883-b16c-1cfa75087cbf",FALSE,"WGS84","Mammalia","BOL","none","none","Bolivia (Plurinational State of)","197008957",NA,NA,NA,NA,NA,NA,"Site 3: Ingavi",NA,NA,"25","197008957",NA,NA,"Louise H. Emmons","7819",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","197008968","Aotus trivirgatus (Humboldt, 1811)",-10.667,-66.85,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:10.942+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,6,23,"1992-06-23T00:00:00",NA,"2021-03-09T14:08:10.942+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"b2bfa022-ea97-4883-b16c-1cfa75087cbf",FALSE,"WGS84","Mammalia","BOL","none","none","Bolivia (Plurinational State of)","197008968",NA,NA,NA,NA,NA,NA,"Site 2: Centro Dieciocho",NA,NA,"25","197008968",NA,NA,"Louise H. Emmons","15207",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","197010177","Aotus trivirgatus (Humboldt, 1811)",-9.867,-65.7,"gass84,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862",NA,"605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:13.000+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",NA,5219590,1,44,359,798,3239574,2436667,5219590,5219590,"Aotus trivirgatus (Humboldt, 1811)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus trivirgatus","Aotus","trivirgatus","SPECIES","ACCEPTED","LC",NA,NA,1992,6,23,"1992-06-23T00:00:00",NA,"2021-03-09T14:08:13.000+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",NA,"b2bfa022-ea97-4883-b16c-1cfa75087cbf",FALSE,"WGS84","Mammalia","BOL","none","none","Bolivia (Plurinational State of)","197010177",NA,NA,NA,NA,NA,NA,"Site 5: Main Camp on Rio Negro",NA,NA,"25","197010177",NA,NA,"Louise H. Emmons","63431",NA,"Conservation International",NA,NA,NA,NA,NA,"Aotus trivirgatus (Humboldt, 1811)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
