"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","lifeStage","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","sex","projectId","elevation","elevationAccuracy","organismQuantity","organismQuantityType","institutionKey","habitat","http...rs.tdwg.org.dwc.terms.organismQuantity","county","verbatimCoordinateSystem","type","vernacularName","http...rs.tdwg.org.dwc.terms.organismQuantityType","samplingProtocol","verbatimElevation","institutionID","municipality","preparations","recordNumber","locality","disposition","previousIdentifications","collectionID","occurrenceRemarks","individualCount","continent","higherClassification","georeferencedBy","language","locationRemarks","sampleSizeUnit","sampleSizeValue","http...rs.tdwg.org.dwc.terms.sampleSizeValue","eventID","http...rs.tdwg.org.dwc.terms.sampleSizeUnit","eventRemarks","parentEventID","identificationRemarks","samplingEffort","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","collectionKey","fieldNumber","higherGeography","georeferenceProtocol","organismID","ownerInstitutionCode","startDayOfYear","datasetID","accessRights","dynamicProperties","identificationVerificationStatus","locationAccordingTo","georeferencedDate","nomenclaturalCode","endDayOfYear","georeferenceVerificationStatus","otherCatalogNumbers","identificationQualifier","georeferenceSources","associatedSequences"
"1","1807216845","Aotus vociferans (Spix, 1823)",-0.471806,-76.459129,"cdround,gass84","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2021-09-07T07:15:49.803+00:00","2021-09-15T20:32:33.155+00:00",138,"bb646dff-a905-4403-a49b-6d378c2cf0d9","HUMAN_OBSERVATION","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC",NA,250,NA,2014,7,24,"2014-07-24T00:00:00",NA,"2021-09-15T20:32:33.155+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","ECU","none","none","Ecuador",NA,NA,NA,NA,NA,NA,"naturgucker","1807216845",NA,NA,"-514449153","-897277730",NA,"naturgucker",NA,NA,NA,NA,"Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sacha Lodge, Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","665754475","Aotus vociferans (Spix, 1823)",-0.566667,-75.48333,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-09-07T13:35:01.737+00:00","2021-09-15T19:03:12.763+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC",NA,NA,"Napo",1983,10,29,"1983-10-29T00:00:00",NA,"2021-09-15T19:03:12.763+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","ECU","none","none","Ecuador","The Field Museum of Natural History","7873f58c-9e9b-46aa-8693-ff83ef521fce",NA,NA,NA,NA,"Mammals","665754475","7873f58c-9e9b-46aa-8693-ff83ef521fce",NA,"R. M. Timm","125020",NA,"FMNH",NA,NA,NA,NA,"Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,"MALE",NA,NA,NA,NA,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"FMNH",NA,"skin,skull,skel","RMT-2802","Laguna Zancudo Cocha",NA,NA,"Mammals",NA,NA,"SOUTH_AMERICA","Animalia Chordata Mammalia Primates Aotidae",NA,"en","decimal degrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","148179","South America, Ecuador, Napo, Neotropics: Laguna Zancudo Cocha","not recorded","2623788","FMNH","29","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","665727971","Aotus vociferans (Spix, 1823)",-3.833333,-73.26667,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-09-07T13:35:01.737+00:00","2021-09-15T19:03:18.233+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC",NA,NA,"Loreto",1980,10,23,"1980-10-23T00:00:00",NA,"2021-09-15T19:03:18.233+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER","none","none","Peru","The Field Museum of Natural History","c9c777bb-39e6-4850-b5ba-86d94b0b78fa",NA,NA,NA,NA,"Mammals","665727971","c9c777bb-39e6-4850-b5ba-86d94b0b78fa",NA,"P. Hershkovitz","122759",NA,"FMNH",NA,NA,NA,NA,"Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,"FEMALE",NA,110,NA,NA,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa",NA,NA,"Maynas",NA,"PhysicalObject",NA,NA,NA,NA,"FMNH",NA,"skin,skull","PH-9018","Quistococha",NA,NA,"Mammals",NA,NA,"SOUTH_AMERICA","Animalia Chordata Mammalia Primates Aotidae",NA,"en","decimal degrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","155584","South America, Peru, Loreto, Maynas, Neotropics: Quistococha","not recorded","2621527","FMNH","23","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","665727973","Aotus vociferans (Spix, 1823)",-3.833333,-73.26667,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-09-07T13:35:01.737+00:00","2021-09-15T19:03:09.353+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC",NA,NA,"Loreto",1980,10,23,"1980-10-23T00:00:00",NA,"2021-09-15T19:03:09.353+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER","none","none","Peru","The Field Museum of Natural History","0db333bb-e5e8-437b-a358-68b4a11330ed",NA,NA,NA,NA,"Mammals","665727973","0db333bb-e5e8-437b-a358-68b4a11330ed",NA,"P. Hershkovitz","122760",NA,"FMNH",NA,NA,NA,NA,"Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,"FEMALE",NA,110,NA,NA,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa",NA,NA,"Maynas",NA,"PhysicalObject",NA,NA,NA,NA,"FMNH",NA,"skin,skull","PH-9019","Quistococha",NA,NA,"Mammals",NA,NA,"SOUTH_AMERICA","Animalia Chordata Mammalia Primates Aotidae",NA,"en","decimal degrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","148380","South America, Peru, Loreto, Maynas, Neotropics: Quistococha","not recorded","2621528","FMNH","23","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","665727977","Aotus vociferans (Spix, 1823)",-3.833333,-73.26667,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-09-07T13:35:01.737+00:00","2021-09-15T19:03:12.530+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC",NA,NA,"Loreto",1980,10,23,"1980-10-23T00:00:00",NA,"2021-09-15T19:03:12.530+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER","none","none","Peru","The Field Museum of Natural History","638b6778-2368-48ba-9aab-646ac17fd554",NA,NA,NA,NA,"Mammals","665727977","638b6778-2368-48ba-9aab-646ac17fd554",NA,"P. Hershkovitz","122761",NA,"FMNH",NA,NA,NA,NA,"Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,"MALE",NA,110,NA,NA,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa",NA,NA,"Maynas",NA,"PhysicalObject",NA,NA,NA,NA,"FMNH",NA,"skin,skull","PH-9020","Quistococha",NA,NA,"Mammals",NA,NA,"SOUTH_AMERICA","Animalia Chordata Mammalia Primates Aotidae",NA,"en","decimal degrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","149988","South America, Peru, Loreto, Maynas, Neotropics: Quistococha","not recorded","2621529","FMNH","23","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","665755807","Aotus vociferans (Spix, 1823)",-2.19833,-74.294998,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-09-07T13:35:01.737+00:00","2021-09-15T19:03:12.714+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC",NA,NA,"Loreto",1980,11,1,"1980-11-01T00:00:00",NA,"2021-09-15T19:03:12.714+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER","none","none","Peru","The Field Museum of Natural History","70e9ad85-e069-41f6-8400-6b10fd13c273",NA,NA,NA,NA,"Mammals","665755807","70e9ad85-e069-41f6-8400-6b10fd13c273",NA,"P. Hershkovitz","122762",NA,"FMNH",NA,NA,NA,NA,"Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,"FEMALE",NA,NA,NA,NA,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa",NA,NA,"Maynas",NA,"PhysicalObject",NA,NA,NA,NA,"FMNH",NA,"skin,skull","PH-9026","Rio Nanay",NA,NA,"Mammals",NA,NA,"SOUTH_AMERICA","Animalia Chordata Mammalia Primates Aotidae",NA,"en","degrees minutes seconds",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","150694","South America, Peru, Loreto, Maynas, Neotropics: Rio Nanay","MaNIS georeferencing guidelines","2621530","FMNH","1","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","665719076","Aotus vociferans (Spix, 1823)",2.1,-72.23333,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-09-07T13:35:01.737+00:00","2021-09-15T19:03:11.366+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC",NA,NA,"Guaviare",1957,2,10,"1957-02-10T00:00:00",NA,"2021-09-15T19:03:11.366+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","COL","none","none","Colombia","The Field Museum of Natural History","5d765435-1bec-41e3-8e99-315ec3346c14",NA,NA,NA,NA,"Mammals","665719076","5d765435-1bec-41e3-8e99-315ec3346c14",NA,"F. Medem","88249",NA,"FMNH",NA,NA,NA,NA,"Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,"FEMALE",NA,NA,NA,NA,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa",NA,NA,NA,NA,"PhysicalObject",NA,NA,NA,NA,"FMNH",NA,"skin,skull","14","Upper Cano Grande",NA,NA,"Mammals",NA,NA,"SOUTH_AMERICA","Animalia Chordata Mammalia Primates Aotidae",NA,"en","decimal degrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","108279","South America, Colombia, Guaviare, Neotropics: Upper Cano Grande","MaNIS georeferencing guidelines","2587120","FMNH","10","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","665881936","Aotus vociferans (Spix, 1823)",-3.75,-73.199997,"gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-09-07T13:35:01.737+00:00","2021-09-15T19:03:11.399+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC",NA,NA,"Loreto",1956,8,29,"1956-08-29T00:00:00",NA,"2021-09-15T19:03:11.399+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER","none","none","Peru","The Field Museum of Natural History","5f875c69-cda1-4e94-95b3-4cedc3f6c43b",NA,NA,NA,NA,"Mammals","665881936","5f875c69-cda1-4e94-95b3-4cedc3f6c43b",NA,"C. Kalinowski","86966",NA,"FMNH",NA,NA,NA,NA,"Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,"MALE",NA,NA,NA,NA,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa",NA,NA,"Maynas",NA,"PhysicalObject",NA,NA,NA,NA,"FMNH",NA,"skin,skull","CK-1835","Iquitos, Pampa Chica",NA,NA,"Mammals",NA,NA,"SOUTH_AMERICA","Animalia Chordata Mammalia Primates Aotidae",NA,"en","decimal degrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","2563","South America, Peru, Loreto, Maynas, Neotropics: Iquitos, Pampa Chica","not recorded","2585837","FMNH","29","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","665881937","Aotus vociferans (Spix, 1823)",-3.75,-73.199997,"gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-09-07T13:35:01.737+00:00","2021-09-15T19:03:16.505+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC",NA,NA,"Loreto",1956,8,29,"1956-08-29T00:00:00",NA,"2021-09-15T19:03:16.505+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER","none","none","Peru","The Field Museum of Natural History","8a2825fc-fa57-4fcb-8cc7-54c592b7cd29",NA,NA,NA,NA,"Mammals","665881937","8a2825fc-fa57-4fcb-8cc7-54c592b7cd29",NA,"C. Kalinowski","86967",NA,"FMNH",NA,NA,NA,NA,"Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,"MALE",NA,NA,NA,NA,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa",NA,NA,"Maynas",NA,"PhysicalObject",NA,NA,NA,NA,"FMNH",NA,"skin,skull","CK-1836","Iquitos, Pampa Chica",NA,NA,"Mammals",NA,NA,"SOUTH_AMERICA","Animalia Chordata Mammalia Primates Aotidae",NA,"en","decimal degrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","2564","South America, Peru, Loreto, Maynas, Neotropics: Iquitos, Pampa Chica","not recorded","2585838","FMNH","29","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","665862797","Aotus vociferans (Spix, 1823)",-3.766667,-73.51667,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-09-07T13:35:01.737+00:00","2021-09-15T19:03:12.706+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5219597,1,44,359,798,3239574,2436667,5219597,5219597,"Aotus vociferans (Spix, 1823)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus vociferans","Aotus","vociferans","SPECIES","ACCEPTED","LC",NA,NA,"Loreto",1956,9,13,"1956-09-13T00:00:00",NA,"2021-09-15T19:03:12.706+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER","none","none","Peru","The Field Museum of Natural History","b5c23295-491f-4000-8a31-d82ecbea9d08",NA,NA,NA,NA,"Mammals","665862797","b5c23295-491f-4000-8a31-d82ecbea9d08",NA,"C. Kalinowski","86969",NA,"FMNH",NA,NA,NA,NA,"Aotus vociferans (Spix, 1823)",NA,NA,NA,NA,NA,"MALE",NA,120,NA,NA,NA,"e71f36f1-e271-4720-a604-3c5a1418e7aa",NA,NA,"Maynas",NA,"PhysicalObject",NA,NA,NA,NA,"FMNH",NA,"skin,skull","CK-1901","Rio Nanay, Santa Rita",NA,NA,"Mammals",NA,NA,"SOUTH_AMERICA","Animalia Chordata Mammalia Primates Aotidae",NA,"en","decimal degrees",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","10019","South America, Peru, Loreto, Maynas, Neotropics: Rio Nanay, Santa Rita","not recorded","2585840","FMNH","13","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
