"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","recordedByIDs","identifiedByIDs","lifeStage","identificationRemarks","occurrenceRemarks","elevation","elevationAccuracy","continent","institutionKey","institutionID","municipality","county","locality","language","type","collectionID","individualCount","vernacularName","higherClassification","eventID","habitat","samplingProtocol","parentEventID","sampleSizeUnit","sampleSizeValue","http...rs.tdwg.org.dwc.terms.sampleSizeValue","http...rs.tdwg.org.dwc.terms.sampleSizeUnit","eventRemarks","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","establishmentMeans","collectionKey","nomenclaturalCode","higherGeography","endDayOfYear","georeferenceVerificationStatus","startDayOfYear","accessRights","behavior","sex","dynamicProperties","identificationVerificationStatus","locationAccordingTo","preparations","georeferencedDate","recordNumber","georeferencedBy","georeferenceProtocol","verbatimCoordinateSystem","otherCatalogNumbers","organismID","previousIdentifications","identificationQualifier","associatedSequences","georeferenceSources","locationRemarks","infraspecificEpithet","fieldNumber","ownerInstitutionCode","datasetID","higherGeographyID","disposition","georeferenceRemarks","X.17abcf75.2f1e.46dd.bf75.a5b21dd02655."
"1","197174639","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-10.667,-66.85,"gass84,txmathi,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862","605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:35.932+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC",NA,NA,NA,1992,6,23,"1992-06-23T00:00:00",NA,"2021-03-09T14:08:35.932+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BOL",NA,NA,NA,NA,"Bolivia (Plurinational State of)",NA,"197174639",NA,NA,NA,NA,"25","197174639",NA,NA,"Louise H. Emmons","12286",NA,"Conservation International",NA,NA,NA,NA,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Site 2: Centro Dieciocho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b2bfa022-ea97-4883-b16c-1cfa75087cbf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","197175806","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-9.786,-65.525,"gass84,txmathi,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862","605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:08.282+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC",NA,NA,NA,1992,6,23,"1992-06-23T00:00:00",NA,"2021-03-09T14:08:08.282+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BOL",NA,NA,NA,NA,"Bolivia (Plurinational State of)",NA,"197175806",NA,NA,NA,NA,"25","197175806",NA,NA,"Louise H. Emmons","54739",NA,"Conservation International",NA,NA,NA,NA,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none",NA,NA,NA,140,NA,NA,NA,NA,NA,NA,"Site 4: Puesto Abuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b2bfa022-ea97-4883-b16c-1cfa75087cbf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","197175811","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-10.767,-66.733,"gass84,txmathi,colmafu,inmano","4d749d70-e2e1-11dd-8102-b8a03c50a862","335880a0-e2e1-11dd-8102-b8a03c50a862","605ef338-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-03-03T20:23:59.022+00:00","2021-03-09T14:08:08.282+00:00",68,"335880a0-e2e1-11dd-8102-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC",NA,NA,NA,1992,6,23,"1992-06-23T00:00:00",NA,"2021-03-09T14:08:08.282+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BOL",NA,NA,NA,NA,"Bolivia (Plurinational State of)",NA,"197175811",NA,NA,NA,NA,"25","197175811",NA,NA,"Kent S. Smith","58303",NA,"Conservation International",NA,NA,NA,NA,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none",NA,NA,NA,170,NA,NA,NA,NA,NA,NA,"Site 1: San Juan de Nuevo Mundo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b2bfa022-ea97-4883-b16c-1cfa75087cbf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1322315093","Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)",-9.17,-60.63,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:29:22.697+00:00",215,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",2436375,1,44,359,798,5486,2436370,2436375,2436375,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SPECIES","ACCEPTED","LC",NA,NA,"Mato Grosso",1974,8,21,"1974-08-21T00:00:00",NA,"2021-09-08T13:29:22.697+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BRA",NA,NA,NA,NA,"Brazil",NA,"http://n2t.net/ark:/65665/3e22d1691-27ce-47c0-891a-c78799b1784b",NA,"21 Aug 1974","NMNH Extant Biology",NA,"Mammals","1322315093","http://n2t.net/ark:/65665/3e22d1691-27ce-47c0-891a-c78799b1784b",NA,"Collector Unknown","545891",NA,"USNM",NA,NA,NA,NA,"Pithecia monachus (É.Geoffroy Saint-Hilaire, 1812)","none","none",NA,NA,NA,NA,NA,"SOUTH_AMERICA","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","http://biocol.org/urn:lsid:biocol.org:col:34871",NA,NA,"Aripuana",NA,"PhysicalObject",NA,1,NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"c0e59491-e319-4822-90bf-3e3c6fbd4a13",NA,"South America, Brazil, Mato Grosso","233",NA,"233",NA,NA,"MALE",NA,NA,NA,"Skin; Skull",NA,"HM 34",NA,NA,"Degrees Minutes Seconds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","665751930","Pithecia monachus monachus",-3.433333,-72.76667,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:18.188+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",7261999,1,44,359,798,5486,2436370,2436375,7261999,"Pithecia monachus monachus","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SUBSPECIES","ACCEPTED",NA,NA,NA,"Loreto",1957,1,2,"1957-01-02T00:00:00",NA,"2021-03-30T10:22:18.188+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","ccc4450a-6861-4040-80a3-ba0ac9a57c79",NA,NA,NA,NA,"Mammals","665751930","ccc4450a-6861-4040-80a3-ba0ac9a57c79",NA,"C. Kalinowski","87002",NA,"FMNH",NA,NA,NA,NA,"Pithecia monachus monachus","none","none",NA,NA,NA,100,NA,"SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Maynas","Rio Maniti, Santa Cecilia","en","PhysicalObject","Mammals",NA,NA,"Animalia Chordata Mammalia Primates Pitheciidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba",NA,"South America, Peru, Loreto, Maynas, Neotropics: Rio Maniti, Santa Cecilia",NA,NA,"2","http://fieldmuseum.org/about/copyright-information",NA,"MALE",NA,NA,NA,"skin,skull",NA,"CK-2169",NA,"not recorded",NA,NA,"2585873",NA,NA,NA,NA,"decimal degrees","monachus","167114","FMNH","mammals-24-sep-2020",NA,NA,NA,NA
"6","665905400","Pithecia monachus monachus",-4.216667,-70.283333,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:12.489+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",7261999,1,44,359,798,5486,2436370,2436375,7261999,"Pithecia monachus monachus","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SUBSPECIES","ACCEPTED",NA,NA,NA,"Loreto",1957,7,12,"1957-07-12T00:00:00",NA,"2021-03-30T10:22:12.489+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","2de21ff3-ce40-49e8-8388-c19054182e4d",NA,NA,NA,NA,"Mammals","665905400","2de21ff3-ce40-49e8-8388-c19054182e4d",NA,"C. Kalinowski","88861",NA,"FMNH",NA,NA,NA,NA,"Pithecia monachus monachus","none","none",NA,NA,NA,100,NA,"SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Mariscal Ramon Castilla","Rio Yavari Mirim, San Fernando","en","PhysicalObject","Mammals",NA,NA,"Animalia Chordata Mammalia Primates Pitheciidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba",NA,"South America, Peru, Loreto, Mariscal Ramon Castilla, Neotropics: Rio Yavari Mirim, San Fernando",NA,NA,"12","http://fieldmuseum.org/about/copyright-information",NA,"FEMALE",NA,NA,NA,"skin,skull",NA,"CK-2352",NA,"not recorded",NA,NA,"2587732",NA,NA,NA,NA,"decimal degrees","monachus","10280","FMNH","mammals-24-sep-2020",NA,NA,NA,NA
"7","665731084","Pithecia monachus monachus",-4.45,-71.783333,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:15.310+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",7261999,1,44,359,798,5486,2436370,2436375,7261999,"Pithecia monachus monachus","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SUBSPECIES","ACCEPTED",NA,NA,NA,"Loreto",1957,9,13,"1957-09-13T00:00:00",NA,"2021-03-30T10:22:15.310+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","c9617944-a3e2-4fe8-84e7-9561b1bdaed4",NA,NA,NA,NA,"Mammals","665731084","c9617944-a3e2-4fe8-84e7-9561b1bdaed4",NA,"C. Kalinowski","88862",NA,"FMNH",NA,NA,NA,NA,"Pithecia monachus monachus","none","none",NA,NA,NA,200,NA,"SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Mariscal Ramon Castilla","Rio Yavari Mirim, Quebrada Esperanza","en","PhysicalObject","Mammals",NA,NA,"Animalia Chordata Mammalia Primates Pitheciidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba",NA,"South America, Peru, Loreto, Mariscal Ramon Castilla, Neotropics: Rio Yavari Mirim, Quebrada Esperanza",NA,NA,"13","http://fieldmuseum.org/about/copyright-information",NA,"MALE",NA,NA,NA,"skin,skull",NA,"CK-2435",NA,"not recorded",NA,NA,"2587733",NA,NA,NA,NA,"decimal degrees","monachus","157034","FMNH","mammals-24-sep-2020",NA,NA,NA,NA
"8","665826854","Pithecia monachus monachus",-7.233333,-74.566666,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:14.402+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",7261999,1,44,359,798,5486,2436370,2436375,7261999,"Pithecia monachus monachus","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SUBSPECIES","ACCEPTED",NA,NA,NA,"Loreto",1947,3,11,"1947-03-11T00:00:00",NA,"2021-03-30T10:22:14.402+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","30647485-6c4d-4fc8-909e-f851274f6918",NA,NA,NA,NA,"Mammals","665826854","30647485-6c4d-4fc8-909e-f851274f6918",NA,"J. M. Schunke","64271",NA,"FMNH",NA,NA,NA,NA,"Pithecia monachus monachus","none","none",NA,NA,NA,625,NA,"SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Ucayali","Contamana, Cerro Azul","en","PhysicalObject","Mammals",NA,NA,"Animalia Chordata Mammalia Primates Pitheciidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba",NA,"South America, Peru, Loreto, Ucayali, Neotropics: Contamana, Cerro Azul",NA,NA,"11","http://fieldmuseum.org/about/copyright-information",NA,"MALE",NA,NA,NA,"skin,skull",NA,"25",NA,"not recorded",NA,NA,"2563496",NA,NA,NA,NA,"decimal degrees","monachus","33936","FMNH","mammals-24-sep-2020",NA,NA,NA,NA
"9","665794465","Pithecia monachus monachus",-9.9,-74.966667,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:12.166+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",7261999,1,44,359,798,5486,2436370,2436375,7261999,"Pithecia monachus monachus","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SUBSPECIES","ACCEPTED",NA,NA,NA,"Pasco",1923,3,4,"1923-03-04T00:00:00",NA,"2021-03-30T10:22:12.166+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","1dc3eea7-4f1a-45b9-9a42-41f5e3fee861",NA,NA,NA,NA,"Mammals","665794465","1dc3eea7-4f1a-45b9-9a42-41f5e3fee861",NA,"E. H. Heller","25321",NA,"FMNH",NA,NA,NA,NA,"Pithecia monachus monachus","none","none",NA,NA,NA,100,NA,"SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Oxapampa","Puerto Victoria","en","PhysicalObject","Mammals",NA,NA,"Animalia Chordata Mammalia Primates Pitheciidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba",NA,"South America, Peru, Pasco, Oxapampa, Neotropics: Puerto Victoria",NA,NA,"4","http://fieldmuseum.org/about/copyright-information",NA,"MALE",NA,NA,NA,"skin,skull",NA,"7504",NA,"not recorded",NA,NA,"2524547",NA,NA,NA,NA,"decimal degrees","monachus","14329","FMNH","mammals-24-sep-2020",NA,NA,NA,NA
"10","665794466","Pithecia monachus monachus",-9.9,-74.966667,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:12.948+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",7261999,1,44,359,798,5486,2436370,2436375,7261999,"Pithecia monachus monachus","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SUBSPECIES","ACCEPTED",NA,NA,NA,"Pasco",1923,3,4,"1923-03-04T00:00:00",NA,"2021-03-30T10:22:12.948+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","8d1940d1-e637-4480-858f-c4311a91e30c",NA,NA,NA,NA,"Mammals","665794466","8d1940d1-e637-4480-858f-c4311a91e30c",NA,"E. H. Heller","25322",NA,"FMNH",NA,NA,NA,NA,"Pithecia monachus monachus","none","none",NA,NA,NA,100,NA,"SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Oxapampa","Puerto Victoria","en","PhysicalObject","Mammals",NA,NA,"Animalia Chordata Mammalia Primates Pitheciidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba",NA,"South America, Peru, Pasco, Oxapampa, Neotropics: Puerto Victoria",NA,NA,"4","http://fieldmuseum.org/about/copyright-information",NA,"MALE",NA,NA,NA,"skin,skull",NA,"7505",NA,"not recorded",NA,NA,"2524548",NA,NA,NA,NA,"decimal degrees","monachus","14330","FMNH","mammals-24-sep-2020",NA,NA,NA,NA
"11","665913505","Pithecia monachus monachus",-9.9,-74.966667,"cdround,gass84,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:13.063+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",7261999,1,44,359,798,5486,2436370,2436375,7261999,"Pithecia monachus monachus","Animalia","Chordata","Primates","Pitheciidae","Pithecia","Pithecia monachus","Pithecia","monachus","SUBSPECIES","ACCEPTED",NA,NA,NA,"Pasco",1922,11,23,"1922-11-23T00:00:00",NA,"2021-03-30T10:22:13.063+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","PER",NA,NA,NA,NA,"Peru","The Field Museum of Natural History","ad8b6a28-e16f-4c6c-b7d6-e9ac4002f51b",NA,NA,NA,NA,"Mammals","665913505","ad8b6a28-e16f-4c6c-b7d6-e9ac4002f51b",NA,"H. Brassler","25323",NA,"FMNH",NA,NA,NA,NA,"Pithecia monachus monachus","none","none",NA,NA,NA,100,NA,"SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","FMNH",NA,"Oxapampa","Puerto Victoria","en","PhysicalObject","Mammals",NA,NA,"Animalia Chordata Mammalia Primates Pitheciidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba",NA,"South America, Peru, Pasco, Oxapampa, Neotropics: Puerto Victoria",NA,NA,"23","http://fieldmuseum.org/about/copyright-information",NA,"FEMALE",NA,NA,NA,"skin,skull",NA,"7551",NA,"not recorded",NA,NA,"2524549",NA,NA,NA,NA,"decimal degrees","monachus","3471","FMNH","mammals-24-sep-2020",NA,NA,NA,NA
