	code	issue	description	type
1	bri	BASIS_OF_RECORD_INVALID	The given basis of record is impossible to interpret or seriously different from the recommended vocabulary.	occurrence
2	ccm	CONTINENT_COUNTRY_MISMATCH	The interpreted continent and country do not match up.	occurrence
3	cdc	CONTINENT_DERIVED_FROM_COORDINATES	The interpreted continent is based on the coordinates, not the verbatim string information.	occurrence
4	conti	CONTINENT_INVALID	Uninterpretable continent values found.	occurrence
5	cdiv	COORDINATE_INVALID	Coordinate value given in some form but GBIF is unable to interpret it.	occurrence
6	cdout	COORDINATE_OUT_OF_RANGE	Coordinate has invalid lat/lon values out of their decimal max range.	occurrence
7	cdrep	COORDINATE_REPROJECTED	The original coordinate was successfully reprojected from a different geodetic datum to WGS84.	occurrence
8	cdrepf	COORDINATE_REPROJECTION_FAILED	The given decimal latitude and longitude could not be reprojected to WGS84 based on the provided datum.	occurrence
9	cdreps	COORDINATE_REPROJECTION_SUSPICIOUS	Indicates successful coordinate reprojection according to provided datum, but which results in a datum shift larger than 0.1 decimal degrees.	occurrence
10	cdround	COORDINATE_ROUNDED	Original coordinate modified by rounding to 5 decimals.	occurrence
11	cucdmis	COUNTRY_COORDINATE_MISMATCH	The interpreted occurrence coordinates fall outside of the indicated country.	occurrence
12	cudc	COUNTRY_DERIVED_FROM_COORDINATES	The interpreted country is based on the coordinates, not the verbatim string information.	occurrence
13	cuiv	COUNTRY_INVALID	Uninterpretable country values found.	occurrence
14	cum	COUNTRY_MISMATCH	Interpreted country for dwc:country and dwc:countryCode contradict each other.	occurrence
15	depmms	DEPTH_MIN_MAX_SWAPPED	Set if supplied min>max	occurrence
16	depnn	DEPTH_NON_NUMERIC	Set if depth is a non numeric value	occurrence
17	depnmet	DEPTH_NOT_METRIC	Set if supplied depth is not given in the metric system, for example using feet instead of meters	occurrence
18	depunl	DEPTH_UNLIKELY	Set if depth is larger than 11.000m or negative.	occurrence
19	elmms	ELEVATION_MIN_MAX_SWAPPED	Set if supplied min > max elevation	occurrence
20	elnn	ELEVATION_NON_NUMERIC	Set if elevation is a non numeric value	occurrence
21	elnmet	ELEVATION_NOT_METRIC	Set if supplied elevation is not given in the metric system, for example using feet instead of meters	occurrence
22	elunl	ELEVATION_UNLIKELY	Set if elevation is above the troposphere (17km) or below 11km (Mariana Trench).	occurrence
23	gass84	GEODETIC_DATUM_ASSUMED_WGS84	Indicating that the interpreted coordinates assume they are based on WGS84 datum as the datum was either not indicated or interpretable.	occurrence
24	gdativ	GEODETIC_DATUM_INVALID	The geodetic datum given could not be interpreted.	occurrence
25	iddativ	IDENTIFIED_DATE_INVALID	The date given for dwc:dateIdentified is invalid and cant be interpreted at all.	occurrence
26	iddatunl	IDENTIFIED_DATE_UNLIKELY	The date given for dwc:dateIdentified is in the future or before Linnean times (1700).	occurrence
27	mdativ	MODIFIED_DATE_INVALID	A (partial) invalid date is given for dc:modified, such as a non existing date, invalid zero month, etc.	occurrence
28	mdatunl	MODIFIED_DATE_UNLIKELY	The date given for dc:modified is in the future or predates unix time (1970).	occurrence
29	muldativ	MULTIMEDIA_DATE_INVALID	An invalid date is given for dc:created of a multimedia object.	occurrence
30	muluriiv	MULTIMEDIA_URI_INVALID	An invalid uri is given for a multimedia object.	occurrence
31	preneglat	PRESUMED_NEGATED_LATITUDE	Latitude appears to be negated, e.g. 32.3 instead of -32.3	occurrence
32	preneglon	PRESUMED_NEGATED_LONGITUDE	Longitude appears to be negated, e.g. 32.3 instead of -32.3	occurrence
33	preswcd	PRESUMED_SWAPPED_COORDINATE	Latitude and longitude appear to be swapped.	occurrence
34	rdativ	RECORDED_DATE_INVALID	A (partial) invalid date is given, such as a non existing date, invalid zero month, etc.	occurrence
35	rdatm	RECORDED_DATE_MISMATCH	The recording date specified as the eventDate string and the individual year, month, day are contradicting.	occurrence
36	rdatunl	RECORDED_DATE_UNLIKELY	The recording date is highly unlikely, falling either into the future or represents a very old date before 1600 that predates modern taxonomy.	occurrence
37	refuriiv	REFERENCES_URI_INVALID	An invalid uri is given for dc:references.	occurrence
38	txmatfuz	TAXON_MATCH_FUZZY	Matching to the taxonomic backbone can only be done using a fuzzy, non exact match.	occurrence
39	txmathi	TAXON_MATCH_HIGHERRANK	Matching to the taxonomic backbone can only be done on a higher rank and not the scientific name.	occurrence
40	txmatnon	TAXON_MATCH_NONE	Matching to the taxonomic backbone cannot be done cause there was no match at all or several matches with too little information to keep them apart (homonyms).	occurrence
41	typstativ	TYPE_STATUS_INVALID	The given type status is impossible to interpret or seriously different from the recommended vocabulary.	occurrence
42	zerocd	ZERO_COORDINATE	Coordinate is the exact 0/0 coordinate, often indicating a bad null coordinate.	occurrence
43	cdpi	COORDINATE_PRECISION_INVALID	Indicates an invalid or very unlikely coordinatePrecision	occurrence
44	cdumi	COORDINATE_UNCERTAINTY_METERS_INVALID	Indicates an invalid or very unlikely dwc:uncertaintyInMeters.	occurrence
45	indci	INDIVIDUAL_COUNT_INVALID	Individual count value not parsable into an integer.	occurrence
46	interr	INTERPRETATION_ERROR	An error occurred during interpretation, leaving the record interpretation incomplete.	occurrence
47	iccos	INDIVIDUAL_COUNT_CONFLICTS_WITH_OCCURRENCE_STATUS	Example: individual count value > 0, but occurrence status is absent and etc.	occurrence
48	osiic	OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT	Occurrence status was inferred from the individual count value	occurrence
49	osu	OCCURRENCE_STATUS_UNPARSABLE	Occurrence status value can't be assigned to OccurrenceStatus	occurrence
50	geodi	GEOREFERENCED_DATE_INVALID	The date given for dwc:georeferencedDate is invalid and can't be interpreted at all.	occurrence
51	geodu	GEOREFERENCED_DATE_UNLIKELY	The date given for dwc:georeferencedDate is in the future or before Linnean times (1700).	occurrence
52	ambcol	AMBIGUOUS_COLLECTION	The given collection matches with more than 1 GrSciColl collection.	occurrence
53	ambinst	AMBIGUOUS_INSTITUTION	The given institution matches with more than 1 GrSciColl institution.	occurrence
54	colmafu	COLLECTION_MATCH_FUZZY	The given collection was fuzzily matched to a GrSciColl collection.	occurrence
55	colmano	COLLECTION_MATCH_NONE	The given collection couldn't be matched with any GrSciColl collection.	occurrence
56	incomis	INSTITUTION_COLLECTION_MISMATCH	The collection matched doesn't belong to the institution matched.	occurrence
57	inmafu	INSTITUTION_MATCH_FUZZY	The given institution was fuzzily matched to a GrSciColl institution.	occurrence
58	inmano	INSTITUTION_MATCH_NONE	The given institution couldn't be matched with any GrSciColl institution.	occurrence
59	osifbor	OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD	Occurrence status was inferred from basis of records	occurrence
60	diffown	DIFFERENT_OWNER_INSTITUTION	The given owner institution is different than the given institution. Therefore we assume it doesn't belong to the institution and we don't link it to the occurrence.	occurrence
61	taxmatagg	TAXON_MATCH_AGGREGATE	Matching to the taxonomic backbone can only be done on a species level, but the occurrence was in fact considered a broader species aggregate/complex.	occurrence
62	fpsrsinv	FOOTPRINT_SRS_INVALID	The Footprint Spatial Reference System given could not be interpreted	occurrence
63	fpwktinv	FOOTPRINT_WKT_INVALID	The Footprint Well-Known-Text given could not be interpreted	occurrence
64	anm	ACCEPTED_NAME_MISSING	Synonym lacking an accepted name.	name
65	annu	ACCEPTED_NAME_NOT_UNIQUE	Synonym has a verbatim accepted name which is not unique and refers to several records.	name
66	anuidi	ACCEPTED_NAME_USAGE_ID_INVALID	The value for dwc:acceptedNameUsageID could not be resolved.	name
