"","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","lifeStage","infraspecificEpithet","informationWithheld","occurrenceRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","individualCount","continent","vernacularName","locality","higherClassification","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","establishmentMeans","institutionKey","collectionKey","institutionID","nomenclaturalCode","higherGeography","endDayOfYear","georeferenceVerificationStatus","language","type","startDayOfYear","accessRights","behavior","elevation","elevationAccuracy","depth","depthAccuracy","gadm","sex","recordNumber","habitat","verbatimCoordinateSystem","preparations","georeferencedBy","georeferenceProtocol","georeferenceSources","county","fieldNumber","locationRemarks","organismID","ownerInstitutionCode","datasetID","collectionID","disposition","organismRemarks","dynamicProperties","identificationVerificationStatus","locationAccordingTo","georeferencedDate","otherCatalogNumbers","previousIdentifications","identificationQualifier"
"1","699206302","Aotus azarae (Humboldt, 1812)",-25.12186,-58.17478,"gass84,colmano,inmano","e2483380-16f7-11df-b5b3-b8a03c50a862","979dd240-16f7-11df-b5b3-b8a03c50a862","6064fb16-f762-11e1-a439-00145eb45e9a","AR","DWC_ARCHIVE","2021-03-03T21:24:52.672+00:00","2021-03-09T14:12:12.068+00:00",118,"979dd240-16f7-11df-b5b3-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC",NA,51.5,"Formosa",2010,2,13,"2010-02-13T00:00:00",NA,"2021-03-09T14:12:12.068+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","ARG","none","none","Argentina",NA,"699206302",NA,NA,NA,NA,"AVISTAJES","699206302",NA,NA,"Gpque. Peña, G.A. Recalde y Servin","APN-PI-1170",NA,"APN-AR",NA,NA,NA,NA,"Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA",NA,"<p>Destacamento Estero Poi, en el borde del monte.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","382060045","Aotus azarae (Humboldt, 1812)",-25.07097,-58.14913,"gass84,cdpi,colmano,inmano","a6058f47-15ae-412e-b316-912dd6e2ec9b","979dd240-16f7-11df-b5b3-b8a03c50a862","254b8c8b-d0d3-4e6c-806c-a2f6d3a614ce","AR","DWC_ARCHIVE","2021-03-28T08:44:26.950+00:00","2021-03-30T12:17:37.258+00:00",77,"614053e2-79b2-40db-9e73-07ff944da7c6","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC",NA,NA,"Formosa",2009,7,29,"2009-07-29T00:00:00",NA,"2021-03-30T12:17:37.258+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","ARG","none","none","Argentina",NA,"3709903",NA,NA,NA,NA,"NEA-IABIN","382060045",NA,NA,"Gpque. Ball","APN-PI-730",NA,"APN-AR",NA,NA,NA,NA,"Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<p>Camino a Latakue</p>",NA,NA,NA,NA,NA,NA,NA,"SOUTH AMERICA",NA,NA,NA,NA,NA,NA,NA,78,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","699206327","Aotus azarae (Humboldt, 1812)",-25.07097,-58.14913,"gass84,colmano,inmano","e2483380-16f7-11df-b5b3-b8a03c50a862","979dd240-16f7-11df-b5b3-b8a03c50a862","6064fb16-f762-11e1-a439-00145eb45e9a","AR","DWC_ARCHIVE","2021-03-03T21:24:52.672+00:00","2021-03-09T14:12:12.065+00:00",118,"979dd240-16f7-11df-b5b3-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC",NA,6471.5,"Formosa",2009,7,29,"2009-07-29T00:00:00",NA,"2021-03-09T14:12:12.065+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","ARG","none","none","Argentina",NA,"699206327",NA,NA,NA,NA,"AVISTAJES","699206327",NA,NA,"Gpque. Ball","APN-PI-730",NA,"APN-AR",NA,NA,NA,NA,"Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA",NA,"<p>Camino a Latakue</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","699206321","Aotus azarae (Humboldt, 1812)",-25.12317,-58.17509,"gass84,colmano,inmano","e2483380-16f7-11df-b5b3-b8a03c50a862","979dd240-16f7-11df-b5b3-b8a03c50a862","6064fb16-f762-11e1-a439-00145eb45e9a","AR","DWC_ARCHIVE","2021-03-03T21:24:52.672+00:00","2021-03-09T14:12:12.064+00:00",118,"979dd240-16f7-11df-b5b3-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC",NA,86.5,"Formosa",2009,10,22,"2009-10-22T00:00:00",NA,"2021-03-09T14:12:12.064+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","ARG","none","none","Argentina",NA,"699206321",NA,NA,NA,NA,"AVISTAJES","699206321",NA,NA,"Todo el personal de guardia en ese momento en el destacamento Estero Poí","APN-PI-1649",NA,"APN-AR",NA,NA,NA,NA,"Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA",NA,"<p>Destacamento Estero Po&iacute;</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","699206311","Aotus azarae (Humboldt, 1812)",-25.12397,-58.17495,"gass84,colmano,inmano","e2483380-16f7-11df-b5b3-b8a03c50a862","979dd240-16f7-11df-b5b3-b8a03c50a862","6064fb16-f762-11e1-a439-00145eb45e9a","AR","DWC_ARCHIVE","2021-03-03T21:24:52.672+00:00","2021-03-09T14:12:12.065+00:00",118,"979dd240-16f7-11df-b5b3-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC",NA,26.5,"Formosa",2008,1,29,"2008-01-29T00:00:00",NA,"2021-03-09T14:12:12.065+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","ARG","none","none","Argentina",NA,"699206311",NA,NA,NA,NA,"AVISTAJES","699206311",NA,NA,"César Wayán y Federico Postman (proyecto Uso de hábitat de mamíferos)","APN-PI-1368",NA,"APN-AR",NA,NA,NA,NA,"Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA",NA,"<p>Destacamento Estero Po&iacute;. &Aacute;rea de acampe</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","382060064","Aotus azarae (Humboldt, 1812)",-25.07454,-58.15085,"gass84,cdpi,colmano,inmano","a6058f47-15ae-412e-b316-912dd6e2ec9b","979dd240-16f7-11df-b5b3-b8a03c50a862","254b8c8b-d0d3-4e6c-806c-a2f6d3a614ce","AR","DWC_ARCHIVE","2021-03-28T08:44:26.950+00:00","2021-03-30T12:17:37.255+00:00",77,"614053e2-79b2-40db-9e73-07ff944da7c6","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC",NA,NA,"Formosa",2008,5,10,"2008-05-10T00:00:00",NA,"2021-03-30T12:17:37.255+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","ARG","none","none","Argentina",NA,"3709912",NA,NA,NA,NA,"NEA-IABIN","382060064",NA,NA,"G. Carpinetto, Dalmasso, GA Arce, Servin, BIF Alarcon, Recalde","APN-PI-889",NA,"APN-AR",NA,NA,NA,NA,"Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<p>Camino a Latakue</p>",NA,NA,NA,NA,NA,NA,NA,"SOUTH AMERICA",NA,NA,NA,NA,NA,NA,NA,76,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","382060068","Aotus azarae (Humboldt, 1812)",-25.1219,-58.0244,"gass84,cdpi,colmano,inmano","a6058f47-15ae-412e-b316-912dd6e2ec9b","979dd240-16f7-11df-b5b3-b8a03c50a862","254b8c8b-d0d3-4e6c-806c-a2f6d3a614ce","AR","DWC_ARCHIVE","2021-03-28T08:44:26.950+00:00","2021-03-30T12:17:37.256+00:00",77,"614053e2-79b2-40db-9e73-07ff944da7c6","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC",NA,NA,"Formosa",2008,5,22,"2008-05-22T00:00:00",NA,"2021-03-30T12:17:37.256+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","ARG","none","none","Argentina",NA,"3709914",NA,NA,NA,NA,"NEA-IABIN","382060068",NA,NA,"G. Espinola, Arce, Paiva, BIF Recalde, Alarcon, Sin. Gamarra","APN-PI-926",NA,"APN-AR",NA,NA,NA,NA,"Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<p>Ex. Pto. San Miguel<br />&nbsp;</p>",NA,NA,NA,NA,NA,NA,NA,"SOUTH AMERICA",NA,NA,NA,NA,NA,NA,NA,72,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","699206333","Aotus azarae (Humboldt, 1812)",-25.07454,-58.15085,"gass84,colmano,inmano","e2483380-16f7-11df-b5b3-b8a03c50a862","979dd240-16f7-11df-b5b3-b8a03c50a862","6064fb16-f762-11e1-a439-00145eb45e9a","AR","DWC_ARCHIVE","2021-03-03T21:24:52.672+00:00","2021-03-09T14:12:12.035+00:00",118,"979dd240-16f7-11df-b5b3-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC",NA,7682.5,"Formosa",2008,5,10,"2008-05-10T00:00:00",NA,"2021-03-09T14:12:12.035+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","ARG","none","none","Argentina",NA,"699206333",NA,NA,NA,NA,"AVISTAJES","699206333",NA,NA,"G. Carpinetto, Dalmasso, GA Arce, Servin, BIF Alarcon, Recalde","APN-PI-889",NA,"APN-AR",NA,NA,NA,NA,"Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA",NA,"<p>Camino a Latakue</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","699206335","Aotus azarae (Humboldt, 1812)",-25.1219,-58.0244,"gass84,colmano,inmano","e2483380-16f7-11df-b5b3-b8a03c50a862","979dd240-16f7-11df-b5b3-b8a03c50a862","6064fb16-f762-11e1-a439-00145eb45e9a","AR","DWC_ARCHIVE","2021-03-03T21:24:52.672+00:00","2021-03-09T14:12:12.036+00:00",118,"979dd240-16f7-11df-b5b3-b8a03c50a862","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC",NA,57.9,"Formosa",2008,5,22,"2008-05-22T00:00:00",NA,"2021-03-09T14:12:12.036+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","ARG","none","none","Argentina",NA,"699206335",NA,NA,NA,NA,"AVISTAJES","699206335",NA,NA,"G. Espinola, Arce, Paiva, BIF Recalde, Alarcon, Sin. Gamarra","APN-PI-926",NA,"APN-AR",NA,NA,NA,NA,"Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH_AMERICA",NA,"<p>Ex. Pto. San Miguel<br />&nbsp;</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","382060057","Aotus azarae (Humboldt, 1812)",-25.17462,-58.13027,"gass84,cdpi,colmano,inmano","a6058f47-15ae-412e-b316-912dd6e2ec9b","979dd240-16f7-11df-b5b3-b8a03c50a862","254b8c8b-d0d3-4e6c-806c-a2f6d3a614ce","AR","DWC_ARCHIVE","2021-03-28T08:44:26.950+00:00","2021-03-30T12:17:37.254+00:00",77,"614053e2-79b2-40db-9e73-07ff944da7c6","HUMAN_OBSERVATION","PRESENT",5707409,1,44,359,798,3239574,2436667,5707409,5707409,"Aotus azarae (Humboldt, 1812)","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus azarae","Aotus","azarae","SPECIES","ACCEPTED","LC",NA,NA,"Formosa",2007,10,27,"2007-10-27T00:00:00",NA,"2021-03-30T12:17:37.254+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","ARG","none","none","Argentina",NA,"3709909",NA,NA,NA,NA,"NEA-IABIN","382060057",NA,NA,"Gpque. Carpinetto","APN-PI-845",NA,"APN-AR",NA,NA,NA,NA,"Aotus azarae (Humboldt, 1812)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<p>S. Secretos del Monte</p>",NA,NA,NA,NA,NA,NA,NA,"SOUTH AMERICA",NA,NA,NA,NA,NA,NA,NA,79,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
