"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","informationWithheld","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","identifiedBy","identificationID","name","projectId","programmeAcronym","elevation","continent","organismQuantity","organismQuantityType","eventID","habitat","http...rs.tdwg.org.dwc.terms.organismQuantity","institutionID","municipality","county","locality","language","type","vernacularName","http...rs.tdwg.org.dwc.terms.organismQuantityType","datasetID","samplingProtocol","eventTime","verbatimSRS","verbatimCoordinateSystem","preparations","lifeStage","elevationAccuracy","samplingEffort","otherCatalogNumbers","verbatimTaxonRank","parentEventID","previousIdentifications","occurrenceRemarks","individualCount","georeferencedBy","recordNumber","fieldNumber","taxonRemarks","verbatimElevation","institutionKey","collectionID","sex","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","collectionKey","locationRemarks","reproductiveCondition","eventRemarks","associatedReferences","originalNameUsage","acceptedNameUsage","disposition","identificationRemarks","georeferenceVerificationStatus","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","gadm","higherGeography","endDayOfYear","startDayOfYear","higherClassification","establishmentMeans","infraspecificEpithet","nomenclaturalCode","bibliographicCitation","accessRights","organismID","ownerInstitutionCode","waterBody","dynamicProperties","download"
"Aotus griseimembra","2626097931","Aotus griseimembra Elliot, 1912",6.056117,-75.395807,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:47:40.249+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5786069,1,44,359,798,3239574,2436667,5786069,5786069,"Aotus griseimembra Elliot, 1912","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus griseimembra","Aotus","griseimembra","SPECIES","ACCEPTED","VU","2020-05-13T19:36:04",31362,"Antioquia",2020,2,27,"2020-02-27T00:00:00","2020-06-08T01:57:14.000+00:00","2021-09-07T23:47:40.249+00:00","https://www.inaturalist.org/observations/45804351","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Lida Trujillo","45804351","lidatru","Coordinate uncertainty increased to 31362m to protect threatened taxon","2020/02/27","iNaturalist research-grade observations","Antioquia, CO","Observations","2626097931","https://www.inaturalist.org/observations/45804351","74067","Lida Trujillo","45804351","https://www.inaturalist.org/observations/45804351","iNaturalist","© Lida Trujillo some rights reserved","Lida Trujillo","102706137","Aotus griseimembra Elliot, 1912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus griseimembra","2856209325","Aotus griseimembra Elliot, 1912",7.113539,-73.423124,"colmano,inmano","336137d9-a446-4033-90d8-11bfad870e32","8e6bc843-c1b4-4b10-b546-881f06049004","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-29T19:55:54.216+00:00","2021-03-30T10:07:04.221+00:00",29,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",5786069,1,44,359,798,3239574,2436667,5786069,5786069,"Aotus griseimembra Elliot, 1912","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus griseimembra","Aotus","griseimembra","SPECIES","ACCEPTED","VU",NA,NA,"Santander",2020,2,20,"2020-02-20T00:00:00",NA,"2021-03-30T10:07:04.221+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia",NA,"BIOTICA:RutaCacao:Mamiferos:0023",NA,NA,NA,"ANLA:00696:2019",NA,NA,"2856209325","BIOTICA:RutaCacao:Mamiferos:0023",NA,"Sindy Carolina Celis",NA,NA,"Biótica Consultores LTDA",NA,NA,NA,"Aotus griseimembra Elliot, 1912","CESP2019-004","CESP",209,"SOUTH_AMERICA",2,"Individuos","Yondo-Mamíferos:Recorrido4","Tejido urbano discontinuo","2","830.115.395-1","Girón","Girón","La Martha","es","Evento","Marteja, mico de noche","Individuos","Biótica Consultores LTDA","Recorrido libre y sin restricciones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus griseimembra","2856209352","Aotus griseimembra Elliot, 1912",7.066285,-73.740387,"colmano,inmano","336137d9-a446-4033-90d8-11bfad870e32","8e6bc843-c1b4-4b10-b546-881f06049004","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-29T19:55:54.216+00:00","2021-03-30T10:07:04.264+00:00",29,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",5786069,1,44,359,798,3239574,2436667,5786069,5786069,"Aotus griseimembra Elliot, 1912","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus griseimembra","Aotus","griseimembra","SPECIES","ACCEPTED","VU",NA,NA,"Santander",2020,2,20,"2020-02-20T00:00:00",NA,"2021-03-30T10:07:04.264+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia",NA,"BIOTICA:RutaCacao:Mamiferos:0008",NA,NA,NA,"ANLA:00696:2019",NA,NA,"2856209352","BIOTICA:RutaCacao:Mamiferos:0008",NA,"Sindy Carolina Celis",NA,NA,"Biótica Consultores LTDA",NA,NA,NA,"Aotus griseimembra Elliot, 1912","CESP2019-004","CESP",96,"SOUTH_AMERICA",2,"Individuos","Yondo-Mamíferos:Recorrido5","Cuerpos de aguas continentales(Rios)","2","830.115.395-1","Barrancabermeja","Barrancabermeja","El Zarzal","es","Evento","Marteja, mico de noche","Individuos","Biótica Consultores LTDA","Recorrido libre y sin restricciones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus griseimembra","2856209367","Aotus griseimembra Elliot, 1912",7.066208,-73.741151,"colmano,inmano","336137d9-a446-4033-90d8-11bfad870e32","8e6bc843-c1b4-4b10-b546-881f06049004","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-03-29T19:55:54.216+00:00","2021-03-30T10:07:04.285+00:00",29,"c4f66525-4d36-4c18-82ac-98e088f54db4","HUMAN_OBSERVATION","PRESENT",5786069,1,44,359,798,3239574,2436667,5786069,5786069,"Aotus griseimembra Elliot, 1912","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus griseimembra","Aotus","griseimembra","SPECIES","ACCEPTED","VU",NA,NA,"Santander",2020,2,20,"2020-02-20T00:00:00",NA,"2021-03-30T10:07:04.285+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia",NA,"BIOTICA:RutaCacao:Mamiferos:0004",NA,NA,NA,"ANLA:00696:2019",NA,NA,"2856209367","BIOTICA:RutaCacao:Mamiferos:0004",NA,"Sindy Carolina Celis",NA,NA,"Biótica Consultores LTDA",NA,NA,NA,"Aotus griseimembra Elliot, 1912","CESP2019-004","CESP",89,"SOUTH_AMERICA",2,"Individuos","Yondo-Mamíferos:Recorrido5","Cuerpos de aguas continentales(Rios)","2","830.115.395-1","Barrancabermeja","Barrancabermeja","El Zarzal","es","Evento","Marteja, mico de noche","Individuos","Biótica Consultores LTDA","Recorrido libre y sin restricciones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus griseimembra","1990604829","Aotus griseimembra Elliot, 1912",6.64869,-74.253549,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:45:36.481+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5786069,1,44,359,798,3239574,2436667,5786069,5786069,"Aotus griseimembra Elliot, 1912","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus griseimembra","Aotus","griseimembra","SPECIES","ACCEPTED","VU","2019-01-28T01:19:09",31344,"Antioquia",2019,1,23,"2019-01-23T13:48:00","2019-01-28T01:21:15.000+00:00","2021-09-07T23:45:36.481+00:00","https://www.inaturalist.org/observations/19918468","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia","Daniel van der Post","19918468","danielvanderpost","Coordinate uncertainty increased to 31344m to protect threatened taxon","2019/01/23 1:48 PM HST","iNaturalist research-grade observations","Antioquia, CO","Observations","1990604829","https://www.inaturalist.org/observations/19918468","74067","Daniel van der Post","19918468","https://www.inaturalist.org/observations/19918468","iNaturalist","By Daniel van der Post no rights reserved","Daniel van der Post","44013810","Aotus griseimembra Elliot, 1912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23:48:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus griseimembra","3333758521","Aotus griseimembra Elliot, 1912",7.08398,-73.74327,"","014fd607-a5f7-4f3b-9015-c6194a1097d4","e4a87e1f-4ff8-4d2e-bcd1-0929678abab9","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-08-11T13:34:41.934+00:00","2021-08-11T13:34:47.808+00:00",3,"c4f66525-4d36-4c18-82ac-98e088f54db4","MACHINE_OBSERVATION","PRESENT",5786069,1,44,359,798,3239574,2436667,5786069,5786069,"Aotus griseimembra Elliot, 1912","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus griseimembra","Aotus","griseimembra","SPECIES","ACCEPTED","VU",NA,NA,"Santander",2019,2,5,"2019-02-05T00:00:00",NA,"2021-08-11T13:34:47.808+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia",NA,"UNIPAZ:Mamiferos-OCAD:0263",NA,NA,NA,"Instituto Universitario de la Paz - UNIPAZ",NA,NA,"3333758521","UNIPAZ:Mamiferos-OCAD:0263",NA,"Jhon Mario Flórez Salazar",NA,NA,"Instituto Universitario de la Paz (UNIPAZ)",NA,NA,NA,"Aotus griseimembra Elliot, 1912","Mamíferos asociados a un bosque húmedo tropical (Barrancabermeja - Santander)",NA,NA,"SOUTH_AMERICA",5,"Individuos",NA,"Bosque humedo tropical","5","800.024.581-3",NA,"Barrancabermeja","Centro de Investigaciones Santa Lucía - km 14 vía Bucaramanga","es","Imagen estática","Mico de noche caibe","Individuos","CAS:0293:2018","Fototrampeo",NA,"WGS84","Grados decimales","Fotografía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus griseimembra","3333759158","Aotus griseimembra Elliot, 1912",7.08398,-73.74327,"","014fd607-a5f7-4f3b-9015-c6194a1097d4","e4a87e1f-4ff8-4d2e-bcd1-0929678abab9","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-08-11T13:34:41.934+00:00","2021-08-11T13:34:47.927+00:00",3,"c4f66525-4d36-4c18-82ac-98e088f54db4","MACHINE_OBSERVATION","PRESENT",5786069,1,44,359,798,3239574,2436667,5786069,5786069,"Aotus griseimembra Elliot, 1912","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus griseimembra","Aotus","griseimembra","SPECIES","ACCEPTED","VU",NA,NA,"Santander",2019,2,5,"2019-02-05T00:00:00",NA,"2021-08-11T13:34:47.927+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia",NA,"UNIPAZ:Mamiferos-OCAD:1142",NA,NA,NA,"Instituto Universitario de la Paz - UNIPAZ",NA,NA,"3333759158","UNIPAZ:Mamiferos-OCAD:1142",NA,"Jhon Mario Flórez Salazar",NA,NA,"Instituto Universitario de la Paz (UNIPAZ)",NA,NA,NA,"Aotus griseimembra Elliot, 1912","Mamíferos asociados a un bosque húmedo tropical (Barrancabermeja - Santander)",NA,NA,"SOUTH_AMERICA",5,"Individuos",NA,"Bosque humedo tropical","5","800.024.581-3",NA,"Barrancabermeja","Centro de Investigaciones Santa Lucía - km 14 vía Bucaramanga","es","Imagen estática","Mico de noche caibe","Individuos","CAS:0293:2018","Fototrampeo",NA,"WGS84","Grados decimales","Fotografía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus griseimembra","3333759346","Aotus griseimembra Elliot, 1912",7.08398,-73.74327,"","014fd607-a5f7-4f3b-9015-c6194a1097d4","e4a87e1f-4ff8-4d2e-bcd1-0929678abab9","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-08-11T13:34:41.934+00:00","2021-08-11T13:34:47.978+00:00",3,"c4f66525-4d36-4c18-82ac-98e088f54db4","MACHINE_OBSERVATION","PRESENT",5786069,1,44,359,798,3239574,2436667,5786069,5786069,"Aotus griseimembra Elliot, 1912","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus griseimembra","Aotus","griseimembra","SPECIES","ACCEPTED","VU",NA,NA,"Santander",2019,2,2,"2019-02-02T00:00:00",NA,"2021-08-11T13:34:47.978+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia",NA,"UNIPAZ:Mamiferos-OCAD:0393",NA,NA,NA,"Instituto Universitario de la Paz - UNIPAZ",NA,NA,"3333759346","UNIPAZ:Mamiferos-OCAD:0393",NA,"Jhon Mario Flórez Salazar",NA,NA,"Instituto Universitario de la Paz (UNIPAZ)",NA,NA,NA,"Aotus griseimembra Elliot, 1912","Mamíferos asociados a un bosque húmedo tropical (Barrancabermeja - Santander)",NA,NA,"SOUTH_AMERICA",1,"Individuo",NA,"Bosque humedo tropical","1","800.024.581-3",NA,"Barrancabermeja","Centro de Investigaciones Santa Lucía - km 14 vía Bucaramanga","es","Imagen estática","Mico de noche caibe","Individuo","CAS:0293:2018","Fototrampeo",NA,"WGS84","Grados decimales","Fotografía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus griseimembra","3333759361","Aotus griseimembra Elliot, 1912",7.08398,-73.74327,"","014fd607-a5f7-4f3b-9015-c6194a1097d4","e4a87e1f-4ff8-4d2e-bcd1-0929678abab9","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-08-11T13:34:41.934+00:00","2021-08-11T13:34:47.991+00:00",3,"c4f66525-4d36-4c18-82ac-98e088f54db4","MACHINE_OBSERVATION","PRESENT",5786069,1,44,359,798,3239574,2436667,5786069,5786069,"Aotus griseimembra Elliot, 1912","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus griseimembra","Aotus","griseimembra","SPECIES","ACCEPTED","VU",NA,NA,"Santander",2019,2,5,"2019-02-05T00:00:00",NA,"2021-08-11T13:34:47.991+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia",NA,"UNIPAZ:Mamiferos-OCAD:0397",NA,NA,NA,"Instituto Universitario de la Paz - UNIPAZ",NA,NA,"3333759361","UNIPAZ:Mamiferos-OCAD:0397",NA,"Jhon Mario Flórez Salazar",NA,NA,"Instituto Universitario de la Paz (UNIPAZ)",NA,NA,NA,"Aotus griseimembra Elliot, 1912","Mamíferos asociados a un bosque húmedo tropical (Barrancabermeja - Santander)",NA,NA,"SOUTH_AMERICA",5,"Individuos",NA,"Bosque humedo tropical","5","800.024.581-3",NA,"Barrancabermeja","Centro de Investigaciones Santa Lucía - km 14 vía Bucaramanga","es","Imagen estática","Mico de noche caibe","Individuos","CAS:0293:2018","Fototrampeo",NA,"WGS84","Grados decimales","Fotografía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Aotus griseimembra","3333759503","Aotus griseimembra Elliot, 1912",7.08398,-73.74327,"","014fd607-a5f7-4f3b-9015-c6194a1097d4","e4a87e1f-4ff8-4d2e-bcd1-0929678abab9","68845aab-a453-4816-b36d-a3ec8455deb0","CO","DWC_ARCHIVE","2021-08-11T13:34:41.934+00:00","2021-08-11T13:34:48.001+00:00",3,"c4f66525-4d36-4c18-82ac-98e088f54db4","MACHINE_OBSERVATION","PRESENT",5786069,1,44,359,798,3239574,2436667,5786069,5786069,"Aotus griseimembra Elliot, 1912","Animalia","Chordata","Primates","Aotidae","Aotus","Aotus griseimembra","Aotus","griseimembra","SPECIES","ACCEPTED","VU",NA,NA,"Santander",2019,2,5,"2019-02-05T00:00:00",NA,"2021-08-11T13:34:48.001+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","CO","none","none","Colombia",NA,"UNIPAZ:Mamiferos-OCAD:0779",NA,NA,NA,"Instituto Universitario de la Paz - UNIPAZ",NA,NA,"3333759503","UNIPAZ:Mamiferos-OCAD:0779",NA,"Jhon Mario Flórez Salazar",NA,NA,"Instituto Universitario de la Paz (UNIPAZ)",NA,NA,NA,"Aotus griseimembra Elliot, 1912","Mamíferos asociados a un bosque húmedo tropical (Barrancabermeja - Santander)",NA,NA,"SOUTH_AMERICA",5,"Individuos",NA,"Bosque humedo tropical","5","800.024.581-3",NA,"Barrancabermeja","Centro de Investigaciones Santa Lucía - km 14 vía Bucaramanga","es","Imagen estática","Mico de noche caibe","Individuos","CAS:0293:2018","Fototrampeo",NA,"WGS84","Grados decimales","Fotografía",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
