"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","sex","occurrenceRemarks","preparationType","individualCount","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","previousCatalogNumber"
"1","2021-02-14 01:10:00-03","MVZ","MVZ-MAMMAL","MVZ:Mamm:166819","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps","Museum of Vertebrate Zoology, University of California, Berkeley","Collector(s): James L. Patton","10976","1984","05","05","South America","Peru","Madre de Dios","Hacienda Erika, Rio Alto Madre de Dios opposite Salvacion","-71.387626","-12.849127","350","350","male","<a href='http://arctos.database.museum/guid/MVZ:Mamm:166819' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","196983","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"L. Egg","39","1908","12",NA,"South America","Peru",NA,"Pozuzo",NA,NA,"800.0",NA,NA,NA,"Skin; Skull","1",NA,NA,NA,NA,NA,NA
"3","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","364486","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"C. Perez","15","1964","8","7","South America","Peru","Pasco","San Juan",NA,NA,"274.0",NA,NA,NA,"Skin; Skull","1","Oxapampa Province",NA,NA,NA,NA,NA
"4","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","364487","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"C. Perez","36","1964","8","13","South America","Peru","Pasco","San Juan",NA,NA,"274.0",NA,NA,NA,"Skin; Skull","1","Oxapampa Province",NA,NA,NA,NA,NA
"5","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","364488","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"C. Perez","37","1964","8","13","South America","Peru","Pasco","San Juan",NA,NA,"274.0",NA,NA,NA,"Skin; Skull","1","Oxapampa Province",NA,NA,NA,NA,NA
"6","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","364489","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"C. Perez","38","1964","8","13","South America","Peru","Pasco","San Juan",NA,NA,"274.0",NA,NA,NA,"Skin; Skull","1","Oxapampa Province",NA,NA,NA,NA,NA
"7","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","364490","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"C. Perez","44","1964","8","18","South America","Peru","Pasco","San Juan",NA,NA,"274.0",NA,NA,NA,"Skin; Skull","1","Oxapampa Province",NA,NA,NA,NA,NA
"8","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","364491","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"C. Perez","69","1964",NA,NA,"South America","Peru","Pasco","San Juan",NA,NA,"274.0",NA,NA,NA,"Skin; Skull","1","Oxapampa Province",NA,NA,NA,NA,NA
"9","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","364492","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"C. Perez","70","1964",NA,NA,"South America","Peru","Pasco","San Juan",NA,NA,"274.0",NA,NA,NA,"Skin; Skull","1","Oxapampa Province",NA,NA,NA,NA,NA
"10","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","364493","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","nigriceps","Aotus nigriceps",NA,"C. Perez","No Number","1964",NA,NA,"South America","Peru","Pasco","San Juan",NA,NA,"274.0",NA,NA,NA,"Skin; Skull","1","Oxapampa Province",NA,NA,NA,NA,NA
