"","shp_binomial","tip.label","Taxon","...2","binomial","age","Latitude","Longitude"
"1","Aotus_brumbacki",NA,NA,NA,NA,NA,NA,NA
"2","Alouatta_pigra","Alouatta_pigra",NA,NA,NA,NA,NA,NA
"3","Alouatta_macconnelli","Alouatta_macconnelli",NA,NA,NA,NA,NA,NA
"4","Ateles_geoffroyi","Ateles_geoffroyi",NA,NA,NA,NA,NA,NA
"5","Alouatta_caraya","Alouatta_caraya",NA,NA,NA,NA,NA,NA
"6","Alouatta_ululata",NA,NA,NA,NA,NA,NA,NA
"7","Ateles_belzebuth","Ateles_belzebuth",NA,NA,NA,NA,NA,NA
"8","Ateles_marginatus",NA,NA,NA,NA,NA,NA,NA
"9","Alouatta_nigerrima","Alouatta_nigerrima",NA,NA,NA,NA,NA,NA
"10","Brachyteles_hypoxanthus","Brachyteles_hypoxanthus",NA,NA,NA,NA,NA,NA
"11","Lagothrix_cana","Lagothrix_cana",NA,NA,NA,NA,NA,NA
"12","Alouatta_arctoidea",NA,NA,NA,NA,NA,NA,NA
"13","Alouatta_palliata","Alouatta_palliata",NA,NA,NA,NA,NA,NA
"14","Lagothrix_lagotricha","Lagothrix_lagotricha",NA,NA,NA,NA,NA,NA
"15","Ateles_hybridus","Ateles_hybridus",NA,NA,NA,NA,NA,NA
"16","Oreonax_flavicauda",NA,NA,NA,NA,NA,NA,NA
"17","Alouatta_seniculus ssp. puruensis",NA,NA,NA,NA,NA,NA,NA
"18","Alouatta_guariba","Alouatta_guariba",NA,NA,NA,NA,NA,NA
"19","Brachyteles_arachnoides","Brachyteles_arachnoides",NA,NA,NA,NA,NA,NA
"20","Lagothrix_poeppigii",NA,NA,NA,NA,NA,NA,NA
"21","Alouatta_seniculus ssp. juara",NA,NA,NA,NA,NA,NA,NA
"22","Ateles_fusciceps","Ateles_fusciceps",NA,NA,NA,NA,NA,NA
"23","Lagothrix_lugens",NA,NA,NA,NA,NA,NA,NA
"24","Ateles_chamek","Ateles_chamek",NA,NA,NA,NA,NA,NA
"25","Ateles_paniscus","Ateles_paniscus",NA,NA,NA,NA,NA,NA
"26","Alouatta_belzebul","Alouatta_belzebul",NA,NA,NA,NA,NA,NA
"27","Alouatta_discolor",NA,NA,NA,NA,NA,NA,NA
"28","Alouatta_sara","Alouatta_sara",NA,NA,NA,NA,NA,NA
"29","Saguinus_martinsi","Saguinus_martinsi",NA,NA,NA,NA,NA,NA
"30","Mico_marcai",NA,NA,NA,NA,NA,NA,NA
"31","Mico_melanurus",NA,NA,NA,NA,NA,NA,NA
"32","Mico_mauesi","Mico_mauesi",NA,NA,NA,NA,NA,NA
"33","Callithrix_penicillata","Callithrix_penicillata",NA,NA,NA,NA,NA,NA
"34","Saguinus_geoffroyi","Saguinus_geoffroyi",NA,NA,NA,NA,NA,NA
