"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"1",1,1,130,1,"Mico_emiliae",0.39,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"2",1,1,130,2,"Mico_mauesi",0.39,0,"AD","A","A","AD -> A","allopatry","–","–","–","","",""
"3",1,1,129,3,"Mico_humeralifer",1.34,0,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","",""
"4",1,1,128,4,"Mico_argentatus",3.11,0,"AD","D","D","AD -> D","subset_sympatry","–","–","–","","",""
"5",1,1,127,5,"Cebuella_pygmaea",4.6,0,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","",""
"6",1,1,134,6,"Callithrix_jacchus",0.74,0,"BCE","B","B","BCE -> B","subset_sympatry","–","–","–","","",""
"7",1,1,134,7,"Callithrix_penicillata",0.74,0,"BCE","BCE","BCE","BCE -> BCE","subset_sympatry","–","–","–","","",""
"8",1,1,133,8,"Callithrix_kuhlii",1.32,0,"CE","E","E","CE -> E","subset_sympatry","–","–","–","","",""
"9",1,1,132,9,"Callithrix_geoffroyi",1.52,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"10",1,1,131,10,"Callithrix_aurita",3.24,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"11",1,1,125,11,"Callimico_goeldii",11.47,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"12",1,1,124,12,"Micodon_kyotensis",12.51,12.41,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"13",1,1,136,13,"Leontopithecus_chrysopygus",0.1,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"14",1,1,136,14,"Leontopithecus_rosalia",0.1,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"15",1,1,135,15,"Leontopithecus_chrysomelas",0.5,0,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"16",1,1,141,16,"Saguinus_bicolor",2.51,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"17",1,1,141,17,"Saguinus_martinsi",2.51,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"18",1,1,140,18,"Saguinus_midas",3.69,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"19",1,1,142,19,"Saguinus_geoffroyi",0.72,0,"AG","G","G","AG -> G","subset_sympatry","–","–","–","","",""
"20",1,1,142,20,"Saguinus_oedipus",0.72,0,"AG","AG","AG","AG -> AG","subset_sympatry","–","–","–","","",""
"21",1,1,144,21,"Saguinus_labiatus",2.47,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"22",1,1,144,22,"Saguinus_mystax",2.47,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"23",1,1,143,23,"Saguinus_imperator",3.72,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"24",1,1,147,24,"Saguinus_nigricollis",2.25,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"25",1,1,147,25,"Saguinus_tripartitus",2.25,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"26",1,1,146,26,"Saguinus_melanoleucus",2.5,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"27",1,1,145,27,"Saguinus_fuscicollis",3.9,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"28",1,1,153,28,"Aotus_griseimembra",0.91,0,"AG","AG","AG","AG -> AG","subset_sympatry","–","–","–","","",""
