;replication;log-likelihood;AICc;k;n_taxa;d;e;j;w;treeHeight;in_situ_speciation_mean;founder_event_speciation_mean;allopatry_mean;subset_sympatry_mean;dispersal_mean;extinction_mean;in_situ_speciation_SD;founder_event_speciation_SD;allopatry_SD;subset_sympatry_SD;dispersal_SD;extinction_SD
1;1;-318.7051933;641.5184947;2;114;0.010537471;0.008266417;0;1;37.51;111.6;0;58.8;55.6;43.9;1.5;9.033;0;3.676;8.527;1.287;1.08
2;2;-324.7161667;653.5404414;2;114;0.008576365;0.007238839;0;1;37.51;108;0;60;58;45;2.4;8.273;0;4.619;11.195;1.414;1.578
3;3;-323.2523092;650.6127265;2;114;0.008355388;0.00605336;0;1;37.51;110.6;0;58.2;57.2;43.2;1.6;7.058;0;3.584;7.131;2.573;0.843
4;4;-325.5960719;655.3002518;2;114;0.009785701;0.011038567;0;1;39.14;105.2;0;59.6;61.2;42.7;2.5;7.613;0;4.502;8.854;1.767;0.972
5;5;-329.2845809;662.67727;2;114;0.009084616;0.012548559;0;1;44.1;117.6;0;52;56.4;41;4.2;7.933;0;5.416;9.371;3.127;1.751
6;6;-315.9558165;636.0197411;2;114;0.009967346;0.008234405;0;1;37.51;114.4;0;59.8;51.8;44.7;1.2;7.877;0;3.584;6.63;2.111;0.789
7;7;-321.1338975;646.3759032;2;114;0.009987267;0.012053283;0;1;39.33;112;0;56.4;57.6;42.9;2.2;6.992;0;4.6;6.915;2.767;1.229
8;8;-316.6320713;637.3722506;2;114;0.010056752;0.00785367;0;1;38.15;117.4;0;60.8;47.8;44.2;1.5;5.582;0;3.425;4.367;2.15;1.179
9;9;-323.2165597;650.5412275;2;114;0.007014068;0.008683632;0;1;40.27;114.8;0;56.2;55;42.4;2.1;4.541;0;3.458;6.683;3.026;1.287
10;10;-330.4948051;665.0977183;2;114;0.010042863;0.010029341;0;1;37.51;111;0;61.2;53.8;46.5;3;6.88;0;4.022;4.662;2.877;1.7
;;;;;;;;;;;112.26;0;58.3;55.44;43.65;2.22;7.1782;0;4.0886;7.4335;2.3099;1.2408
;;;;;;;;;;;in_situ_speciation_mean;founder_event_speciation_mean;allopatry_mean;subset_sympatry_mean;dispersal_mean;extinction_mean;in_situ_speciation_SD;founder_event_speciation_SD;allopatry_SD;subset_sympatry_SD;dispersal_SD;extinction_SD
;;;;;;;;;;;112.26;0;58.3;55.44;43.65;2.22;7.1782;0;4.0886;7.4335;2.3099;1.2408
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Mean;SD;;;;;;;;;
;;;;;;;;;;;in_situ_speciation;112.26;7.1782;;;;;;;;;
;;;;;;;;;;;founder_event_speciation;0;0;;;;;;;;;
;;;;;;;;;;;allopatry;58.3;4.0886;;;;;;;;;
;;;;;;;;;;;subset_sympatry;55.44;7.4335;;;;;;;;;
;;;;;;;;;;;dispersal;43.65;2.3099;;;;;;;;;
;;;;;;;;;;;extinction;2.22;1.2408;;;;;;;;;
