"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"1",1,1,133,1,"Mico_humeralifer",1.03,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2",1,1,133,2,"Mico_mauesi",1.03,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"3",1,1,132,3,"Mico_argentatus",2.68,0,"AD","D","D","AD -> D","allopatry","–","–","–","","",""
"4",1,1,131,4,"Mico_emiliae",2.91,0,"AD","D","D","AD -> D","subset_sympatry","–","–","–","","",""
"5",1,1,130,5,"Cebuella_pygmaea",5.11,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"6",1,1,137,6,"Callithrix_jacchus",0.35,0,"BCE","B","B","BCE -> B","subset_sympatry","–","–","–","","",""
"7",1,1,137,7,"Callithrix_penicillata",0.35,0,"BCE","BCE","BCE","BCE -> BCE","subset_sympatry","–","–","–","","",""
"8",1,1,136,8,"Callithrix_kuhlii",1.76,0,"CE","E","E","CE -> E","subset_sympatry","–","–","–","","",""
"9",1,1,135,9,"Callithrix_geoffroyi",2.01,0,"CE","C","C","CE -> C","subset_sympatry","–","–","–","","",""
"10",1,1,134,10,"Callithrix_aurita",4.05,0,"AC","C","C","AC -> C","subset_sympatry","–","–","–","","",""
"11",1,1,128,11,"Callimico_goeldii",11.26,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"12",1,1,140,12,"Leontopithecus_chrysopygus",0.29,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"13",1,1,140,13,"Leontopithecus_rosalia",0.29,0,"C","C","C","C -> C","in_situ_speciation","–","–","–","","",""
"14",1,1,139,14,"Leontopithecus_chrysomelas",0.74,0,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"15",1,1,138,15,"Micodon_kyotensis",12.5,12.4,"AC","A","A","AC -> A","allopatry","–","–","–","","",""
"16",1,1,145,16,"Saguinus_bicolor",2.3,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"17",1,1,145,17,"Saguinus_martinsi",2.3,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"18",1,1,144,18,"Saguinus_midas",3.98,0,"D","D","D","D -> D","in_situ_speciation","–","–","–","","",""
"19",1,1,146,19,"Saguinus_geoffroyi",1.25,0,"AG","G","G","AG -> G","subset_sympatry","–","–","–","","",""
"20",1,1,146,20,"Saguinus_oedipus",1.25,0,"AG","AG","AG","AG -> AG","subset_sympatry","–","–","–","","",""
"21",1,1,148,21,"Saguinus_labiatus",2.17,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"22",1,1,148,22,"Saguinus_mystax",2.17,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"23",1,1,147,23,"Saguinus_imperator",5.41,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"24",1,1,150,24,"Saguinus_fuscicollis",2.39,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"25",1,1,150,25,"Saguinus_tripartitus",2.39,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"26",1,1,151,26,"Saguinus_nigricollis",2.88,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"27",1,1,151,27,"Saguinus_melanoleucus",2.88,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"28",1,1,157,28,"Aotus_griseimembra",1.9,0,"AG","AG","AG","AG -> AG","subset_sympatry","–","–","–","","",""
"29",1,1,157,29,"Aotus_lemurinus",1.9,0,"AG","G","ADG","AG -> G","subset_sympatry","G -> ADG","dispersal","1.5","","","d"
"30",1,1,156,30,"Aotus_trivirgatus",3.5,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"31",1,1,155,31,"Aotus_vociferans",4.6,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"32",1,1,159,32,"Aotus_azarae",2.08,0,"AD","AD","ABD","AD -> AD","subset_sympatry","AD -> ABD","dispersal","1","","","d"
"33",1,1,159,33,"Aotus_nigriceps",2.08,0,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","",""
"34",1,1,158,34,"Aotus_nancymaae",4.39,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"35",1,1,153,35,"Aotus_dindensis",12.78,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"36",1,1,152,36,"Tremacebus_harringtoni",20.05,19.95,"AI","I","I","AI -> I","allopatry","–","–","–","","",""
"37",1,1,166,37,"Sapajus_apella",0.57,0,"ABD","AD","AD","ABD -> AD","allopatry","–","–","–","","",""
"38",1,1,166,38,"Sapajus_libidinosus",0.57,0,"ABD","B","B","ABD -> B","allopatry","–","–","–","","",""
"39",1,1,167,39,"Sapajus_robustus",2.64,0,"CE","C","C","CE -> C","allopatry","–","–","–","","",""
"40",1,1,167,40,"Sapajus_xanthosternos",2.64,0,"CE","E","E","CE -> E","allopatry","–","–","–","","",""
"41",1,1,169,41,"Cebus_albifrons",1.77,0,"ADH","A","A","ADH -> A","allopatry","–","–","–","","",""
"42",1,1,169,42,"Cebus_olivaceus",1.77,0,"ADH","DH","DH","ADH -> DH","allopatry","–","–","–","","",""
"43",1,1,168,43,"Cebus_capucinus",2.48,0,"AH","A","AFG","AH -> A","subset_sympatry","A -> AFG","dispersal","1.84","","","d"
"44",1,1,163,44,"Acrecebus_fraileyi",7.51,7.41,"AC","A","A","AC -> A","subset_sympatry","–","–","–","","",""
