"","starting_range","ending_range","average_n_events","SD","transition_type"
"178","A","A","93.2","9.432","in situ speciation"
"2290","AD","A","10.8","1.989","vicariance or subset sympatry or extinction"
"2293","AD","D","8.7","1.174","vicariance or subset sympatry or extinction"
"190","A","AD","8.2","1.281","dispersal"
"3178","AI","I","7.4","1.761","vicariance or subset sympatry or extinction"
"3170","AI","A","7.2","1.97","vicariance or subset sympatry or extinction"
"709","D","D","6.5","0.889","in situ speciation"
"3187","AI","AI","6","2.089","wide sympatry or subset sympatry"
"2302","AD","AD","5.6","2.282","wide sympatry or subset sympatry"
"1594","I","I","5.4","4.773","in situ speciation"
"532","C","C","5.2","1.765","in situ speciation"
"1771","J","J","4.3","0.733","in situ speciation"
"5108","CE","C","3.6","0.813","vicariance or subset sympatry or extinction"
"5110","CE","E","3.3","0.657","vicariance or subset sympatry or extinction"
"195","A","AI","3.2","1.152","dispersal"
"2833","AG","AG","2.9","1.814","wide sympatry or subset sympatry"
"193","A","AG","2.5","0.827","dispersal"
"2824","AG","G","2.5","1","vicariance or subset sympatry or extinction"
"16462","BCE","BCE","2.2","1.436","wide sympatry or subset sympatry"
"2818","AG","A","2","1.638","vicariance or subset sympatry or extinction"
"1063","F","F","1.8","0.616","in situ speciation"
"2114","AC","A","1.7","1.593","vicariance or subset sympatry or extinction"
"2116","AC","C","1.7","1.174","vicariance or subset sympatry or extinction"
"558","C","CE","1.6","1.146","dispersal"
"234","A","ABD","1.5","0.513","dispersal"
"189","A","AC","1.4","0.999","dispersal"
"2466","AE","A","1.4","1.694","vicariance or subset sympatry or extinction"
"5134","CE","CE","1.3","0.979","wide sympatry or subset sympatry"
"194","A","AH","1.2","0.523","dispersal"
"2642","AF","A","1.2","1.152","vicariance or subset sympatry or extinction"
"1603","I","AI","1.1","0.852","dispersal"
"16371","BCE","B","1.1","0.447","vicariance or subset sympatry or extinction"
"910","E","CE","1","0.826","dispersal"
"2125","AC","AC","1","1.451","wide sympatry or subset sympatry"
"2470","AE","E","1","1.191","vicariance or subset sympatry or extinction"
"1103","F","FG","0.9","0.224","dispersal"
"1938","AB","A","0.9","0.788","vicariance or subset sympatry or extinction"
"1939","AB","B","0.9","0.826","vicariance or subset sympatry or extinction"
"2479","AE","AE","0.9","1.191","wide sympatry or subset sympatry"
"10035","ABD","B","0.9","0.447","vicariance or subset sympatry or extinction"
"10046","ABD","AD","0.9","0.447","vicariance or subset sympatry or extinction"
"12674","ADF","A","0.9","0.999","vicariance or subset sympatry or extinction"
"191","A","AE","0.8","1.07","dispersal"
"192","A","AF","0.8","0.745","dispersal"
"259","A","AFG","0.8","0.587","dispersal"
"1279","G","FG","0.8","0.41","dispersal"
"11442","ACE","A","0.8","0.639","vicariance or subset sympatry or extinction"
"11470","ACE","CE","0.8","0.639","vicariance or subset sympatry or extinction"
"12745","ADF","ADF","0.8","0.988","wide sympatry or subset sympatry"
"12922","ADG","ADG","0.8","1.226","wide sympatry or subset sympatry"
"14434","AFG","A","0.8","1.322","vicariance or subset sympatry or extinction"
"14515","AFG","AFG","0.8","1.251","wide sympatry or subset sympatry"
"16372","BCE","C","0.8","0.894","vicariance or subset sympatry or extinction"
"188","A","AB","0.7","0.733","dispersal"
"549","C","BC","0.7","0.489","dispersal"
"2647","AF","F","0.7","0.875","vicariance or subset sympatry or extinction"
"2656","AF","AF","0.7","0.813","wide sympatry or subset sympatry"
"5198","CE","BCE","0.7","0.671","dispersal"
"12856","ADG","G","0.7","0.875","vicariance or subset sympatry or extinction"
"13026","ADH","A","0.7","0.923","vicariance or subset sympatry or extinction"
"206","A","CE","0.6","0.51","dispersal and extinction"
"242","A","ACE","0.6","0.681","dispersal"
"250","A","ADG","0.6","0.754","dispersal"
"718","D","AD","0.6","0.686","dispersal"
"2890","AG","ADG","0.6","0.686","dispersal"
"2994","AH","A","0.6","0.754","vicariance or subset sympatry or extinction"
"8986","GI","I","0.6","0.605","vicariance or subset sympatry or extinction"
"9858","ABC","A","0.6","1.395","vicariance or subset sympatry or extinction"
"12679","ADF","F","0.6","0.503","vicariance or subset sympatry or extinction"
"12686","ADF","AD","0.6","0.503","vicariance or subset sympatry or extinction"
"355","B","B","0.5","0.889","in situ speciation"
"886","E","E","0.5","1.1","in situ speciation"
"3966","BE","BCE","0.5","0.688","dispersal"
"4755","BJ","B","0.5","0.513","vicariance or subset sympatry or extinction"
"4763","BJ","J","0.5","0.513","vicariance or subset sympatry or extinction"
"8984","GI","G","0.5","0.513","vicariance or subset sympatry or extinction"
"12850","ADG","A","0.5","0.688","vicariance or subset sympatry or extinction"
"15322","AGI","I","0.5","0.607","vicariance or subset sympatry or extinction"
"16374","BCE","E","0.5","0.513","vicariance or subset sympatry or extinction"
"373","B","BC","0.4","0.598","dispersal"
"916","E","DE","0.4","0.51","dispersal"
"974","E","BCE","0.4","0.598","dispersal"
"1595","I","J","0.4","0.51","founder event speciation or dispersal and extinction"
"1636","I","GI","0.4","0.51","dispersal"
"3614","BC","BCE","0.4","0.826","dispersal"
"6165","DE","D","0.4","0.51","vicariance or subset sympatry or extinction"
"6166","DE","E","0.4","0.503","vicariance or subset sympatry or extinction"
"9877","ABC","BC","0.4","0.821","vicariance or subset sympatry or extinction"
"10210","ABE","A","0.4","0.686","vicariance or subset sympatry or extinction"
"10231","ABE","BE","0.4","0.686","vicariance or subset sympatry or extinction"
"11268","ACD","C","0.4","0.503","vicariance or subset sympatry or extinction"
"11278","ACD","AD","0.4","0.51","vicariance or subset sympatry or extinction"
"12862","ADG","AD","0.4","0.503","vicariance or subset sympatry or extinction"
"13063","ADH","DH","0.4","0.503","vicariance or subset sympatry or extinction"
"180","A","C","0.3","0.489","founder event speciation or dispersal and extinction"
"236","A","ABF","0.3","0.571","dispersal"
"237","A","ABG","0.3","0.571","dispersal"
"241","A","ACD","0.3","0.489","dispersal"
"249","A","ADF","0.3","0.489","dispersal"
"264","A","AGI","0.3","0.587","dispersal"
"743","D","DH","0.3","0.489","dispersal"
"1249","G","AG","0.3","0.489","dispersal"
"2346","AD","ABD","0.3","0.47","dispersal"
"4932","CD","C","0.3","0.571","vicariance or subset sympatry or extinction"
"4933","CD","D","0.3","0.47","vicariance or subset sympatry or extinction"
"6869","DI","D","0.3","0.571","vicariance or subset sympatry or extinction"
"10387","ABF","B","0.3","0.571","vicariance or subset sympatry or extinction"
"10563","ABG","B","0.3","0.571","vicariance or subset sympatry or extinction"
"11266","ACD","A","0.3","0.657","vicariance or subset sympatry or extinction"
"11329","ACD","ACD","0.3","0.657","wide sympatry or subset sympatry"
"12502","ADE","E","0.3","0.733","vicariance or subset sympatry or extinction"
"13099","ADH","ADH","0.3","0.47","wide sympatry or subset sympatry"
"13559","AEF","F","0.3","0.47","vicariance or subset sympatry or extinction"
"13567","AEF","AE","0.3","0.47","vicariance or subset sympatry or extinction"
"15329","AGI","AG","0.3","0.587","vicariance or subset sympatry or extinction"
"181","A","D","0.2","0.444","founder event speciation or dispersal and extinction"
"196","A","AJ","0.2","0.41","dispersal"
"233","A","ABC","0.2","0.444","dispersal"
"235","A","ABE","0.2","0.444","dispersal"
"248","A","ADE","0.2","0.41","dispersal"
"251","A","ADH","0.2","0.444","dispersal"
"363","B","J","0.2","0.444","founder event speciation or dispersal and extinction"
"380","B","BJ","0.2","0.444","dispersal"
"1447","H","DH","0.2","0.444","dispersal"
"1624","I","DI","0.2","0.41","dispersal"
"2169","AC","ABC","0.2","0.696","dispersal"
"3001","AH","H","0.2","0.444","vicariance or subset sympatry or extinction"
"3010","AH","AH","0.2","0.41","wide sympatry or subset sympatry"
"3256","AI","AGI","0.2","0.41","dispersal"
"3346","AJ","A","0.2","0.55","vicariance or subset sympatry or extinction"
"3524","BC","C","0.2","0.444","vicariance or subset sympatry or extinction"
"3541","BC","BC","0.2","0.41","wide sympatry or subset sympatry"
"6341","DF","D","0.2","0.616","vicariance or subset sympatry or extinction"
"6904","DI","DI","0.2","0.523","wide sympatry or subset sympatry"
"9860","ABC","C","0.2","0.41","vicariance or subset sympatry or extinction"
"9913","ABC","ABC","0.2","0.716","wide sympatry or subset sympatry"
"10034","ABD","A","0.2","0.55","vicariance or subset sympatry or extinction"
"10090","ABD","ABD","0.2","0.55","wide sympatry or subset sympatry"
"10214","ABE","E","0.2","0.444","vicariance or subset sympatry or extinction"
"10267","ABE","ABE","0.2","0.41","wide sympatry or subset sympatry"
"10391","ABF","F","0.2","0.444","vicariance or subset sympatry or extinction"
"10396","ABF","AB","0.2","0.41","vicariance or subset sympatry or extinction"
"10400","ABF","AF","0.2","0.523","vicariance or subset sympatry or extinction"
"10577","ABG","AG","0.2","0.444","vicariance or subset sympatry or extinction"
"11623","ACF","F","0.2","0.55","vicariance or subset sympatry or extinction"
"11629","ACF","AC","0.2","0.41","vicariance or subset sympatry or extinction"
"12510","ADE","AD","0.2","0.55","vicariance or subset sympatry or extinction"
"12568","ADE","ADE","0.2","0.523","wide sympatry or subset sympatry"
"13205","ADI","D","0.2","0.55","vicariance or subset sympatry or extinction"
"13214","ADI","AD","0.2","0.444","vicariance or subset sympatry or extinction"
"13276","ADI","ADI","0.2","0.639","wide sympatry or subset sympatry"
"14440","AFG","G","0.2","0.41","vicariance or subset sympatry or extinction"
"14479","AFG","FG","0.2","0.444","vicariance or subset sympatry or extinction"
"15320","AGI","G","0.2","0.41","vicariance or subset sympatry or extinction"
"15331","AGI","AI","0.2","0.41","vicariance or subset sympatry or extinction"
"15400","AGI","AGI","0.2","0.55","wide sympatry or subset sympatry"
"16027","AIJ","J","0.2","0.41","vicariance or subset sympatry or extinction"
"16035","AIJ","AI","0.2","0.41","vicariance or subset sympatry or extinction"
"16398","BCE","CE","0.2","0.41","vicariance or subset sympatry or extinction"
"179","A","B","0.1","0.308","founder event speciation or dispersal and extinction"
"187","A","J","0.1","0.366","founder event speciation or dispersal and extinction"
"240","A","ABJ","0.1","0.366","dispersal"
"243","A","ACF","0.1","0.308","dispersal"
"252","A","ADI","0.1","0.366","dispersal"
"254","A","AEF","0.1","0.308","dispersal"
"263","A","AGH","0.1","0.308","dispersal"
"534","C","E","0.1","0.308","founder event speciation or dispersal and extinction"
"557","C","CD","0.1","0.366","dispersal"
"622","C","BCE","0.1","0.308","dispersal"
"733","D","CD","0.1","0.308","dispersal"
"742","D","DG","0.1","0.308","dispersal"
"769","D","ACD","0.1","0.308","dispersal"
"885","E","D","0.1","0.308","founder event speciation or dispersal and extinction"
"1139","F","AFG","0.1","0.308","dispersal"
"1586","I","A","0.1","0.308","founder event speciation or dispersal and extinction"
"1763","J","B","0.1","0.366","founder event speciation or dispersal and extinction"
"1948","AB","AB","0.1","0.366","wide sympatry or subset sympatry"
"1994","AB","ABD","0.1","0.308","dispersal"
"1995","AB","ABE","0.1","0.366","dispersal"
"2178","AC","ACE","0.1","0.366","dispersal"
"2179","AC","ACF","0.1","0.308","dispersal"
"2361","AD","ADF","0.1","0.366","dispersal"
"2362","AD","ADG","0.1","0.308","dispersal"
"2523","AE","ABE","0.1","0.366","dispersal"
"2542","AE","AEF","0.1","0.366","dispersal"
"2713","AF","ADF","0.1","0.366","dispersal"
"2718","AF","AEF","0.1","0.308","dispersal"
"2723","AF","AFG","0.1","0.366","dispersal"
"3067","AH","ADH","0.1","0.308","dispersal"
"3244","AI","ADI","0.1","0.366","dispersal"
"3260","AI","AIJ","0.1","0.308","dispersal"
"3355","AJ","J","0.1","0.366","vicariance or subset sympatry or extinction"
"3364","AJ","AJ","0.1","0.308","wide sympatry or subset sympatry"
"5460","CG","C","0.1","0.447","vicariance or subset sympatry or extinction"
"6343","DF","F","0.1","0.447","vicariance or subset sympatry or extinction"
"6520","DG","G","0.1","0.308","vicariance or subset sympatry or extinction"
"6550","DG","DG","0.1","0.308","wide sympatry or subset sympatry"
"6586","DG","ADG","0.1","0.366","dispersal"
"6940","DI","ADI","0.1","0.308","dispersal"
"9338","HI","I","0.1","0.447","vicariance or subset sympatry or extinction"
"9868","ABC","AB","0.1","0.308","vicariance or subset sympatry or extinction"
"10211","ABE","B","0.1","0.308","vicariance or subset sympatry or extinction"
"10223","ABE","AE","0.1","0.308","vicariance or subset sympatry or extinction"
"10444","ABF","ABF","0.1","0.489","wide sympatry or subset sympatry"
"11090","ABJ","A","0.1","0.308","vicariance or subset sympatry or extinction"
"11116","ABJ","BJ","0.1","0.308","vicariance or subset sympatry or extinction"
"11269","ACD","D","0.1","0.308","vicariance or subset sympatry or extinction"
"11794","ACG","A","0.1","0.447","vicariance or subset sympatry or extinction"
"12498","ADE","A","0.1","0.308","vicariance or subset sympatry or extinction"
"12709","ADF","DF","0.1","0.308","vicariance or subset sympatry or extinction"
"12853","ADG","D","0.1","0.366","vicariance or subset sympatry or extinction"
"13202","ADI","A","0.1","0.489","vicariance or subset sympatry or extinction"
"13210","ADI","I","0.1","0.366","vicariance or subset sympatry or extinction"
"13219","ADI","AI","0.1","0.308","vicariance or subset sympatry or extinction"
"13554","AEF","A","0.1","0.447","vicariance or subset sympatry or extinction"
"15144","AGH","G","0.1","0.447","vicariance or subset sympatry or extinction"
"15223","AGH","AGH","0.1","0.308","wide sympatry or subset sympatry"
"15314","AGI","A","0.1","0.489","vicariance or subset sympatry or extinction"
"15674","AHI","I","0.1","0.447","vicariance or subset sympatry or extinction"
"15754","AHI","AHI","0.1","0.447","wide sympatry or subset sympatry"
"21125","CDE","D","0.1","0.366","vicariance or subset sympatry or extinction"
"21150","CDE","CE","0.1","0.366","vicariance or subset sympatry or extinction"
