"","SUM_A","SUM_B","SUM_C","SUM_D","SUM_E","SUM_F","SUM_G","SUM_H","SUM_I","SUM_J","LTT"
"0",1.2,0.6,0.5,1,0.3,0,0,0,0,0.2,3.2
"1",40.46,6.56,10.92,17.26,6.52,4.28,6.02,1.28,0,1.54,75
"2",35.38,5,9.78,14.06,5.1,3.04,3.86,0.7,0.02,2.64,62.4
"3",28.4,4.14,8.42,10.6,4.2,1.98,2.52,0.44,0.08,2.4,48
"4",23.06,3.34,6.86,7.62,3.18,1.72,1.74,0.4,0.06,2.34,36.9
"5",19.42,2.76,5.9,6.04,2.3,1.58,1.42,0.4,0.06,2.3,30
"6",17.56,2.3,4.86,5.34,1.94,1.42,1.2,0.28,0.06,2.24,25.8
"7",16.24,1.96,4.24,4.66,1.62,1.26,1.02,0.16,0.08,2.14,22.9
"8",17.14,1.76,3.58,3.68,1.3,1.02,0.82,0.1,0.14,1.92,22.1
"9",16.1,1.62,3.18,3.1,1.12,0.88,0.66,0.1,0.18,1.88,19.9
"10",14.98,1.28,2.58,2.34,0.8,0.72,0.54,0.1,0.2,1.76,17.9
"11",13.78,1.04,2.14,1.86,0.66,0.58,0.4,0.08,0.22,1.66,16.4
"12",13.24,0.74,1.66,1.32,0.44,0.38,0.26,0.06,0.24,1.52,15.6
"13",20.66,0.52,1.34,1.1,0.3,0.28,0.22,0.06,0.24,1.3,22.6
"14",18.14,0.4,1.14,0.74,0.18,0.18,0.16,0.06,0.32,1.18,19.9
"15",15.78,0.28,0.9,0.52,0.16,0.1,0.14,0.06,0.4,1.08,17.4
"16",13.38,0.22,0.68,0.42,0.12,0.08,0.12,0.06,1.42,1.02,15.6
"17",12.48,0.14,0.46,0.3,0.04,0.08,0.12,0.04,4.22,0.98,16.8
"18",11.22,0.1,0.28,0.24,0.04,0.06,0.1,0.04,4.16,0.88,14.5
"19",9.9,0.08,0.22,0.16,0.02,0.02,0.06,0.04,3.9,0.82,12.7
"20",8.66,0.08,0.16,0.1,0,0,0.08,0.02,4.4,0.76,12
"21",7.74,0.08,0.14,0.08,0,0,0.5,0,6.18,0.7,12.3
"22",6.7,0.1,0.12,0.06,0,0,0.72,0,4.38,0.64,9.9
"23",6.02,0.02,0.06,0.06,0,0,0.6,0,3.34,0.54,7.9
"24",5.4,0.02,0.02,0.04,0,0,0.36,0,2.42,0.44,6.7
"25",4.58,0.02,0.02,0.02,0,0,0.2,0,1.78,0.34,5.5
"26",3.76,0.02,0,0.02,0,0,0.12,0,1.32,0.28,4.3
"27",5.66,0.02,0,0.02,0.02,0,0.1,0,1.18,0.24,6.2
"28",4.52,0.02,0,0.02,0.02,0,0.08,0,0.9,0.22,4.9
"29",3.56,0,0,0.02,0.02,0,0.08,0,0.58,0.14,3.7
"30",2.9,0.02,0,0.02,0.02,0,0.06,0,0.42,0.16,2.9
"31",2.5,0.02,0,0.02,0.02,0,0.04,0,0.36,0.14,2.5
"32",2.2,0.02,0,0.02,0.02,0,0.04,0,0.28,0.12,2.2
"33",2,0.02,0,0.02,0.02,0,0.04,0,0.24,0.08,2
"34",1.6,0.02,0,0.02,0.04,0,0.04,0,0.24,0.08,1.6
"35",1.4,0.02,0.02,0.04,0.04,0,0.06,0,0.24,0.08,1.4
"36",1.3,0.02,0.02,0.04,0.04,0,0.06,0,0.24,0.1,1.3
"37",1.1,0.04,0.02,0.04,0.04,0,0.06,0.02,0.26,0.08,1.1
"38",2,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,0.0333333333333333,0.0333333333333333,0.233333333333333,0.133333333333333,2
"39",2,0.05,0.1,0,0.05,0,0,0,0.2,0.1,2
"40",2,0.1,0,0,0,0,0,0,0,0.2,2
"41",1,0,0,0,0,0,0,0,0.1,0,1
