"","tree_replicate","BSM_replicate","in_situ_speciation","founder_event_speciation","allopatry","subset_sympatry","dispersal","extinction"
"1",1,1,104,0,54,72,44,4
"2",1,2,118,0,54,58,44,3
"3",1,3,122,0,56,52,42,3
"4",1,4,124,0,54,52,45,3
"5",1,5,122,0,54,54,43,4
"6",1,6,128,0,52,50,42,2
"7",1,7,124,0,54,52,41,2
"8",1,8,120,0,56,54,40,2
"9",1,9,134,0,52,44,42,1
"10",1,10,112,0,56,62,43,3
"11",2,1,112,0,62,56,43,1
"12",2,2,106,0,58,66,45,4
"13",2,3,128,0,58,44,43,3
"14",2,4,128,0,64,38,45,1
"15",2,5,110,0,68,52,47,2
"16",2,6,130,0,58,42,44,3
"17",2,7,110,0,64,56,46,2
"18",2,8,112,0,64,54,49,2
"19",2,9,108,0,54,68,46,3
"20",2,10,116,0,64,50,50,1
"21",3,1,126,0,64,40,45,5
"22",3,2,134,0,54,42,42,4
"23",3,3,116,0,54,60,43,3
"24",3,4,128,0,54,48,45,5
"25",3,5,114,0,58,58,42,3
"26",3,6,124,0,60,46,44,2
"27",3,7,132,0,50,48,38,3
"28",3,8,132,0,48,50,38,1
"29",3,9,136,0,52,42,42,2
"30",3,10,130,0,56,44,42,2
"31",4,1,128,0,58,44,37,2
"32",4,2,114,0,56,60,47,4
"33",4,3,126,0,56,48,41,1
"34",4,4,130,0,50,50,43,4
"35",4,5,116,0,46,68,37,5
"36",4,6,112,0,50,68,42,4
"37",4,7,134,0,48,48,37,3
"38",4,8,124,0,50,56,43,4
"39",4,9,116,0,54,60,44,3
"40",4,10,116,0,48,66,44,4
"41",5,1,122,0,58,50,46,1
"42",5,2,128,0,54,48,43,1
"43",5,3,134,0,56,40,45,1
"44",5,4,130,0,54,46,38,0
"45",5,5,114,0,64,52,48,2
"46",5,6,126,0,52,52,42,4
"47",5,7,120,0,56,54,45,6
"48",5,8,120,0,54,56,46,1
"49",5,9,122,0,56,52,46,4
"50",5,10,126,0,54,50,41,1
"51",6,1,118,0,62,50,44,3
"52",6,2,114,0,64,52,45,2
"53",6,3,120,0,58,52,46,2
"54",6,4,120,0,60,50,48,2
"55",6,5,106,0,56,68,42,2
"56",6,6,128,0,54,48,41,2
"57",6,7,112,0,60,58,41,2
"58",6,8,122,0,62,46,40,0
"59",6,9,106,0,54,70,42,3
"60",6,10,110,0,64,56,44,3
"61",7,1,110,0,64,56,42,1
"62",7,2,110,0,64,56,48,1
"63",7,3,112,0,60,58,46,1
"64",7,4,120,0,62,48,49,1
"65",7,5,118,0,58,54,45,1
"66",7,6,110,0,62,58,44,0
"67",7,7,114,0,66,50,47,1
"68",7,8,126,0,52,52,38,0
"69",7,9,110,0,60,60,43,0
"70",7,10,124,0,56,50,41,1
"71",8,1,102,0,68,60,44,2
"72",8,2,118,0,66,46,47,1
"73",8,3,122,0,64,44,49,1
"74",8,4,104,0,64,62,49,1
"75",8,5,102,0,74,54,50,0
"76",8,6,108,0,66,56,48,2
"77",8,7,100,0,66,64,46,2
"78",8,8,120,0,60,50,38,0
"79",8,9,118,0,60,52,45,2
"80",8,10,98,0,64,68,48,2
"81",9,1,100,0,66,64,44,0
"82",9,2,96,0,58,76,41,1
"83",9,3,106,0,66,58,48,0
"84",9,4,106,0,66,58,46,0
"85",9,5,98,0,64,68,43,0
"86",9,6,114,0,60,56,41,0
"87",9,7,98,0,66,66,45,1
"88",9,8,94,0,64,72,45,0
"89",9,9,120,0,60,50,47,3
"90",9,10,110,0,72,48,45,2
"91",10,1,114,0,58,58,41,4
"92",10,2,116,0,54,60,45,3
"93",10,3,122,0,56,52,40,2
"94",10,4,126,0,58,46,42,1
"95",10,5,116,0,48,66,41,2
"96",10,6,106,0,56,68,41,2
"97",10,7,122,0,56,52,43,1
"98",10,8,114,0,52,64,43,5
"99",10,9,124,0,50,56,42,5
"100",10,10,108,0,60,62,47,4
