"","starting_range","ending_range","average_n_events","SD","transition_type"
"178","A","A","62.35","8.932","in situ speciation"
"2290","AD","A","14.93","3.085","vicariance or subset sympatry or extinction"
"2302","AD","AD","11.05","2.783","wide sympatry or subset sympatry"
"2293","AD","D","7.64","1.322","vicariance or subset sympatry or extinction"
"3170","AI","A","7.28","2.332","vicariance or subset sympatry or extinction"
"3178","AI","I","6.92","1.796","vicariance or subset sympatry or extinction"
"709","D","D","6.52","1.291","in situ speciation"
"3187","AI","AI","6.36","2.414","wide sympatry or subset sympatry"
"532","C","C","6.32","1.699","in situ speciation"
"12922","ADG","ADG","4.67","2.708","wide sympatry or subset sympatry"
"190","A","AD","4.56","1.777","dispersal"
"5108","CE","C","4.04","1.127","vicariance or subset sympatry or extinction"
"1594","I","I","3.7","2.904","in situ speciation"
"5110","CE","E","3.46","0.869","vicariance or subset sympatry or extinction"
"12850","ADG","A","3.39","2.269","vicariance or subset sympatry or extinction"
"2833","AG","AG","2.49","1.673","wide sympatry or subset sympatry"
"195","A","AI","2.44","1.076","dispersal"
"194","A","AH","1.9","0.689","dispersal"
"558","C","CE","1.9","1","dispersal"
"193","A","AG","1.81","0.861","dispersal"
"2114","AC","A","1.79","1.578","vicariance or subset sympatry or extinction"
"12856","ADG","G","1.76","0.933","vicariance or subset sympatry or extinction"
"2824","AG","G","1.69","0.837","vicariance or subset sympatry or extinction"
"910","E","CE","1.67","1.074","dispersal"
"10046","ABD","AD","1.65","0.672","vicariance or subset sympatry or extinction"
"2818","AG","A","1.57","1.492","vicariance or subset sympatry or extinction"
"10035","ABD","B","1.55","0.657","vicariance or subset sympatry or extinction"
"2994","AH","A","1.53","1.329","vicariance or subset sympatry or extinction"
"12745","ADF","ADF","1.5","1.115","wide sympatry or subset sympatry"
"12674","ADF","A","1.49","1.105","vicariance or subset sympatry or extinction"
"16462","BCE","BCE","1.41","1.24","wide sympatry or subset sympatry"
"1063","F","F","1.38","0.93","in situ speciation"
"11329","ACD","ACD","1.25","1.234","wide sympatry or subset sympatry"
"15400","AGI","AGI","1.24","1.876","wide sympatry or subset sympatry"
"1603","I","AI","1.23","0.874","dispersal"
"16108","AIJ","AIJ","1.22","1.624","wide sympatry or subset sympatry"
"1938","AB","A","1.21","1.076","vicariance or subset sympatry or extinction"
"11268","ACD","C","1.19","0.837","vicariance or subset sympatry or extinction"
"2125","AC","AC","1.16","1.301","wide sympatry or subset sympatry"
"5134","CE","CE","1.15","1.058","wide sympatry or subset sympatry"
"250","A","ADG","1.14","0.779","dispersal"
"11278","ACD","AD","1.12","0.782","vicariance or subset sympatry or extinction"
"1279","G","FG","1.11","0.51","dispersal"
"234","A","ABD","1.08","0.598","dispersal"
"1994","AB","ABD","1.05","0.77","dispersal"
"11266","ACD","A","1.04","1.091","vicariance or subset sympatry or extinction"
"549","C","BC","1.02","0.619","dispersal"
"2116","AC","C","1.01","0.882","vicariance or subset sympatry or extinction"
"16371","BCE","B","1.01","0.643","vicariance or subset sympatry or extinction"
"2466","AE","A","1","1.206","vicariance or subset sympatry or extinction"
"189","A","AC","0.93","0.795","dispersal"
"12679","ADF","F","0.93","0.432","vicariance or subset sympatry or extinction"
"12686","ADF","AD","0.93","0.432","vicariance or subset sympatry or extinction"
"3001","AH","H","0.91","0.57","vicariance or subset sympatry or extinction"
"16018","AIJ","A","0.9","1.283","vicariance or subset sympatry or extinction"
"15314","AGI","A","0.86","1.407","vicariance or subset sympatry or extinction"
"718","D","AD","0.84","0.801","dispersal"
"1939","AB","B","0.84","0.801","vicariance or subset sympatry or extinction"
"12862","ADG","AD","0.83","0.473","vicariance or subset sympatry or extinction"
"1103","F","FG","0.81","0.394","dispersal"
"188","A","AB","0.79","0.868","dispersal"
"1447","H","DH","0.78","0.44","dispersal"
"12502","ADE","E","0.77","1.024","vicariance or subset sympatry or extinction"
"446","B","BCE","0.76","0.668","dispersal"
