"","tree_replicate","BSM_replicate","in_situ_speciation","founder_event_speciation","allopatry","subset_sympatry","dispersal","extinction"
"1",1,1,84,0,62,80,42,1
"2",1,2,80,0,62,84,41,3
"3",1,3,76,0,62,88,43,4
"4",1,4,86,0,64,76,39,1
"5",1,5,84,0,62,80,43,4
"6",1,6,82,0,58,86,43,2
"7",1,7,104,0,54,68,36,2
"8",1,8,92,0,60,74,45,2
"9",1,9,80,0,54,92,42,2
"10",1,10,82,0,66,78,43,4
"11",2,1,68,0,64,94,42,1
"12",2,2,90,0,58,78,40,3
"13",2,3,68,0,64,94,41,2
"14",2,4,58,0,70,98,42,2
"15",2,5,66,0,66,94,42,2
"16",2,6,62,0,62,102,44,3
"17",2,7,76,0,62,88,39,2
"18",2,8,76,0,64,86,43,2
"19",2,9,72,0,62,92,43,0
"20",2,10,86,0,62,78,42,2
"21",3,1,74,0,62,90,41,2
"22",3,2,82,0,62,82,41,1
"23",3,3,70,0,64,92,47,2
"24",3,4,78,0,58,90,37,2
"25",3,5,76,0,62,88,43,4
"26",3,6,86,0,62,78,42,2
"27",3,7,82,0,62,82,43,2
"28",3,8,78,0,62,86,42,2
"29",3,9,90,0,56,80,38,2
"30",3,10,70,0,60,96,43,4
"31",4,1,98,0,62,66,45,6
"32",4,2,92,0,56,78,40,6
"33",4,3,98,0,52,76,37,5
"34",4,4,90,0,60,76,41,2
"35",4,5,92,0,56,78,42,5
"36",4,6,98,0,50,78,43,7
"37",4,7,100,0,60,66,46,6
"38",4,8,90,0,56,80,38,4
"39",4,9,92,0,56,78,44,6
"40",4,10,90,0,60,76,39,3
"41",5,1,88,0,60,78,42,3
"42",5,2,78,0,56,92,40,4
"43",5,3,74,0,64,88,48,2
"44",5,4,84,0,70,72,48,1
"45",5,5,80,0,62,84,43,0
"46",5,6,88,0,64,74,46,2
"47",5,7,90,0,62,74,38,1
"48",5,8,78,0,68,80,47,5
"49",5,9,66,0,58,102,46,4
"50",5,10,80,0,58,88,41,0
"51",6,1,84,0,60,82,41,4
"52",6,2,80,0,54,92,39,3
"53",6,3,78,0,58,90,42,0
"54",6,4,70,0,54,102,41,2
"55",6,5,76,0,56,94,43,5
"56",6,6,92,0,52,82,38,1
"57",6,7,68,0,62,96,42,5
"58",6,8,76,0,62,88,47,0
"59",6,9,84,0,62,80,41,3
"60",6,10,90,0,56,80,38,4
"61",7,1,82,0,60,84,43,2
"62",7,2,68,0,60,98,46,4
"63",7,3,74,0,58,94,45,2
"64",7,4,62,0,62,102,46,1
"65",7,5,82,0,68,76,46,2
"66",7,6,74,0,64,88,46,2
"67",7,7,74,0,68,84,46,0
"68",7,8,78,0,60,88,45,1
"69",7,9,84,0,54,88,44,2
"70",7,10,78,0,62,86,45,3
"71",8,1,80,0,60,86,38,2
"72",8,2,80,0,58,88,38,3
"73",8,3,74,0,62,90,45,2
"74",8,4,74,0,62,90,40,4
"75",8,5,86,0,54,86,40,4
"76",8,6,90,0,58,78,41,3
"77",8,7,86,0,62,78,42,3
"78",8,8,92,0,62,72,44,2
"79",8,9,80,0,64,82,43,2
"80",8,10,74,0,62,90,41,5
"81",9,1,82,0,60,84,44,6
"82",9,2,90,0,50,86,38,5
"83",9,3,86,0,58,82,43,4
"84",9,4,100,0,58,68,43,5
"85",9,5,94,0,58,74,39,5
"86",9,6,92,0,54,80,39,7
"87",9,7,100,0,56,70,42,6
"88",9,8,84,0,66,76,47,5
"89",9,9,102,0,54,70,38,5
"90",9,10,88,0,54,84,36,5
"91",10,1,66,0,66,94,45,3
"92",10,2,54,0,60,112,44,2
"93",10,3,64,0,68,94,42,1
"94",10,4,78,0,72,76,51,1
"95",10,5,88,0,60,78,41,3
"96",10,6,68,0,72,86,49,2
"97",10,7,78,0,64,84,46,2
"98",10,8,82,0,66,78,42,0
"99",10,9,76,0,72,78,45,0
"100",10,10,88,0,64,74,46,1
