A	B	C	D	E	F	G	H	I	J
1.00	1.00	0.01	0.01	0.01	0.01	0.01	1.00	0.01	0.01
1.00	1.00	1.00	1.00	1.00	0.01	0.01	0.01	0.01	0.01
0.01	1.00	1.00	0.01	1.00	0.01	0.01	0.01	1.00	0.01
0.01	0.01	0.01	1.00	1.00	0.01	0.01	1.00	0.01	0.01
0.01	1.00	1.00	1.00	1.00	0.01	0.01	0.01	0.01	0.01
0.01	0.01	0.01	0.01	0.01	1.00	1.00	0.01	0.01	0.01
0.01	0.01	0.01	0.01	0.01	1.00	1.00	0.01	0.01	0.01
1.00	0.01	0.01	1.00	0.01	0.01	0.01	1.00	0.01	0.01
0.01	1.00	1.00	0.01	0.01	0.01	0.01	0.01	1.00	0.01
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.00

A	B	C	D	E	F	G	H	I	J
1.00	0.01	0.01	0.01	0.01	0.01	0.01	1.00	0.01	0.01
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0.01	0.01	1.00	0.01	1.00	0.01	0.01	0.01	1.00	0.01
0.01	0.01	0.01	1.00	0.01	0.01	0.01	1.00	0.01	0.01
0.01	0.01	1.00	0.01	1.00	0.01	0.01	0.01	0.01	0.01
0.01	0.01	0.01	0.01	0.01	1.00	0.01	0.01	0.01	0.01
0.01	0.01	0.01	0.01	0.01	0.01	1.00	0.01	0.01	0.01
1.00	0.01	0.01	1.00	0.01	0.01	0.01	1.00	0.01	0.01
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.00	0.01
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.00

END
