"","starting_range","ending_range","average_n_events","SD","transition_type"
"178","A","A","86.34","9.242","in situ speciation"
"2290","AD","A","10.47","2.311","vicariance or subset sympatry or extinction"
"190","A","AD","8.34","1.832","dispersal"
"2293","AD","D","8.34","1.444","vicariance or subset sympatry or extinction"
"3170","AI","A","8","2.632","vicariance or subset sympatry or extinction"
"1594","I","I","7.83","4.419","in situ speciation"
"709","D","D","6.56","1.452","in situ speciation"
"3178","AI","I","6.38","1.825","vicariance or subset sympatry or extinction"
"532","C","C","6.16","2.251","in situ speciation"
"2302","AD","AD","5.31","2.465","wide sympatry or subset sympatry"
"3187","AI","AI","4.71","2.728","wide sympatry or subset sympatry"
"195","A","AI","3.61","1.885","dispersal"
"5108","CE","C","3.28","1.102","vicariance or subset sympatry or extinction"
"2833","AG","AG","3.2","1.688","wide sympatry or subset sympatry"
"193","A","AG","3.06","1.013","dispersal"
"5110","CE","E","3","0.829","vicariance or subset sympatry or extinction"
"2818","AG","A","2.81","1.895","vicariance or subset sympatry or extinction"
"2824","AG","G","2.55","1.086","vicariance or subset sympatry or extinction"
"1938","AB","A","2.5","1.679","vicariance or subset sympatry or extinction"
"16462","BCE","BCE","2.04","1.31","wide sympatry or subset sympatry"
"1939","AB","B","1.87","1.253","vicariance or subset sympatry or extinction"
"1603","I","AI","1.75","1.388","dispersal"
"1279","G","FG","1.67","0.652","dispersal"
"2114","AC","A","1.59","1.422","vicariance or subset sympatry or extinction"
"558","C","CE","1.41","1.045","dispersal"
"1948","AB","AB","1.41","1.264","wide sympatry or subset sympatry"
"188","A","AB","1.26","1.079","dispersal"
"194","A","AH","1.24","0.571","dispersal"
"910","E","CE","1.23","0.983","dispersal"
"250","A","ADG","1.14","0.792","dispersal"
"12922","ADG","ADG","1.14","1.436","wide sympatry or subset sympatry"
"2116","AC","C","1.1","0.882","vicariance or subset sympatry or extinction"
"234","A","ABD","1.07","0.714","dispersal"
"2125","AC","AC","1.06","1.434","wide sympatry or subset sympatry"
"5134","CE","CE","1.02","1.128","wide sympatry or subset sympatry"
"10046","ABD","AD","1.02","0.619","vicariance or subset sympatry or extinction"
"259","A","AFG","1.01","0.482","dispersal"
"10035","ABD","B","1.01","0.595","vicariance or subset sympatry or extinction"
"2642","AF","A","1","1.163","vicariance or subset sympatry or extinction"
"12146","ACI","A","1","1.255","vicariance or subset sympatry or extinction"
"16371","BCE","B","0.96","0.4","vicariance or subset sympatry or extinction"
"12856","ADG","G","0.92","0.939","vicariance or subset sympatry or extinction"
"12214","ACI","ACI","0.9","1.36","wide sympatry or subset sympatry"
"8103","FG","F","0.85","0.386","vicariance or subset sympatry or extinction"
"549","C","BC","0.83","0.493","dispersal"
"181","A","D","0.78","0.705","founder event speciation or dispersal and extinction"
"13026","ADH","A","0.77","0.993","vicariance or subset sympatry or extinction"
"8143","FG","FG","0.76","0.429","wide sympatry or subset sympatry"
"10214","ABE","E","0.75","0.575","vicariance or subset sympatry or extinction"
"12850","ADG","A","0.74","1.079","vicariance or subset sympatry or extinction"
"16372","BCE","C","0.74","0.812","vicariance or subset sympatry or extinction"
"446","B","BCE","0.72","0.697","dispersal"
"1994","AB","ABD","0.71","0.64","dispersal"
"12674","ADF","A","0.7","0.927","vicariance or subset sympatry or extinction"
"718","D","AD","0.68","0.851","dispersal"
"12745","ADF","ADF","0.67","0.888","wide sympatry or subset sympatry"
"10210","ABE","A","0.66","0.794","vicariance or subset sympatry or extinction"
"2656","AF","AF","0.65","0.947","wide sympatry or subset sympatry"
"15400","AGI","AGI","0.65","1.158","wide sympatry or subset sympatry"
"886","E","E","0.64","1.059","in situ speciation"
"15314","AGI","A","0.63","0.971","vicariance or subset sympatry or extinction"
"16374","BCE","E","0.62","0.565","vicariance or subset sympatry or extinction"
"235","A","ABE","0.61","0.68","dispersal"
"2994","AH","A","0.6","0.829","vicariance or subset sympatry or extinction"
"5812","CI","C","0.6","0.921","vicariance or subset sympatry or extinction"
"10220","ABE","AB","0.59","0.514","vicariance or subset sympatry or extinction"
"12862","ADG","AD","0.59","0.621","vicariance or subset sympatry or extinction"
"355","B","B","0.58","1.037","in situ speciation"
"12679","ADF","F","0.57","0.498","vicariance or subset sympatry or extinction"
"12686","ADF","AD","0.57","0.498","vicariance or subset sympatry or extinction"
"4755","BJ","B","0.56","0.499","vicariance or subset sympatry or extinction"
"4763","BJ","J","0.56","0.499","vicariance or subset sympatry or extinction"
"189","A","AC","0.54","0.673","dispersal"
"14434","AFG","A","0.52","0.937","vicariance or subset sympatry or extinction"
"10034","ABD","A","0.51","0.893","vicariance or subset sympatry or extinction"
"12148","ACI","C","0.48","0.703","vicariance or subset sympatry or extinction"
"14515","AFG","AFG","0.47","0.904","wide sympatry or subset sympatry"
"192","A","AF","0.46","0.501","dispersal"
"3966","BE","BCE","0.44","0.592","dispersal"
"10090","ABD","ABD","0.44","0.756","wide sympatry or subset sympatry"
"10231","ABE","BE","0.44","0.608","vicariance or subset sympatry or extinction"
"246","A","ACI","0.43","0.624","dispersal"
"10568","ABG","G","0.43","0.498","vicariance or subset sympatry or extinction"
"13063","ADH","DH","0.43","0.537","vicariance or subset sympatry or extinction"
"16018","AIJ","A","0.43","1.066","vicariance or subset sympatry or extinction"
"1995","AB","ABE","0.42","0.622","dispersal"
"2466","AE","A","0.42","0.955","vicariance or subset sympatry or extinction"
"3238","AI","ACI","0.42","0.554","dispersal"
"5198","CE","BCE","0.42","0.516","dispersal"
"10572","ABG","AB","0.41","0.494","vicariance or subset sympatry or extinction"
"12157","ACI","AC","0.41","0.653","vicariance or subset sympatry or extinction"
"13099","ADH","ADH","0.4","0.739","wide sympatry or subset sympatry"
"1586","I","A","0.39","0.68","founder event speciation or dispersal and extinction"
"10267","ABE","ABE","0.39","0.618","wide sympatry or subset sympatry"
"2647","AF","F","0.37","0.485","vicariance or subset sympatry or extinction"
"12154","ACI","I","0.37","0.706","vicariance or subset sympatry or extinction"
"15322","AGI","I","0.37","0.63","vicariance or subset sympatry or extinction"
"2890","AG","ADG","0.36","0.56","dispersal"
"12163","ACI","AI","0.36","0.628","vicariance or subset sympatry or extinction"
"12853","ADG","D","0.36","0.578","vicariance or subset sympatry or extinction"
"15320","AGI","G","0.36","0.482","vicariance or subset sympatry or extinction"
