"","tree_replicate","BSM_replicate","in_situ_speciation","founder_event_speciation","allopatry","subset_sympatry","dispersal","extinction"
"1",1,1,104,0,54,68,42,7
"2",1,2,88,0,68,70,44,0
"3",1,3,112,0,56,58,47,5
"4",1,4,114,0,54,58,42,4
"5",1,5,90,0,56,80,44,4
"6",1,6,108,0,56,62,44,4
"7",1,7,114,0,54,58,40,1
"8",1,8,104,0,56,66,44,1
"9",1,9,108,0,56,62,42,4
"10",1,10,108,0,54,64,46,4
"11",2,1,106,0,62,58,46,8
"12",2,2,102,0,48,76,41,7
"13",2,3,122,0,58,46,44,4
"14",2,4,110,0,58,58,46,6
"15",2,5,116,0,56,54,43,3
"16",2,6,114,0,60,52,45,6
"17",2,7,116,0,58,52,44,6
"18",2,8,118,0,52,56,39,2
"19",2,9,118,0,52,56,42,6
"20",2,10,108,0,60,58,48,5
"21",3,1,112,0,58,56,42,4
"22",3,2,104,0,60,62,46,5
"23",3,3,108,0,56,62,46,4
"24",3,4,126,0,56,44,41,5
"25",3,5,126,0,60,40,39,2
"26",3,6,112,0,56,58,40,4
"27",3,7,104,0,54,68,42,4
"28",3,8,124,0,56,46,42,6
"29",3,9,116,0,56,54,40,4
"30",3,10,96,0,50,80,44,5
"31",4,1,116,0,60,50,41,2
"32",4,2,106,0,60,60,39,0
"33",4,3,124,0,50,52,35,3
"34",4,4,114,0,52,60,40,1
"35",4,5,106,0,66,54,47,3
"36",4,6,96,0,56,74,45,4
"37",4,7,108,0,56,62,41,6
"38",4,8,114,0,60,52,42,2
"39",4,9,106,0,60,60,44,3
"40",4,10,100,0,60,66,45,3
"41",5,1,104,0,62,60,45,4
"42",5,2,104,0,54,68,40,4
"43",5,3,106,0,56,64,40,2
"44",5,4,100,0,60,66,44,2
"45",5,5,112,0,62,52,48,4
"46",5,6,104,0,56,66,41,4
"47",5,7,114,0,58,54,43,4
"48",5,8,108,0,54,64,42,3
"49",5,9,98,0,60,68,47,8
"50",5,10,104,0,60,62,48,2
"51",6,1,98,0,60,68,49,7
"52",6,2,106,0,60,60,50,4
"53",6,3,96,0,64,66,53,9
"54",6,4,94,0,58,74,50,7
"55",6,5,122,0,60,44,47,4
"56",6,6,98,0,76,52,52,5
"57",6,7,110,0,66,50,47,5
"58",6,8,108,0,54,64,42,3
"59",6,9,112,0,62,52,45,3
"60",6,10,110,0,60,56,49,6
"61",7,1,114,0,70,42,47,4
"62",7,2,96,0,66,64,47,3
"63",7,3,106,0,64,56,44,4
"64",7,4,88,0,62,76,48,5
"65",7,5,110,0,52,64,42,2
"66",7,6,110,0,64,52,43,5
"67",7,7,96,0,62,68,49,6
"68",7,8,106,0,64,56,45,3
"69",7,9,114,0,62,50,41,3
"70",7,10,106,0,60,60,45,5
"71",8,1,106,0,62,58,42,4
"72",8,2,120,0,60,46,45,5
"73",8,3,110,0,54,62,45,7
"74",8,4,114,0,62,50,42,3
"75",8,5,122,0,58,46,44,4
"76",8,6,112,0,60,54,48,8
"77",8,7,134,0,50,42,44,3
"78",8,8,116,0,62,48,45,2
"79",8,9,128,0,54,44,44,5
"80",8,10,120,0,52,54,46,8
"81",9,1,108,0,60,58,45,6
"82",9,2,110,0,44,72,39,8
"83",9,3,98,0,64,64,45,4
"84",9,4,122,0,56,48,46,7
"85",9,5,102,0,58,66,43,6
"86",9,6,104,0,58,64,42,2
"87",9,7,90,0,60,76,38,1
"88",9,8,106,0,60,60,50,6
"89",9,9,104,0,58,64,45,4
"90",9,10,102,0,62,62,46,4
"91",10,1,110,0,70,46,45,3
"92",10,2,104,0,58,64,45,6
"93",10,3,100,0,54,72,41,4
"94",10,4,110,0,62,54,44,4
"95",10,5,114,0,64,48,44,3
"96",10,6,108,0,62,56,43,3
"97",10,7,104,0,56,66,45,6
"98",10,8,110,0,54,62,46,8
"99",10,9,104,0,66,56,51,8
"100",10,10,102,0,54,70,42,2
