Spp	Range
Acrecebus_fraileyi	1
Alouatta_belzebul	1
Alouatta_caraya	3
Alouatta_guariba	2
Alouatta_macconnelli	1
Alouatta_nigerrima	1
Alouatta_palliata	2
Alouatta_pigra	1
Alouatta_sara	1
Alouatta_seniculus	1
Antillothrix_bernensis	1
Aotus_azarae	3
Aotus_dindensis	1
Aotus_griseimembra	2
Aotus_lemurinus	3
Aotus_nancymaae	1
Aotus_nigriceps	1
Aotus_trivirgatus	1
Aotus_vociferans	1
Ateles_belzebuth	2
Ateles_chamek	1
Ateles_fusciceps	1
Ateles_geoffroyi	2
Ateles_hybridus	2
Ateles_paniscus	1
Brachyteles_arachnoides	1
Brachyteles_hypoxanthus	1
Branisella_boliviana	1
Cacajao_calvus	1
Cacajao_hosomi	1
Cacajao_melanocephalus	1
Caipora_bambuiorum	1
Callicebus_brunneus	1
Callicebus_caligatus	1
Callicebus_coimbrai	1
Callicebus_cupreus	1
Callicebus_donacophilus	1
Callicebus_hoffmannsi	1
Callicebus_lugens	2
Callicebus_moloch	1
Callicebus_nigrifrons	2
Callicebus_personatus	1
Callicebus_torquatus	1
Callimico_goeldii	1
Callithrix_aurita	1
Callithrix_geoffroyi	1
Callithrix_jacchus	1
Callithrix_kuhlii	1
Callithrix_penicillata	3
Canaanimico_amazonensis	1
Carlocebus_carmenensis	1
Cartelles_coimbrafilhoi	1
Cebuella_pygmaea	1
Cebupithecia_sarmientoi	1
Cebus_albifrons	1
Cebus_capucinus	3
Cebus_olivaceus	2
Chilecebus_carrascoensis	1
Chiropotes_chiropotes	1
Chiropotes_utahicki	1
Dolichocebus_gaimanensis	1
Homunculus_patagonicus	1
Insulacebus_toussentiana	1
Killikaike_blakei	1
Lagonimico_conclucatus	1
Lagothrix_cana	1
Lagothrix_lagotricha	1
Laventiana_annectens	1
Leontopithecus_chrysomelas	1
Leontopithecus_chrysopygus	1
Leontopithecus_rosalia	1
Mazzonicebus_almendrae	1
Mico_argentatus	1
Mico_emiliae	1
Mico_humeralifer	1
Mico_mauesi	1
Micodon_kyotensis	1
Miocallicebus_villaviejai	1
Mohanamico_hershkovitzi	1
Neosaimiri_fieldsi	1
Nuciruptor_rubricae	1
Panamacebus_transitus	1
Paralouatta_varonai	1
Patasola_magdalenae	1
Perupithecus_ucayaliensis	1
Pithecia_irrorata	1
Pithecia_monachus	1
Pithecia_pithecia	1
Proteropithecia_neuquenensis	1
Saguinus_bicolor	1
Saguinus_fuscicollis	1
Saguinus_geoffroyi	1
Saguinus_imperator	1
Saguinus_labiatus	1
Saguinus_martinsi	1
Saguinus_melanoleucus	1
Saguinus_midas	1
Saguinus_mystax	1
Saguinus_nigricollis	1
Saguinus_oedipus	2
Saguinus_tripartitus	1
Saimiri_boliviensis	1
Saimiri_oerstedii	1
Saimiri_sciureus	2
Saimiri_ustus	1
Sapajus_apella	2
Sapajus_libidinosus	1
Sapajus_robustus	1
Sapajus_xanthosternos	1
Solimoea_acrensis	1
Soriacebus_ameghinorum	1
Stirtonia_tatacoensis	1
Stirtonia_victoriae	1
Szalatavus_attricuspis	1
Tremacebus_harringtoni	1
Xenothrix_mcgregori	1
